genotype,plant_number,day_after_sowing,length_cm,condition,day_temperature_c,night_temperature_c,temperature_c,length_m
35S::PIF4,1,27,13.3,hAT,28.0,24.0,26.0,0.133
35S::PIF4,1,30,15.1,hAT,28.0,24.0,26.0,0.151
35S::PIF4,1,37,20.5,hAT,28.0,24.0,26.0,0.205
35S::PIF4,1,41,21.0,hAT,28.0,24.0,26.0,0.21
35S::PIF4,2,27,11.3,hAT,28.0,24.0,26.0,0.113
35S::PIF4,2,30,16.8,hAT,28.0,24.0,26.0,0.168
35S::PIF4,2,37,22.0,hAT,28.0,24.0,26.0,0.22
35S::PIF4,2,41,22.6,hAT,28.0,24.0,26.0,0.226
35S::PIF4,3,27,8.8,hAT,28.0,24.0,26.0,0.08800000000000001
35S::PIF4,3,30,14.3,hAT,28.0,24.0,26.0,0.14300000000000002
35S::PIF4,3,37,17.7,hAT,28.0,24.0,26.0,0.177
35S::PIF4,3,41,18.0,hAT,28.0,24.0,26.0,0.18
35S::PIF4,4,27,8.0,hAT,28.0,24.0,26.0,0.08
35S::PIF4,4,30,11.4,hAT,28.0,24.0,26.0,0.114
35S::PIF4,4,37,19.4,hAT,28.0,24.0,26.0,0.19399999999999998
35S::PIF4,4,41,20.6,hAT,28.0,24.0,26.0,0.20600000000000002
35S::PIF4,5,27,10.11,hAT,28.0,24.0,26.0,0.1011
35S::PIF4,5,30,16.5,hAT,28.0,24.0,26.0,0.165
35S::PIF4,5,37,20.7,hAT,28.0,24.0,26.0,0.207
35S::PIF4,5,41,22.6,hAT,28.0,24.0,26.0,0.226
35S::PIF4,6,27,0.0,hAT,28.0,24.0,26.0,0.0
35S::PIF4,6,30,1.3,hAT,28.0,24.0,26.0,0.013000000000000001
35S::PIF4,6,37,13.0,hAT,28.0,24.0,26.0,0.13
35S::PIF4,6,41,13.0,hAT,28.0,24.0,26.0,0.13
35S::PIF4,7,27,5.3,hAT,28.0,24.0,26.0,0.053
35S::PIF4,7,30,11.16,hAT,28.0,24.0,26.0,0.1116
35S::PIF4,7,37,17.2,hAT,28.0,24.0,26.0,0.172
35S::PIF4,7,41,18.2,hAT,28.0,24.0,26.0,0.182
35S::PIF4,8,27,0.0,hAT,28.0,24.0,26.0,0.0
35S::PIF4,8,30,6.7,hAT,28.0,24.0,26.0,0.067
35S::PIF4,8,37,23.9,hAT,28.0,24.0,26.0,0.239
35S::PIF4,8,41,24.0,hAT,28.0,24.0,26.0,0.24
35S::PIF4,9,27,0.0,hAT,28.0,24.0,26.0,0.0
35S::PIF4,9,30,12.9,hAT,28.0,24.0,26.0,0.129
35S::PIF4,9,37,20.2,hAT,28.0,24.0,26.0,0.20199999999999999
35S::PIF4,9,41,20.3,hAT,28.0,24.0,26.0,0.203
35S::PIF4,10,27,0.0,hAT,28.0,24.0,26.0,0.0
35S::PIF4,10,30,11.0,hAT,28.0,24.0,26.0,0.11
35S::PIF4,10,37,15.6,hAT,28.0,24.0,26.0,0.156
35S::PIF4,10,41,15.6,hAT,28.0,24.0,26.0,0.156
Col-0,1,27,18.4,hAT,28.0,24.0,26.0,0.184
Col-0,1,30,23.7,hAT,28.0,24.0,26.0,0.237
Col-0,1,37,31.5,hAT,28.0,24.0,26.0,0.315
Col-0,1,41,31.5,hAT,28.0,24.0,26.0,0.315
Col-0,2,27,15.4,hAT,28.0,24.0,26.0,0.154
Col-0,2,30,17.8,hAT,28.0,24.0,26.0,0.17800000000000002
Col-0,2,37,23.2,hAT,28.0,24.0,26.0,0.23199999999999998
Col-0,2,41,28.1,hAT,28.0,24.0,26.0,0.281
Col-0,3,27,13.2,hAT,28.0,24.0,26.0,0.132
Col-0,3,30,21.2,hAT,28.0,24.0,26.0,0.212
Col-0,3,37,29.9,hAT,28.0,24.0,26.0,0.299
Col-0,3,41,31.0,hAT,28.0,24.0,26.0,0.31
Col-0,4,27,14.9,hAT,28.0,24.0,26.0,0.149
Col-0,4,30,19.4,hAT,28.0,24.0,26.0,0.19399999999999998
Col-0,4,37,27.0,hAT,28.0,24.0,26.0,0.27
Col-0,4,41,28.0,hAT,28.0,24.0,26.0,0.28
Col-0,5,27,10.6,hAT,28.0,24.0,26.0,0.106
Col-0,5,30,19.1,hAT,28.0,24.0,26.0,0.191
Col-0,5,37,30.0,hAT,28.0,24.0,26.0,0.3
Col-0,5,41,30.0,hAT,28.0,24.0,26.0,0.3
Col-0,6,27,13.2,hAT,28.0,24.0,26.0,0.132
Col-0,6,30,21.5,hAT,28.0,24.0,26.0,0.215
Col-0,6,37,30.0,hAT,28.0,24.0,26.0,0.3
Col-0,6,41,30.0,hAT,28.0,24.0,26.0,0.3
Col-0,7,27,12.2,hAT,28.0,24.0,26.0,0.122
Col-0,7,30,19.0,hAT,28.0,24.0,26.0,0.19
Col-0,7,37,28.0,hAT,28.0,24.0,26.0,0.28
Col-0,7,41,29.5,hAT,28.0,24.0,26.0,0.295
Col-0,8,27,12.0,hAT,28.0,24.0,26.0,0.12
Col-0,8,30,20.0,hAT,28.0,24.0,26.0,0.2
Col-0,8,37,37.0,hAT,28.0,24.0,26.0,0.37
Col-0,8,41,37.0,hAT,28.0,24.0,26.0,0.37
Col-0,9,27,12.9,hAT,28.0,24.0,26.0,0.129
Col-0,9,30,19.9,hAT,28.0,24.0,26.0,0.19899999999999998
Col-0,9,37,29.0,hAT,28.0,24.0,26.0,0.29
Col-0,9,41,29.0,hAT,28.0,24.0,26.0,0.29
Col-0,10,27,17.4,hAT,28.0,24.0,26.0,0.174
Col-0,10,30,21.9,hAT,28.0,24.0,26.0,0.21899999999999997
Col-0,10,37,22.8,hAT,28.0,24.0,26.0,0.228
Col-0,10,41,23.0,hAT,28.0,24.0,26.0,0.23
phyb,1,27,16.9,hAT,28.0,24.0,26.0,0.16899999999999998
phyb,1,30,21.9,hAT,28.0,24.0,26.0,0.21899999999999997
phyb,1,37,26.0,hAT,28.0,24.0,26.0,0.26
phyb,1,41,30.9,hAT,28.0,24.0,26.0,0.309
phyb,2,27,16.6,hAT,28.0,24.0,26.0,0.166
phyb,2,30,23.3,hAT,28.0,24.0,26.0,0.233
phyb,2,37,26.2,hAT,28.0,24.0,26.0,0.262
phyb,2,41,32.1,hAT,28.0,24.0,26.0,0.321
phyb,3,27,9.8,hAT,28.0,24.0,26.0,0.098
phyb,3,30,16.9,hAT,28.0,24.0,26.0,0.16899999999999998
phyb,3,37,27.0,hAT,28.0,24.0,26.0,0.27
phyb,3,41,27.0,hAT,28.0,24.0,26.0,0.27
phyb,4,27,16.8,hAT,28.0,24.0,26.0,0.168
phyb,4,30,22.6,hAT,28.0,24.0,26.0,0.226
phyb,4,37,24.9,hAT,28.0,24.0,26.0,0.249
phyb,4,41,29.8,hAT,28.0,24.0,26.0,0.298
phyb,5,27,20.1,hAT,28.0,24.0,26.0,0.201
phyb,5,30,26.15,hAT,28.0,24.0,26.0,0.2615
phyb,5,37,38.0,hAT,28.0,24.0,26.0,0.38
phyb,5,41,43.0,hAT,28.0,24.0,26.0,0.43
phyb,6,27,8.7,hAT,28.0,24.0,26.0,0.087
phyb,6,30,15.0,hAT,28.0,24.0,26.0,0.15
phyb,6,37,29.0,hAT,28.0,24.0,26.0,0.29
phyb,6,41,30.0,hAT,28.0,24.0,26.0,0.3
phyb,7,27,16.5,hAT,28.0,24.0,26.0,0.165
phyb,7,30,23.3,hAT,28.0,24.0,26.0,0.233
phyb,7,37,25.3,hAT,28.0,24.0,26.0,0.253
phyb,7,41,28.3,hAT,28.0,24.0,26.0,0.28300000000000003
phyb,8,27,8.0,hAT,28.0,24.0,26.0,0.08
phyb,8,30,15.7,hAT,28.0,24.0,26.0,0.157
phyb,8,37,27.2,hAT,28.0,24.0,26.0,0.272
phyb,8,41,28.0,hAT,28.0,24.0,26.0,0.28
phyb,9,27,8.0,hAT,28.0,24.0,26.0,0.08
phyb,9,30,14.8,hAT,28.0,24.0,26.0,0.14800000000000002
phyb,9,37,21.0,hAT,28.0,24.0,26.0,0.21
phyb,9,41,23.0,hAT,28.0,24.0,26.0,0.23
phyb,10,27,19.1,hAT,28.0,24.0,26.0,0.191
phyb,10,30,23.8,hAT,28.0,24.0,26.0,0.23800000000000002
phyb,10,37,29.8,hAT,28.0,24.0,26.0,0.298
phyb,10,41,31.0,hAT,28.0,24.0,26.0,0.31
pif3,1,27,3.0,hAT,28.0,24.0,26.0,0.03
pif3,1,30,9.6,hAT,28.0,24.0,26.0,0.096
pif3,1,37,30.0,hAT,28.0,24.0,26.0,0.3
pif3,1,41,16.0,hAT,28.0,24.0,26.0,0.16
pif3,2,27,16.6,hAT,28.0,24.0,26.0,0.166
pif3,2,30,20.5,hAT,28.0,24.0,26.0,0.205
pif3,2,37,32.2,hAT,28.0,24.0,26.0,0.322
pif3,2,41,34.0,hAT,28.0,24.0,26.0,0.34
pif3,3,27,16.0,hAT,28.0,24.0,26.0,0.16
pif3,3,30,23.6,hAT,28.0,24.0,26.0,0.23600000000000002
pif3,3,37,30.9,hAT,28.0,24.0,26.0,0.309
pif3,3,41,32.0,hAT,28.0,24.0,26.0,0.32
pif3,4,27,17.3,hAT,28.0,24.0,26.0,0.17300000000000001
pif3,4,30,22.1,hAT,28.0,24.0,26.0,0.221
pif3,4,37,33.4,hAT,28.0,24.0,26.0,0.33399999999999996
pif3,4,41,26.2,hAT,28.0,24.0,26.0,0.262
pif3,5,27,8.2,hAT,28.0,24.0,26.0,0.08199999999999999
pif3,5,30,15.9,hAT,28.0,24.0,26.0,0.159
pif3,5,37,32.4,hAT,28.0,24.0,26.0,0.324
pif3,5,41,33.0,hAT,28.0,24.0,26.0,0.33
pif3,6,27,15.5,hAT,28.0,24.0,26.0,0.155
pif3,6,30,22.6,hAT,28.0,24.0,26.0,0.226
pif3,6,37,31.6,hAT,28.0,24.0,26.0,0.316
pif3,6,41,30.0,hAT,28.0,24.0,26.0,0.3
pif3,7,27,13.3,hAT,28.0,24.0,26.0,0.133
pif3,7,30,19.3,hAT,28.0,24.0,26.0,0.193
pif3,7,37,32.2,hAT,28.0,24.0,26.0,0.322
pif3,7,41,33.0,hAT,28.0,24.0,26.0,0.33
pif3,8,27,9.7,hAT,28.0,24.0,26.0,0.09699999999999999
pif3,8,30,14.6,hAT,28.0,24.0,26.0,0.146
pif3,8,37,18.1,hAT,28.0,24.0,26.0,0.18100000000000002
pif3,8,41,23.4,hAT,28.0,24.0,26.0,0.23399999999999999
pif3,9,27,10.9,hAT,28.0,24.0,26.0,0.109
pif3,9,30,14.0,hAT,28.0,24.0,26.0,0.14
pif3,9,37,15.6,hAT,28.0,24.0,26.0,0.156
pif3,9,41,22.8,hAT,28.0,24.0,26.0,0.228
pif3,10,27,12.3,hAT,28.0,24.0,26.0,0.12300000000000001
pif3,10,30,18.0,hAT,28.0,24.0,26.0,0.18
pif3,10,37,30.4,hAT,28.0,24.0,26.0,0.304
pif3,10,41,33.0,hAT,28.0,24.0,26.0,0.33
pif3pif7,1,27,6.4,hAT,28.0,24.0,26.0,0.064
pif3pif7,1,30,17.6,hAT,28.0,24.0,26.0,0.17600000000000002
pif3pif7,1,37,29.6,hAT,28.0,24.0,26.0,0.29600000000000004
pif3pif7,1,41,33.0,hAT,28.0,24.0,26.0,0.33
pif3pif7,2,27,10.1,hAT,28.0,24.0,26.0,0.10099999999999999
pif3pif7,2,30,21.6,hAT,28.0,24.0,26.0,0.21600000000000003
pif3pif7,2,37,24.8,hAT,28.0,24.0,26.0,0.248
pif3pif7,2,41,31.0,hAT,28.0,24.0,26.0,0.31
pif3pif7,3,27,16.2,hAT,28.0,24.0,26.0,0.162
pif3pif7,3,30,22.1,hAT,28.0,24.0,26.0,0.221
pif3pif7,3,37,28.3,hAT,28.0,24.0,26.0,0.28300000000000003
pif3pif7,3,41,33.0,hAT,28.0,24.0,26.0,0.33
pif3pif7,4,27,15.9,hAT,28.0,24.0,26.0,0.159
pif3pif7,4,30,12.4,hAT,28.0,24.0,26.0,0.124
pif3pif7,4,37,17.7,hAT,28.0,24.0,26.0,0.177
pif3pif7,4,41,26.0,hAT,28.0,24.0,26.0,0.26
pif3pif7,5,27,2.2,hAT,28.0,24.0,26.0,0.022000000000000002
pif3pif7,5,30,24.5,hAT,28.0,24.0,26.0,0.245
pif3pif7,5,37,26.5,hAT,28.0,24.0,26.0,0.265
pif3pif7,5,41,29.0,hAT,28.0,24.0,26.0,0.29
pif3pif7,6,27,17.2,hAT,28.0,24.0,26.0,0.172
pif3pif7,6,30,19.1,hAT,28.0,24.0,26.0,0.191
pif3pif7,6,37,27.1,hAT,28.0,24.0,26.0,0.271
pif3pif7,6,41,33.0,hAT,28.0,24.0,26.0,0.33
pif3pif7,7,27,15.5,hAT,28.0,24.0,26.0,0.155
pif3pif7,7,30,23.9,hAT,28.0,24.0,26.0,0.239
pif3pif7,7,37,27.2,hAT,28.0,24.0,26.0,0.272
pif3pif7,7,41,32.8,hAT,28.0,24.0,26.0,0.32799999999999996
pif3pif7,8,27,16.2,hAT,28.0,24.0,26.0,0.162
pif3pif7,8,30,21.3,hAT,28.0,24.0,26.0,0.213
pif3pif7,8,37,34.3,hAT,28.0,24.0,26.0,0.34299999999999997
pif3pif7,8,41,35.0,hAT,28.0,24.0,26.0,0.35
pif3pif7,9,27,14.3,hAT,28.0,24.0,26.0,0.14300000000000002
pif3pif7,9,30,19.3,hAT,28.0,24.0,26.0,0.193
pif3pif7,9,37,26.9,hAT,28.0,24.0,26.0,0.26899999999999996
pif3pif7,9,41,31.0,hAT,28.0,24.0,26.0,0.31
pif3pif7,10,27,13.9,hAT,28.0,24.0,26.0,0.139
pif3pif7,10,30,20.2,hAT,28.0,24.0,26.0,0.20199999999999999
pif3pif7,10,37,29.0,hAT,28.0,24.0,26.0,0.29
pif3pif7,10,41,33.3,hAT,28.0,24.0,26.0,0.33299999999999996
pif4,1,27,14.4,hAT,28.0,24.0,26.0,0.14400000000000002
pif4,1,30,18.7,hAT,28.0,24.0,26.0,0.187
pif4,1,37,26.6,hAT,28.0,24.0,26.0,0.266
pif4,1,41,38.9,hAT,28.0,24.0,26.0,0.389
pif4,2,27,16.2,hAT,28.0,24.0,26.0,0.162
pif4,2,30,23.3,hAT,28.0,24.0,26.0,0.233
pif4,2,37,26.8,hAT,28.0,24.0,26.0,0.268
pif4,2,41,33.8,hAT,28.0,24.0,26.0,0.33799999999999997
pif4,3,27,10.2,hAT,28.0,24.0,26.0,0.102
pif4,3,30,14.3,hAT,28.0,24.0,26.0,0.14300000000000002
pif4,3,37,27.5,hAT,28.0,24.0,26.0,0.275
pif4,3,41,31.5,hAT,28.0,24.0,26.0,0.315
pif4,4,27,9.2,hAT,28.0,24.0,26.0,0.092
pif4,4,30,16.9,hAT,28.0,24.0,26.0,0.16899999999999998
pif4,4,37,28.6,hAT,28.0,24.0,26.0,0.28600000000000003
pif4,4,41,36.0,hAT,28.0,24.0,26.0,0.36
pif4,5,27,13.7,hAT,28.0,24.0,26.0,0.13699999999999998
pif4,5,30,19.1,hAT,28.0,24.0,26.0,0.191
pif4,5,37,35.2,hAT,28.0,24.0,26.0,0.35200000000000004
pif4,5,41,35.5,hAT,28.0,24.0,26.0,0.355
pif4,6,27,12.3,hAT,28.0,24.0,26.0,0.12300000000000001
pif4,6,30,17.8,hAT,28.0,24.0,26.0,0.17800000000000002
pif4,6,37,23.7,hAT,28.0,24.0,26.0,0.237
pif4,6,41,24.0,hAT,28.0,24.0,26.0,0.24
pif4,7,27,16.7,hAT,28.0,24.0,26.0,0.16699999999999998
pif4,7,30,22.7,hAT,28.0,24.0,26.0,0.22699999999999998
pif4,7,37,28.0,hAT,28.0,24.0,26.0,0.28
pif4,7,41,31.0,hAT,28.0,24.0,26.0,0.31
