model,seed,best_epoch,n_params,seconds,train_rmse_m,train_mae_m,val_rmse_m,val_mae_m,test_rmse_m,test_mae_m,model_lr,ode_lr,physics_warmup_epochs,direct_ode_parameters,r_drift_rmse,K_drift_rmse_m
Logi-ODE,0,0,18,0.0100674629211425,0.0494420677423477,0.0435798093676567,0.0527441576123237,0.0476859509944915,0.0517875999212265,0.0450167134404182,,,,,,
Temp-ODE,0,0,20,0.0174121856689453,0.0367778092622756,0.0319047532975673,0.041743230074644,0.0367177240550518,0.0412122681736946,0.0349989905953407,,,,,,
RF,1,0,-1,0.0838809013366699,0.0014585354365408,0.0011924701975658,0.0322581566870212,0.02711415104568,0.0286771655082702,0.0234633237123489,,,,,,
RF,2,0,-1,0.0772376060485839,0.0013982723467051,0.0011645830236375,0.0321304649114608,0.0271558053791522,0.0287794135510921,0.0234864875674247,,,,,,
RF,3,0,-1,0.0803136825561523,0.0017270010430365,0.0014267517253756,0.032110009342432,0.0270677730441093,0.0288697015494108,0.0234659425914287,,,,,,
LSTM-NN,1,1680,401,6.283450126647949,0.0176464710384607,0.014799028635025,0.0324254520237445,0.0278627779334783,0.0287658050656318,0.0247556008398532,,,,,,
LSTM-NN,2,2970,401,6.0780861377716064,0.0177830252796411,0.0152444941923022,0.0333817675709724,0.0283820703625679,0.0298300851136446,0.0252757370471954,,,,,,
LSTM-NN,3,2460,401,6.118188381195068,0.0156112862750887,0.0127598978579044,0.0344754196703434,0.0293765738606452,0.0299285780638456,0.0249852407723665,,,,,,
Latent Neural ODE (ours),1,800,4607,40.3553147315979,0.0140710640698671,0.0123111447319388,0.0325167141854763,0.0277572181075811,0.0280825458467006,0.0240934416651725,,,,,,
Latent Neural ODE (ours),2,350,4607,40.2979211807251,0.0148610938340425,0.0130349667742848,0.0324004143476486,0.027763120830059,0.0297303535044193,0.0256487671285867,,,,,,
Latent Neural ODE (ours),3,580,4607,40.25689148902893,0.0131068415939807,0.0114920586347579,0.0324489921331405,0.0280429497361183,0.0281664989888668,0.0241609141230583,,,,,,
Logi-PINN,1,1840,419,78.31921529769897,0.017410235479474,0.0146292857825756,0.0324925333261489,0.0280470978468656,0.0287706777453422,0.0247301589697599,0.001,0.0001,500.0,True,0.0250407867133617,0.0214536096900701
Logi-PINN,2,2900,419,77.81089854240417,0.0174121391028165,0.0149047989398241,0.0330202579498291,0.0281872414052486,0.0296074356883764,0.0250205341726541,0.001,0.0001,500.0,True,0.0449987724423408,0.0220930259674787
Logi-PINN,3,2130,419,77.79829955101013,0.016819791868329,0.0141373462975025,0.0339644029736518,0.0286598410457372,0.0312422718852758,0.0259397365152835,0.001,0.0001,500.0,True,0.0304846074432134,0.0219040289521217
