observation_id,plant_id,genotype,source_row,source_cell,elapsed_hours,length_mm,split,plant_index
12L12D:B3,Col-0:row3,Col-0,3,B3,0,0.997,train,0
12L12D:G3,Col-0:row3,Col-0,3,G3,12,1.647,train,0
12L12D:L3,Col-0:row3,Col-0,3,L3,24,2.44,train,0
12L12D:AA3,Col-0:row3,Col-0,3,AA3,60,3.884,test,0
12L12D:AF3,Col-0:row3,Col-0,3,AF3,72,4.439,test,0
12L12D:B4,Col-0:row4,Col-0,4,B4,0,1.084,train,1
12L12D:G4,Col-0:row4,Col-0,4,G4,12,2.136,train,1
12L12D:L4,Col-0:row4,Col-0,4,L4,24,1.173,train,1
12L12D:Q4,Col-0:row4,Col-0,4,Q4,36,2.377,train,1
12L12D:V4,Col-0:row4,Col-0,4,V4,48,2.353,val,1
12L12D:AA4,Col-0:row4,Col-0,4,AA4,60,3.719,test,1
12L12D:AF4,Col-0:row4,Col-0,4,AF4,72,3.473,test,1
12L12D:B5,Col-0:row5,Col-0,5,B5,0,1.02,train,2
12L12D:G5,Col-0:row5,Col-0,5,G5,12,1.513,train,2
12L12D:L5,Col-0:row5,Col-0,5,L5,24,1.252,train,2
12L12D:Q5,Col-0:row5,Col-0,5,Q5,36,1.63,train,2
12L12D:V5,Col-0:row5,Col-0,5,V5,48,3.41,val,2
12L12D:AA5,Col-0:row5,Col-0,5,AA5,60,3.577,test,2
12L12D:AF5,Col-0:row5,Col-0,5,AF5,72,5.012,test,2
12L12D:B6,Col-0:row6,Col-0,6,B6,0,0.994,train,3
12L12D:G6,Col-0:row6,Col-0,6,G6,12,0.916,train,3
12L12D:L6,Col-0:row6,Col-0,6,L6,24,1.421,train,3
12L12D:Q6,Col-0:row6,Col-0,6,Q6,36,2.006,train,3
12L12D:V6,Col-0:row6,Col-0,6,V6,48,2.583,val,3
12L12D:AA6,Col-0:row6,Col-0,6,AA6,60,3.201,test,3
12L12D:AF6,Col-0:row6,Col-0,6,AF6,72,3.881,test,3
12L12D:B7,Col-0:row7,Col-0,7,B7,0,1.092,train,4
12L12D:G7,Col-0:row7,Col-0,7,G7,12,1.838,train,4
12L12D:L7,Col-0:row7,Col-0,7,L7,24,1.778,train,4
12L12D:Q7,Col-0:row7,Col-0,7,Q7,36,2.366,train,4
12L12D:V7,Col-0:row7,Col-0,7,V7,48,2.63,val,4
12L12D:AA7,Col-0:row7,Col-0,7,AA7,60,4.196,test,4
12L12D:AF7,Col-0:row7,Col-0,7,AF7,72,3.991,test,4
12L12D:B8,Col-0:row8,Col-0,8,B8,0,1.049,train,5
12L12D:G8,Col-0:row8,Col-0,8,G8,12,2.144,train,5
12L12D:L8,Col-0:row8,Col-0,8,L8,24,1.631,train,5
12L12D:Q8,Col-0:row8,Col-0,8,Q8,36,1.658,train,5
12L12D:V8,Col-0:row8,Col-0,8,V8,48,2.078,val,5
12L12D:AA8,Col-0:row8,Col-0,8,AA8,60,3.363,test,5
12L12D:AF8,Col-0:row8,Col-0,8,AF8,72,4.632,test,5
12L12D:B9,Col-0:row9,Col-0,9,B9,0,0.887,train,6
12L12D:G9,Col-0:row9,Col-0,9,G9,12,2.428,train,6
12L12D:L9,Col-0:row9,Col-0,9,L9,24,1.823,train,6
12L12D:Q9,Col-0:row9,Col-0,9,Q9,36,2.194,train,6
12L12D:V9,Col-0:row9,Col-0,9,V9,48,2.364,val,6
12L12D:AA9,Col-0:row9,Col-0,9,AA9,60,4.723,test,6
12L12D:AF9,Col-0:row9,Col-0,9,AF9,72,4.146,test,6
12L12D:B10,Col-0:row10,Col-0,10,B10,0,0.835,train,7
12L12D:G10,Col-0:row10,Col-0,10,G10,12,1.479,train,7
12L12D:L10,Col-0:row10,Col-0,10,L10,24,2.279,train,7
12L12D:V10,Col-0:row10,Col-0,10,V10,48,2.517,val,7
