observation_id,plant_id,genotype,source_row,source_cell,elapsed_hours,length_mm,split,plant_index
12L12D:B3,Col-0:row3,Col-0,3,B3,0,0.997,train,0
12L12D:G3,Col-0:row3,Col-0,3,G3,12,1.647,train,0
12L12D:L3,Col-0:row3,Col-0,3,L3,24,2.44,train,0
12L12D:B4,Col-0:row4,Col-0,4,B4,0,1.084,train,1
12L12D:G4,Col-0:row4,Col-0,4,G4,12,2.136,train,1
12L12D:L4,Col-0:row4,Col-0,4,L4,24,1.173,train,1
12L12D:Q4,Col-0:row4,Col-0,4,Q4,36,2.377,train,1
12L12D:B5,Col-0:row5,Col-0,5,B5,0,1.02,train,2
12L12D:G5,Col-0:row5,Col-0,5,G5,12,1.513,train,2
12L12D:L5,Col-0:row5,Col-0,5,L5,24,1.252,train,2
12L12D:Q5,Col-0:row5,Col-0,5,Q5,36,1.63,train,2
12L12D:B6,Col-0:row6,Col-0,6,B6,0,0.994,train,3
12L12D:G6,Col-0:row6,Col-0,6,G6,12,0.916,train,3
12L12D:L6,Col-0:row6,Col-0,6,L6,24,1.421,train,3
12L12D:Q6,Col-0:row6,Col-0,6,Q6,36,2.006,train,3
12L12D:B7,Col-0:row7,Col-0,7,B7,0,1.092,train,4
12L12D:G7,Col-0:row7,Col-0,7,G7,12,1.838,train,4
12L12D:L7,Col-0:row7,Col-0,7,L7,24,1.778,train,4
12L12D:Q7,Col-0:row7,Col-0,7,Q7,36,2.366,train,4
12L12D:B8,Col-0:row8,Col-0,8,B8,0,1.049,train,5
12L12D:G8,Col-0:row8,Col-0,8,G8,12,2.144,train,5
12L12D:L8,Col-0:row8,Col-0,8,L8,24,1.631,train,5
12L12D:Q8,Col-0:row8,Col-0,8,Q8,36,1.658,train,5
12L12D:B9,Col-0:row9,Col-0,9,B9,0,0.887,train,6
12L12D:G9,Col-0:row9,Col-0,9,G9,12,2.428,train,6
12L12D:L9,Col-0:row9,Col-0,9,L9,24,1.823,train,6
12L12D:Q9,Col-0:row9,Col-0,9,Q9,36,2.194,train,6
12L12D:B10,Col-0:row10,Col-0,10,B10,0,0.835,train,7
12L12D:G10,Col-0:row10,Col-0,10,G10,12,1.479,train,7
12L12D:L10,Col-0:row10,Col-0,10,L10,24,2.279,train,7
12L12D:B11,Col-0:row11,Col-0,11,B11,0,1.135,train,8
12L12D:G11,Col-0:row11,Col-0,11,G11,12,1.629,train,8
12L12D:L11,Col-0:row11,Col-0,11,L11,24,2.004,train,8
12L12D:Q11,Col-0:row11,Col-0,11,Q11,36,2.123,train,8
12L12D:B12,Col-0:row12,Col-0,12,B12,0,1.205,train,9
12L12D:G12,Col-0:row12,Col-0,12,G12,12,2.208,train,9
12L12D:L12,Col-0:row12,Col-0,12,L12,24,1.357,train,9
12L12D:Q12,Col-0:row12,Col-0,12,Q12,36,2.268,train,9
12L12D:B13,Col-0:row13,Col-0,13,B13,0,1.106,train,10
12L12D:G13,Col-0:row13,Col-0,13,G13,12,1.534,train,10
12L12D:L13,Col-0:row13,Col-0,13,L13,24,1.087,train,10
12L12D:Q13,Col-0:row13,Col-0,13,Q13,36,2.355,train,10
12L12D:B14,Col-0:row14,Col-0,14,B14,0,1.336,train,11
12L12D:G14,Col-0:row14,Col-0,14,G14,12,1.623,train,11
12L12D:L14,Col-0:row14,Col-0,14,L14,24,1.608,train,11
12L12D:Q14,Col-0:row14,Col-0,14,Q14,36,2.041,train,11
12L12D:B15,Col-0:row15,Col-0,15,B15,0,1.231,train,12
12L12D:G15,Col-0:row15,Col-0,15,G15,12,1.496,train,12
12L12D:L15,Col-0:row15,Col-0,15,L15,24,1.406,train,12
12L12D:Q15,Col-0:row15,Col-0,15,Q15,36,2.795,train,12
12L12D:B16,Col-0:row16,Col-0,16,B16,0,0.969,train,13
12L12D:G16,Col-0:row16,Col-0,16,G16,12,1.84,train,13
