dataset,source_variant,seed,split,rmse,relative_error,unit,source,model,lambda_ode,lambda_k
wheat,joint,1,train,0.0223861844878181,7.478365258560828,m,experiments/results/joint_lambda_tuning_20260908/wheat/final/selected_phyto/seed1,PhytoODE (adopted),3.16227766,0.1
wheat,joint,1,val,0.0381126386934063,11.43451688974493,m,experiments/results/joint_lambda_tuning_20260908/wheat/final/selected_phyto/seed1,PhytoODE (adopted),3.16227766,0.1
wheat,joint,1,test,0.0307753714660453,10.390512132619596,m,experiments/results/joint_lambda_tuning_20260908/wheat/final/selected_phyto/seed1,PhytoODE (adopted),3.16227766,0.1
wheat,joint,2,train,0.0222662840936802,7.438311137569524,m,experiments/results/joint_lambda_tuning_20260908/wheat/final/selected_phyto/seed2,PhytoODE (adopted),3.16227766,0.1
wheat,joint,2,val,0.0381423843350476,11.443441148295484,m,experiments/results/joint_lambda_tuning_20260908/wheat/final/selected_phyto/seed2,PhytoODE (adopted),3.16227766,0.1
wheat,joint,2,test,0.0295615794995779,9.980706513604694,m,experiments/results/joint_lambda_tuning_20260908/wheat/final/selected_phyto/seed2,PhytoODE (adopted),3.16227766,0.1
wheat,joint,3,train,0.0222756243333266,7.441431353241643,m,experiments/results/joint_lambda_tuning_20260908/wheat/final/selected_phyto/seed3,PhytoODE (adopted),3.16227766,0.1
wheat,joint,3,val,0.0367862186453499,11.03656563361684,m,experiments/results/joint_lambda_tuning_20260908/wheat/final/selected_phyto/seed3,PhytoODE (adopted),3.16227766,0.1
wheat,joint,3,test,0.0306280789699279,10.340782612063194,m,experiments/results/joint_lambda_tuning_20260908/wheat/final/selected_phyto/seed3,PhytoODE (adopted),3.16227766,0.1
wheat,no_biological_loss,1,train,0.0211413229033328,7.062504769686634,m,experiments/results/physics_ablation_20260908/wheat/no_biological_loss_seed1,Latent Neural ODE (no physics),0.0,0.0
wheat,no_biological_loss,1,val,0.0381146212652062,11.43511169901313,m,experiments/results/physics_ablation_20260908/wheat/no_biological_loss_seed1,Latent Neural ODE (no physics),0.0,0.0
wheat,no_biological_loss,1,test,0.0309484322577339,10.4489416549961,m,experiments/results/physics_ablation_20260908/wheat/no_biological_loss_seed1,Latent Neural ODE (no physics),0.0,0.0
wheat,no_biological_loss,2,train,0.0210705649527114,7.038867253432722,m,experiments/results/physics_ablation_20260908/wheat/no_biological_loss_seed2,Latent Neural ODE (no physics),0.0,0.0
wheat,no_biological_loss,2,val,0.0393031568619317,11.791694995807326,m,experiments/results/physics_ablation_20260908/wheat/no_biological_loss_seed2,Latent Neural ODE (no physics),0.0,0.0
wheat,no_biological_loss,2,test,0.0306643444111199,10.35302670494492,m,experiments/results/physics_ablation_20260908/wheat/no_biological_loss_seed2,Latent Neural ODE (no physics),0.0,0.0
wheat,no_biological_loss,3,train,0.0210274084650799,7.024450326869794,m,experiments/results/physics_ablation_20260908/wheat/no_biological_loss_seed3,Latent Neural ODE (no physics),0.0,0.0
wheat,no_biological_loss,3,val,0.0376075882863876,11.28299215655382,m,experiments/results/physics_ablation_20260908/wheat/no_biological_loss_seed3,Latent Neural ODE (no physics),0.0,0.0
wheat,no_biological_loss,3,test,0.0311251294056224,10.508598899457334,m,experiments/results/physics_ablation_20260908/wheat/no_biological_loss_seed3,Latent Neural ODE (no physics),0.0,0.0
maize,full,1,train,58.48367725889038,18.742693643113,relative UAV height,frozen manuscript result,PhytoODE (adopted),0.5,0.5
maize,full,1,val,49.81507697437153,19.653964327052726,relative UAV height,frozen manuscript result,PhytoODE (adopted),0.5,0.5
maize,full,1,test,61.67854509952554,20.01981483174046,relative UAV height,frozen manuscript result,PhytoODE (adopted),0.5,0.5
maize,full,2,train,33.17933316963633,10.633224619724771,relative UAV height,frozen manuscript result,PhytoODE (adopted),0.5,0.5
maize,full,2,val,44.61504069773553,17.602349962731584,relative UAV height,frozen manuscript result,PhytoODE (adopted),0.5,0.5
maize,full,2,test,53.56492673207321,17.386271237777613,relative UAV height,frozen manuscript result,PhytoODE (adopted),0.5,0.5
maize,full,3,train,34.0291310849496,10.905565599837333,relative UAV height,frozen manuscript result,PhytoODE (adopted),0.5,0.5
maize,full,3,val,47.30951622681658,18.66542421946556,relative UAV height,frozen manuscript result,PhytoODE (adopted),0.5,0.5
maize,full,3,test,54.80962972572279,17.79028082349609,relative UAV height,frozen manuscript result,PhytoODE (adopted),0.5,0.5
