dataset,lambda_ode,lambda_k,seed,best_epoch,data_loss,weighted_ode_loss,weighted_k_loss,weighted_ode_to_data,weighted_k_to_data
wheat,0.0,0.001,1,1010,0.028684452176094,0.0,3.994868529844098e-05,0.0,0.0013926947272060765
wheat,0.0,0.001,2,830,0.0285936389118433,0.0,3.718616790138185e-05,0.0,0.001300504913558924
wheat,0.0,0.001,3,740,0.0284841358661651,0.0,4.139987868256867e-05,0.0,0.0014534363575953008
wheat,0.0,0.01,1,950,0.0287094265222549,0.0,0.000273344485322,0.0,0.009521070896700411
wheat,0.0,1.0,1,1500,0.0317133963108062,0.0,0.0002511902421247,0.0,0.007920635168271399
wheat,0.1,0.0,1,1030,0.0286675672978162,5.355802204576321e-05,0.0,0.0018682443993021716,0.0
wheat,0.1,0.001,1,1010,0.0286749694496393,5.065200457465835e-05,4.212425847072154e-05,0.0017664187807982302,0.0014690254001735797
wheat,0.1,0.01,1,940,0.0286919325590133,5.281424455461092e-05,0.0002749639388639,0.0018407350026347327,0.009583318875379228
wheat,0.1,1.0,1,1500,0.0321703925728797,6.674235191894695e-05,0.0002696405863389,0.0020746514599642193,0.008381638045853767
wheat,0.7071067812,0.316227766,1,600,0.0316762030124664,5.745550151914358e-05,0.0010282329749315,0.0018138380252371645,0.03246073951877475
wheat,0.7071067812,0.316227766,2,1030,0.0316539108753204,5.246261935099028e-05,0.000886111636646,0.001657381912700519,0.02799374902318546
wheat,0.7071067812,0.316227766,3,790,0.0317034982144832,5.402747046900913e-05,0.0018788242014124,0.0017041485486395823,0.05926236242769233
wheat,0.7071067812,10.0,1,1500,0.1043913215398788,0.000475880340673,0.0001674890518188,0.004558619755486166,0.0016044346344903497
wheat,100.0,0.0,1,810,0.0282533820718526,0.0009863453451544,0.0,0.03491069998791562,0.0
wheat,100.0,0.001,1,630,0.0287751518189907,0.0009806491434574,1.433169200026896e-05,0.03407972092123601,0.0004980579108816549
wheat,100.0,0.01,1,610,0.0285413414239883,0.0009697821224108,9.402418072568251e-05,0.03397815498593636,0.0032943154047643144
wheat,100.0,1.0,1,1080,0.0322345308959484,0.0006929783266969,0.0018733441829681,0.021498011835003973,0.058116067797455144
wheat,10.0,0.0,1,1040,0.0286644008010625,0.0001843962090788,0.0,0.0064329343689600174,0.0
wheat,10.0,0.001,1,1030,0.0286546815186738,0.0001805952633731,3.612909131334163e-05,0.006302469746711683,0.0012608442808829294
wheat,10.0,0.01,1,1040,0.0286819785833358,0.0001872917055152,0.0002681508485693,0.0065299437056276265,0.009349105668919763
wheat,10.0,1.0,1,1110,0.0316251888871192,0.0001280751312151,0.0009762441623024,0.0040497823324389505,0.03086919625324419
wheat,1.0,0.0,1,1020,0.0286638364195823,5.0353959522908553e-05,0.0,0.0017567069106111765,0.0
wheat,1.0,0.001,1,1030,0.0286492072045803,4.586442082654685e-05,3.892013774020597e-05,0.0016008966844714035,0.001358506623317088
wheat,1.0,0.01,1,930,0.0286885555833578,4.998841541237198e-05,0.0002754958695732,0.0017424514548013774,0.009602988507829055
wheat,1.0,1.0,1,1270,0.0322032645344734,0.0001079132853192,0.0018094914266839,0.003351004529484254,0.056189689239326976
wheat,1.0,1.0,2,1490,0.0315922684967517,9.386613237438723e-05,0.0002262998750666,0.0029711741777592986,0.0071631410416085825
wheat,1.0,1.0,3,1500,0.0311113111674785,7.962904055602849e-05,0.0003631914441939,0.002559488416523791,0.011673935638352456
wheat,1.189207115,0.316227766,1,660,0.0333162993192672,6.585411028936505e-05,0.0048343855887651,0.0019766334087195836,0.14510571964904037
wheat,1.189207115,10.0,1,1310,0.1063166558742523,0.0005431117606349,0.0103015787899494,0.0051084353262321755,0.09689524849364857
wheat,3.16227766,0.0,1,1030,0.0286657437682151,7.94817678979598e-05,0.0,0.002772709075356003,0.0
wheat,3.16227766,0.0,2,760,0.0284578055143356,8.02932190708816e-05,0.0,0.002821483161462817,0.0
wheat,3.16227766,0.0,3,760,0.0285304095596075,9.65032450039871e-05,0.0,0.0033824696698575795,0.0
wheat,3.16227766,0.001,1,1020,0.0286802854388952,7.554612238891423e-05,3.825398744083941e-05,0.0026340784700301908,0.0013338077656981993
wheat,3.16227766,0.01,1,980,0.0286594536155462,7.329390064114705e-05,0.0002708624233491,0.002557407465765121,0.00945106724582397
wheat,3.16227766,1.0,1,1500,0.0320281386375427,9.561047772876918e-05,0.0004171539621893,0.0029852024437254255,0.013024608357986845
wheat,3.16227766,1.0,2,1500,0.032359454780817,0.000125768376165,0.0001805953070288,0.003886603684050843,0.005580913159756285
wheat,3.16227766,1.0,3,1500,0.031037401407957,0.0001035212844726,0.0002974325907416,0.003335372156705762,0.00958303779469591
maize,0.0,0.005,1,180,0.0473085194826126,0.0,0.0002243906928924,0.0,0.004743134964831667
maize,0.0,0.05,1,170,0.0510973371565341,0.0,0.0012399817351251,0.0,0.0242670519468848
maize,0.0,0.05,2,70,0.0506138429045677,0.0,0.0012685460969805,0.0,0.0250632242916694
maize,0.0,0.05,3,90,0.050248946994543,0.0,0.0013541540829464,0.0,0.026948904682389866
maize,0.0,5.0,1,200,0.1108522489666938,0.0,0.2018249332904815,0.0,1.820666113423833
maize,0.5,0.0,1,180,0.0475242212414741,4.711648944066837e-05,0.0,0.0009914205474565482,0.0
maize,0.5,0.005,1,180,0.0473660677671432,4.555733539746143e-05,0.0002138694835593,0.0009618137528626253,0.0045152467502834704
maize,0.5,0.05,1,160,0.0528580397367477,4.458998955669813e-05,0.001371601363644,0.0008435800831580688,0.025948774689244523
maize,0.5,5.0,1,850,0.0833935961127281,0.0001579057570779,0.1585241258144378,0.0018934997942102096,1.9009148568212753
maize,1581.13883,0.0158113883,1,490,0.0452342070639133,0.0016250512562692,8.191647793864831e-05,0.03592527341029981,0.001810940950570994
maize,1581.13883,0.158113883,1,530,0.0631247088313102,0.0021737711504101,0.0009802117710933,0.03443613745956635,0.015528178889707759
maize,50000.0,0.0158113883,1,270,0.09241334348917,0.0163778699934482,0.0014820670476183,0.1772240823141253,0.016037370704934883
maize,50000.0,0.158113883,1,2130,0.254301905632019,0.0023431780282408,0.0543996691703796,0.009214158354092067,0.21391766229662956
maize,5000.0,0.0,1,690,0.0481311194598674,0.0087374709546566,0.0,0.18153475449375453,0.0
maize,5000.0,0.005,1,270,0.0557059496641159,0.0047188499011099,8.603282913099974e-05,0.08470998034433729,0.0015444100612186406
maize,5000.0,0.05,1,430,0.0549940168857574,0.0089298617094755,0.000500627211295,0.16237878618734244,0.009103303225421504
maize,5000.0,0.05,2,210,0.0679422691464424,0.0160126816481351,0.0016282547730952,0.23568070141462968,0.023965269243299316
maize,5000.0,0.05,3,480,0.0639054551720619,0.0080530811101198,0.0011307294480502,0.12601555044772508,0.01769378600004919
maize,5000.0,5.0,1,780,0.0688598304986953,0.0255835950374603,0.1523549705743789,0.3715314843527684,2.2125376939065453
maize,500.0,0.0,1,300,0.0426877327263355,0.0024701247457414,0.0,0.057864978718288704,0.0
maize,500.0,0.0,2,260,0.0426155291497707,0.0017677340656518,0.0,0.04148098359729769,0.0
maize,500.0,0.0,3,110,0.0497955307364463,0.0058421762660145,0.0,0.11732330551782832,0.0
maize,500.0,0.005,1,180,0.0468273647129535,0.0028748943004757,0.0001695298560662,0.06139346764650286,0.003620315964936294
maize,500.0,0.005,2,240,0.0456481948494911,0.0022105392999947,8.022238034754992e-05,0.04842555784041795,0.0017574053171665399
maize,500.0,0.005,3,110,0.049414649605751,0.0053804232738912,0.0001658645196584,0.10888316150814135,0.003356585971604183
maize,500.0,0.05,1,150,0.0647538006305694,0.0031235117930918,0.0010926012182608,0.04823673302069056,0.016873159685162904
maize,500.0,5.0,1,1320,0.0596033483743667,0.0014850588049739,0.0701768472790718,0.02491569426009918,1.1773977334007024
maize,50.0,0.0,1,140,0.0482240542769432,0.0010136379860341,0.0,0.02101934400232995,0.0
maize,50.0,0.005,1,140,0.0483292900025844,0.0010176373180001,0.0002242898772237,0.021056326669514118,0.004640868450823634
maize,50.0,0.05,1,160,0.0490752719342708,0.000885956804268,0.0008993246010504,0.018053018747498952,0.018325412485842456
maize,50.0,5.0,1,440,0.1503141671419143,0.0009350074105896,0.0814875289797782,0.00622035453056692,0.542114762228928
maize,5.0,0.0,1,150,0.0487482696771621,0.0001633111824048,0.0,0.003350091879903361,0.0
maize,5.0,0.005,1,170,0.0479248203337192,0.0001231148780789,0.0002289106050739,0.002568916841452991,0.004776452023813679
maize,5.0,0.05,1,180,0.049245785921812,0.0001031855645123,0.0010515056783333,0.002095317651669296,0.021352196104714127
maize,5.0,5.0,1,200,0.0966652855277061,0.00032014111639,0.0043657212518155,0.003311851970873675,0.04516327891634067
arabidopsis,0.0,0.001,1,330,0.033669926226139,0.0,2.0448005670914423e-05,0.0,0.000607307706395864
arabidopsis,0.0,0.01,1,330,0.0335385762155056,0.0,0.00017760443734,0.0,0.005295527043210907
arabidopsis,0.0,0.01,2,340,0.0333484187722206,0.0,0.0002144953323295,0.0,0.006431949106629778
arabidopsis,0.0,0.01,3,390,0.0334700122475624,0.0,0.0001594797067809,0.0,0.004764853553123955
arabidopsis,0.0,1.0,1,1300,0.0387399680912494,0.0,0.0005004621343687,0.0,0.012918496297929183
arabidopsis,0.05,0.0,1,320,0.033674169331789,6.450899036281044e-06,0.0,0.00019156817122111702,0.0
arabidopsis,0.05,0.0,2,310,0.0333191715180873,7.2385696512355935e-06,0.0,0.00021724938890830883,0.0
arabidopsis,0.05,0.0,3,490,0.0334391295909881,8.196077942557167e-06,0.0,0.00024510440441506063,0.0
arabidopsis,0.05,0.001,1,360,0.033467598259449,5.472914835991105e-06,2.091071473842021e-05,0.0001635287597742668,0.0006248047611996309
arabidopsis,0.05,0.01,1,300,0.0335947163403034,4.067572717758594e-06,0.0001592149492353,0.00012107775152959839,0.004739285416864517
arabidopsis,0.05,0.1,1,790,0.0340933129191398,6.973088602535427e-06,0.0002976283431053,0.00020452951049590646,0.008729815838407803
arabidopsis,0.05,1.0,1,1500,0.0389861725270748,6.723526439600391e-06,0.000369187851902,0.00017245925936769225,0.009469712669167752
arabidopsis,0.5,0.0,1,320,0.0335924513638019,3.899016519426368e-05,0.0,0.0011606823441375337,0.0
arabidopsis,0.5,0.001,1,310,0.0335684120655059,3.3871863706735894e-05,1.91667459148448e-05,0.0010090397973141487,0.0005709756504848226
arabidopsis,0.5,0.01,1,330,0.0335372686386108,3.019653377123177e-05,0.0001598530798219,0.0009003873898206216,0.00476643108729088
arabidopsis,0.5,0.01,2,300,0.0334503799676895,3.209085843991488e-05,0.0001979558728635,0.0009593570677197744,0.005917896091306292
arabidopsis,0.5,0.01,3,320,0.033511035144329,2.549945020291489e-05,0.0001185531727969,0.0007609269631060653,0.0035377353246863964
arabidopsis,0.5,1.0,1,1150,0.0385506525635719,2.235984356957488e-05,0.000988216837868,0.0005800120641979383,0.02563424409582645
arabidopsis,1.414213562,0.00316227766,1,420,0.0333045162260532,8.944120781961828e-05,6.430360372178257e-05,0.002685557934922078,0.0019307772941460604
arabidopsis,1.414213562,0.0316227766,1,410,0.0336661823093891,6.269261211855337e-05,0.0002376570919295,0.0018621835865562084,0.007059223102443078
arabidopsis,1.414213562,0.0316227766,2,310,0.0341348014771938,6.397228571586311e-05,0.0003302573750261,0.0018741074489214294,0.009675092888609653
arabidopsis,1.414213562,0.0316227766,3,300,0.0336532816290855,6.45300533506088e-05,0.000278586987406,0.0019174966073691147,0.008278152201514453
arabidopsis,200.0,0.0,1,440,0.0352933853864669,0.0015236200997605,0.0,0.04317013182715892,0.0
arabidopsis,200.0,0.001,1,460,0.0352075695991516,0.0015595585573464,5.4666570576955564e-06,0.04429611515655375,0.00015526936735295945
arabidopsis,200.0,0.01,1,430,0.0355918109416961,0.0014459009980782,4.915300087304786e-05,0.04062454142743029,0.0013810199473571804
arabidopsis,200.0,0.1,1,500,0.0357210375368595,0.0013474526349455,0.0001645023585297,0.03772154248193667,0.0046051954218842275
arabidopsis,200.0,1.0,1,730,0.0386107377707958,0.0012310759630054,0.0045316005125641,0.03188429007271016,0.11736632797500413
arabidopsis,20.0,0.0,1,300,0.0335789583623409,0.0007351957028731,0.0,0.02189453570714774,0.0
arabidopsis,20.0,0.001,1,300,0.0336186289787292,0.0007118720095604,1.3568336726166308e-05,0.021174926854120306,0.00040359577824399423
arabidopsis,20.0,0.01,1,310,0.0336354561150074,0.0006545019568875,8.872074977261946e-05,0.01945869128843107,0.0026377150786736085
arabidopsis,20.0,0.1,1,380,0.0345221981406211,0.0005773417651653,0.00027029166813,0.016723783428088303,0.0078295034119498
arabidopsis,20.0,1.0,1,800,0.0399753265082836,0.0004670032358262,0.0076612713746726,0.011682286965922056,0.19165000123476283
arabidopsis,2.0,0.0,1,520,0.0333706922829151,0.0001193872303701,0.0,0.0035776072416460795,0.0
arabidopsis,2.0,0.001,1,360,0.0334108732640743,0.0001164751665783,2.039172250078991e-05,0.0034861455328538873,0.0006103319221744651
arabidopsis,2.0,0.01,1,320,0.0335161238908767,0.0001092098464141,0.0001628763711778,0.0032584271012265713,0.004859642233931948
arabidopsis,2.0,0.01,2,310,0.0334502719342708,0.000108331994852,0.0001843191275838,0.0032385983308258442,0.0055102430242116975
arabidopsis,2.0,0.01,3,330,0.0335110686719417,9.021910955198108e-05,0.0001058524576365,0.0026922182170668924,0.0031587311843960567
