dataset,split,reference,mean_paired_delta,paired_delta_sd,error_reduction_percent,joint_better_seed_count,n_seeds
wheat,train,no_biological_loss,0.0012295988645669859,2.9388595716730696e-05,-5.8330765968197085,0,3
wheat,train,full,-0.00013168573279991394,0.00021992563634574882,0.5868073578484401,2,3
wheat,train,no_ode_residual,-0.00021733987023008056,0.00021663184408196308,0.9648098920286063,3,3
wheat,train,tuned,0.0,0.0,0.0,0,3
wheat,val,no_biological_loss,-0.0006613749132404848,0.0005957325529909949,1.7249453764732192,3,3
wheat,val,full,-0.00035953738352428416,0.0004083096227248657,0.9451573187543527,2,3
wheat,val,no_ode_residual,-7.074905454968611e-05,0.0002267005577571758,0.18740894062319047,2,3
wheat,val,tuned,0.0,0.0,0.0,0,3
wheat,test,no_biological_loss,-0.0005909587129749929,0.0004719126095205259,1.91170602612184,3,3
wheat,test,full,-0.0003074528142767904,0.00026595415310127156,1.0037922059904503,3,3
wheat,test,no_ode_residual,-0.00014972443135325905,0.00029550033144054165,0.49136050875108195,2,3
wheat,test,tuned,0.0,0.0,0.0,0,3
maize,train,no_biological_loss,-4.050039694429354,8.713287103055487,9.363860638958876,2,3
maize,train,full,-2.6956050493139068,12.711294944226793,6.433827167368844,1,3
maize,train,no_ode_residual,1.1107370835251444,7.5121956077787395,-2.9160063127912528,1,3
maize,train,tuned,0.0,0.0,0.0,0,3
maize,val,no_biological_loss,-15.810223183973854,10.779868903016869,26.023796126068987,3,3
maize,val,full,-2.303820370760183,2.1035722701861688,4.876166899943602,2,3
maize,val,no_ode_residual,-3.1999410249651894,3.109931485712914,6.646788261258429,3,3
maize,val,tuned,0.0,0.0,0.0,0,3
maize,test,no_biological_loss,-7.255613489696678,7.071279214006855,10.704430739983572,3,3
maize,test,full,3.8414237349036804,3.7122481792867803,-6.7768662254163115,1,3
maize,test,no_ode_residual,4.692405874411769,1.6074966512402276,-8.404301244718472,0,3
maize,test,tuned,0.0,0.0,0.0,0,3
arabidopsis,train,no_biological_loss,0.233515392144799,0.027646967129244294,-19.663763453555273,0,3
arabidopsis,train,full,0.019757115719085745,0.10671858205548826,-1.4099133629531746,2,3
arabidopsis,train,no_ode_residual,0.0055022964396183776,0.06091499876797593,-0.3887024670281791,1,3
arabidopsis,train,tuned,0.0,0.0,0.0,0,3
arabidopsis,val,no_biological_loss,-0.08631482951432057,0.07229110594218044,2.6333304970019733,3,3
arabidopsis,val,full,-0.0540703186105976,0.02796685175317249,1.6659897171809157,3,3
arabidopsis,val,no_ode_residual,-0.050024656320001824,0.09619937360824352,1.54326035831428,2,3
arabidopsis,val,tuned,0.0,0.0,0.0,0,3
arabidopsis,test,no_biological_loss,-0.19349596976995573,0.06956175888179164,6.464596334852846,3,3
arabidopsis,test,full,-0.06631192170932332,0.09005054601039712,2.3137608423511202,3,3
arabidopsis,test,no_ode_residual,-0.05268491712401172,0.03523259761678912,1.8470686563254346,3,3
arabidopsis,test,tuned,0.0,0.0,0.0,0,3
