dataset,variant,split,rmse_mean,rmse_sd,relative_error_mean,relative_error_sd,n_seeds,model,lambda_ode,lambda_K
wheat,no_biological_loss,train,0.0210797654403747,5.751183826439855e-05,7.041940783329717,0.01921249838115384,3,Latent Neural ODE (no physics),0.0,0.0
wheat,no_biological_loss,val,0.038341788804508496,0.00087031144814811,11.503266283791426,0.2611099964303756,3,Latent Neural ODE (no physics),0.0,0.0
wheat,no_biological_loss,test,0.030912635358158736,0.00023246885018011223,10.436855753132784,0.07848712438508201,3,Latent Neural ODE (no physics),0.0,0.0
maize,no_biological_loss,train,43.25181514960755,5.757829332030248,13.861226907280633,1.8452538601814406,3,Latent Neural ODE (no physics),0.0,0.0
maize,no_biological_loss,val,60.752947446188216,10.025984698537862,23.96937502445275,3.9556366782292964,3,Latent Neural ODE (no physics),0.0,0.0
maize,no_biological_loss,test,67.78140441037421,13.620087806329312,22.0006999701659,4.420850644819385,3,Latent Neural ODE (no physics),0.0,0.0
arabidopsis,no_biological_loss,train,1.1875417068372969,0.028188778068427952,5.644408343836226,0.13398179888412276,3,Latent Neural ODE (no physics),0.0,0.0
arabidopsis,no_biological_loss,val,3.277781866445903,0.046557868721871905,16.278576777478534,0.23122217141513132,3,Latent Neural ODE (no physics),0.0,0.0
arabidopsis,no_biological_loss,test,2.993163992726856,0.06620047924020411,15.029486515942546,0.33241052361556395,3,Latent Neural ODE (no physics),0.0,0.0
wheat,tuned,train,0.022309364304941685,6.66919439816087e-05,7.452702583123998,0.022279219452040467,3,Tuned PhytoODE,3.16227766,0.1
wheat,tuned,val,0.037680413891268014,0.0007745386072791759,11.30484122388575,0.23237632161704522,3,Tuned PhytoODE,3.16227766,0.1
wheat,tuned,test,0.030321676645183742,0.0006623703819780362,10.237333752762495,0.22363231254004573,3,Tuned PhytoODE,3.16227766,0.1
maize,tuned,train,39.20177545517819,3.4008914901577425,12.563280936833005,1.0899086771054034,3,Tuned PhytoODE,500.0,0.5
maize,tuned,val,44.94272426221436,3.136983449543783,17.73163373539627,1.2376606552993514,3,Tuned PhytoODE,500.0,0.5
maize,tuned,test,60.52579092067753,7.499530623580298,19.645650279547908,2.434221075850241,3,Tuned PhytoODE,500.0,0.5
arabidopsis,tuned,train,1.4210570989820959,0.029564028266747942,6.754311448920919,0.1405183892620164,3,Tuned PhytoODE,0.5,0.1
arabidopsis,tuned,val,3.1914670369315825,0.0331276215732626,15.849908050719309,0.16452300769493708,3,Tuned PhytoODE,0.5,0.1
arabidopsis,tuned,test,2.7996680229569004,0.016346296319573014,14.05789088148572,0.08207917799278622,3,Tuned PhytoODE,0.5,0.1
