epoch,data_loss,objective,val_rmse,selection_rmse,best_epoch,best_selection_rmse,L_m,L_r,L_y
10,0.08312304317951202,0.09870428591966629,6.986866891384125,6.986866891384125,-1,,4.8990637878887355e-05,0.0,0.015532252378761768
20,0.0509626604616642,0.06952083110809326,3.9490770548582077,5.467971973121166,-1,,3.029790605069138e-05,0.0,0.01852787658572197
30,0.04896923527121544,0.052216820418834686,3.793013095855713,4.9096523473660145,-1,,0.0001870474370662123,0.0,0.0030605397187173367
40,0.04532945528626442,0.04692462459206581,3.7243377417325974,4.613323695957661,-1,,9.823834261624143e-05,0.0,0.0014969299081712961
50,0.04169473797082901,0.04272427782416344,3.576541692018509,4.40596729516983,-1,,0.00013206385483499616,0.0,0.0008974737720564008
60,0.041519735008478165,0.04232189804315567,3.5453923046588898,4.262538130084673,-1,,0.00011725272634066641,0.0,0.0006849082419648767
70,0.04102833569049835,0.04150110110640526,3.390124812722206,4.1379076561757495,-1,,0.00011213536345167086,0.0,0.00036063112202100456
80,0.04104677960276604,0.041465263813734055,3.3741381019353867,4.042436461895704,-1,,0.00010115460463566706,0.0,0.0003173321601934731
90,0.04113776609301567,0.041849277913570404,3.382975608110428,3.96916303369734,-1,,8.47968112793751e-05,0.0,0.0006267158896662295
100,0.04089891165494919,0.0418059378862381,3.5098861902952194,3.9232353493571277,-1,,9.346886508865282e-05,0.0,0.0008135585230775177
110,0.04114174842834473,0.04173419624567032,3.3798236399888992,3.5625310242176056,-1,,8.1258564023301e-05,0.0,0.0005111878272145987
120,0.040748003870248795,0.041188474744558334,3.4489884972572327,3.512522168457508,-1,,8.584927854826674e-05,0.0,0.0003546212974470109
130,0.040813546627759933,0.041245222091674805,3.375646099448204,3.4707854688167576,-1,,8.668500959174708e-05,0.0,0.00034499302273616195
140,0.04097817465662956,0.041851408779621124,3.426862508058548,3.4410379454493523,-1,,7.926387479528785e-05,0.0,0.0007939701317809522
150,0.04059993475675583,0.04096127301454544,3.330180048942566,3.4164017811417575,-1,,8.646426431369036e-05,0.0,0.00027487296028994024
