split,curve,genotype,rmse,n_observed
train,0,35S::PIF4,1.4826370034386311,4
train,1,35S::PIF4,1.7579463718830872,4
train,2,Col-0,0.628791437954405,4
train,3,Col-0,1.6834141808209615,4
train,4,phyb,1.3587373753468734,4
train,5,phyb,0.7240800977980062,4
train,6,pif3,2.524628313827992,4
train,7,pif3,1.0711286748935795,4
train,8,pif3pif7,1.5509683631309257,4
train,9,pif3pif7,1.2012322018786237,4
train,10,pif4,1.5169719090372702,4
train,11,pif4,3.075901901371848,4
train,12,pif7-1,1.2656223262903594,4
train,13,pif7-1,0.30992480715070936,4
train,14,pif7-2,1.460518925700185,4
train,15,pif7-2,1.3248952540885823,4
train,16,pifq,2.0428547312943293,4
train,17,pifq,0.34766134167130286,4
val,0,35S::PIF4,4.344857271810075,4
val,1,35S::PIF4,3.296940571029742,4
val,2,Col-0,2.5010654917041726,4
val,3,Col-0,1.9755769936635161,4
val,4,phyb,2.0494879895789913,4
val,5,phyb,3.459012299872178,4
val,6,pif3,3.8956879780665057,4
val,7,pif3,2.250455113117842,4
val,8,pif3pif7,3.0115796451174375,4
val,9,pif3pif7,3.3114427763105767,4
val,10,pif4,2.764773910591142,4
val,11,pif4,2.6364082142906082,4
val,12,pif7-1,3.350716606857249,4
val,13,pif7-1,5.228184366808991,4
val,14,pif7-2,6.6219649264939555,4
val,15,pif7-2,2.3706036567406064,4
val,16,pifq,2.4450986150547465,4
val,17,pifq,3.0162313720779057,4
test,0,35S::PIF4,5.445545005669,4
test,1,35S::PIF4,3.106812820414243,4
test,2,Col-0,2.8517312150653376,4
test,3,Col-0,3.1511411600565,4
test,4,phyb,2.12657528690081,4
test,5,phyb,1.119916792434302,4
test,6,pif3,4.85297307295117,4
test,7,pif3,1.9811250074151323,4
test,8,pif3pif7,1.0396598593865944,4
test,9,pif3pif7,1.3225662639776727,4
test,10,pif4,2.600682451359429,4
test,11,pif4,1.7207870116382074,4
test,12,pif7-1,1.9272877029060795,4
test,13,pif7-1,1.727442649693631,4
test,14,pif7-2,5.0694886579006715,4
test,15,pif7-2,4.183396870965234,4
test,16,pifq,5.731136869818751,4
test,17,pifq,0.5903109677147876,4
