split,curve,genotype,rmse,n_observed
train,0,35S::PIF4,1.134522184573551,4
train,1,35S::PIF4,1.394703047199741,4
train,2,Col-0,0.4366754397495724,4
train,3,Col-0,1.0738852825276086,4
train,4,phyb,1.394505704409102,4
train,5,phyb,0.4779905844710033,4
train,6,pif3,2.4803540819178487,4
train,7,pif3,0.4140432425400768,4
train,8,pif3pif7,1.5985630803553454,4
train,9,pif3pif7,0.8146585452760494,4
train,10,pif4,1.1214257739924696,4
train,11,pif4,2.4212753276465206,4
train,12,pif7-1,1.0749471831944621,4
train,13,pif7-1,0.40327570997060497,4
train,14,pif7-2,0.9228120697871143,4
train,15,pif7-2,1.2285207098347024,4
train,16,pifq,2.075367196710937,4
train,17,pifq,0.42007794099170104,4
val,0,35S::PIF4,4.488218564544086,4
val,1,35S::PIF4,3.3352577652949247,4
val,2,Col-0,2.74337472567352,4
val,3,Col-0,1.6716219054763002,4
val,4,phyb,2.02870904829043,4
val,5,phyb,3.5891984597344315,4
val,6,pif3,4.168415223132045,4
val,7,pif3,1.1519113459570667,4
val,8,pif3pif7,3.394945050802255,4
val,9,pif3pif7,3.6025959529811944,4
val,10,pif4,2.4840595425365564,4
val,11,pif4,3.194015286260205,4
val,12,pif7-1,3.72404114474604,4
val,13,pif7-1,5.359526194545888,4
val,14,pif7-2,6.129251659735533,4
val,15,pif7-2,2.3430184029537924,4
val,16,pifq,2.4959552374817493,4
val,17,pifq,2.742534933975977,4
test,0,35S::PIF4,5.224189129126153,4
test,1,35S::PIF4,3.4147636063475995,4
test,2,Col-0,2.5398275629115075,4
test,3,Col-0,2.9908355860559364,4
test,4,phyb,2.091770506977837,4
test,5,phyb,1.4043857235065142,4
test,6,pif3,5.149064165366469,4
test,7,pif3,2.7051059330586797,4
test,8,pif3pif7,1.469884089282121,4
test,9,pif3pif7,0.9584963545859715,4
test,10,pif4,2.0842269077459465,4
test,11,pif4,2.935457329168512,4
test,12,pif7-1,1.9385750005829312,4
test,13,pif7-1,1.5684084955585023,4
test,14,pif7-2,5.121125547856813,4
test,15,pif7-2,4.434250279520906,4
test,16,pifq,5.897864548693571,4
test,17,pifq,0.5833868435478954,4
