split,curve,genotype,rmse,n_observed
train,0,35S::PIF4,1.6448680696287319,4
train,1,35S::PIF4,1.363588478825463,4
train,2,Col-0,0.7445937600978468,4
train,3,Col-0,1.6809968357317726,4
train,4,phyb,1.0646651575162558,4
train,5,phyb,0.3291893333321113,4
train,6,pif3,2.530979958693758,4
train,7,pif3,1.325404048091802,4
train,8,pif3pif7,1.517136670010982,4
train,9,pif3pif7,0.9771572272112065,4
train,10,pif4,1.4607850598765428,4
train,11,pif4,3.3625176334737725,4
train,12,pif7-1,1.2670662172247242,4
train,13,pif7-1,0.27961162384543553,4
train,14,pif7-2,1.3463817733524204,4
train,15,pif7-2,1.3057500633107284,4
train,16,pifq,1.9226066369885635,4
train,17,pifq,0.5165258933093559,4
val,0,35S::PIF4,4.391605477499887,4
val,1,35S::PIF4,3.3950981866635366,4
val,2,Col-0,2.374989745475769,4
val,3,Col-0,1.9357609165768925,4
val,4,phyb,2.283384571583072,4
val,5,phyb,3.8228403778649094,4
val,6,pif3,3.912684808583008,4
val,7,pif3,2.423216016641931,4
val,8,pif3pif7,2.996604672537279,4
val,9,pif3pif7,3.6205599281788525,4
val,10,pif4,2.779474912663666,4
val,11,pif4,2.8179841112476267,4
val,12,pif7-1,3.3471992505172983,4
val,13,pif7-1,5.456390476866346,4
val,14,pif7-2,6.5212499607884515,4
val,15,pif7-2,2.2281381975823167,4
val,16,pifq,2.326621254252702,4
val,17,pifq,2.9018210624734357,4
test,0,35S::PIF4,5.557310330462669,4
test,1,35S::PIF4,3.2972977499486156,4
test,2,Col-0,2.9993139754140707,4
test,3,Col-0,3.2906581954812113,4
test,4,phyb,2.442204332428093,4
test,5,phyb,1.4521585058594155,4
test,6,pif3,4.871844393571241,4
test,7,pif3,1.7687155846785894,4
test,8,pif3pif7,0.9967431876258359,4
test,9,pif3pif7,1.2861916009690932,4
test,10,pif4,2.5172986156554162,4
test,11,pif4,1.692737443834471,4
test,12,pif7-1,1.9387230061612206,4
test,13,pif7-1,1.6137617282338899,4
test,14,pif7-2,4.986198644435301,4
test,15,pif7-2,4.3307025739737925,4
test,16,pifq,5.5692240829503765,4
test,17,pifq,0.4250663999107432,4
