dataset,variant,seed,best_epoch
wheat,full,1,1280
wheat,full,2,870
wheat,full,3,910
maize,full,1,190
maize,full,2,730
maize,full,3,910
arabidopsis,full,1,800
arabidopsis,full,2,350
arabidopsis,full,3,580
wheat,no_ode_residual,1,1280
wheat,no_biological_loss,1,1000
wheat,no_ode_residual,2,840
wheat,no_biological_loss,2,810
wheat,no_ode_residual,3,840
wheat,no_biological_loss,3,720
maize,no_ode_residual,1,330
maize,no_biological_loss,1,180
maize,no_ode_residual,2,740
maize,no_biological_loss,2,40
maize,no_ode_residual,3,850
maize,no_biological_loss,3,50
arabidopsis,no_ode_residual,1,800
arabidopsis,no_biological_loss,1,360
arabidopsis,no_ode_residual,2,360
arabidopsis,no_biological_loss,2,320
arabidopsis,no_ode_residual,3,390
arabidopsis,no_biological_loss,3,360
