split,curve,genotype,rmse,n_observed
train,0,33,0.029390652289929865,67
train,1,33,0.01662160543853137,59
train,2,106,0.035261390544735,67
train,3,106,0.02003267499565536,59
train,4,122,0.019583242355157817,67
train,5,122,0.023205407742934992,59
train,6,133,0.017945236785085583,67
train,7,133,0.027955226738397176,59
train,8,5,0.02802239864146364,67
train,9,5,0.016016570934155334,59
train,10,30,0.02645608098765482,67
train,11,30,0.0174111917772008,59
train,12,218,0.014904066743621026,67
train,13,218,0.014795739280569504,59
train,14,2,0.03447748882076096,67
train,15,2,0.02690797192599163,59
train,16,17,0.019197685829189123,67
train,17,17,0.023859033502949694,59
train,18,254,0.017104816001416494,67
train,19,254,0.014490682676494584,59
train,20,282,0.02464258942050745,67
train,21,282,0.017811136040308973,59
train,22,294,0.02098606826034194,67
train,23,294,0.02775604705628294,59
train,24,301,0.021458381205162493,67
train,25,301,0.017614334959596887,59
train,26,302,0.017044609025842625,67
train,27,302,0.03415104803173258,59
train,28,335,0.026836441184973317,67
train,29,335,0.01701881404369775,59
train,30,339,0.014645679758463634,67
train,31,339,0.019019001785461186,59
train,32,341,0.0204462882872182,67
train,33,341,0.022690220944925763,59
train,34,6,0.036263651510360484,67
train,35,6,0.019076611390601017,59
train,36,362,0.022949045311937966,67
train,37,362,0.025962439984662293,59
val,0,33,0.02870100931884232,42
val,1,106,0.04674355684715749,42
val,2,122,0.0347207948234641,42
val,3,133,0.020293861482325103,42
val,4,5,0.020274725649412313,42
val,5,30,0.02166723596677682,42
val,6,218,0.02671799473287946,42
val,7,2,0.06392515641306552,42
val,8,17,0.05613355575567599,42
val,9,254,0.02135072593911037,42
val,10,282,0.05931090873319392,42
val,11,294,0.04288461516317513,42
val,12,301,0.03656652128457704,42
val,13,302,0.03780899471898228,42
val,14,335,0.039174329426315435,42
val,15,339,0.024513867343052508,42
val,16,341,0.024890221997653186,42
val,17,6,0.07447564061488647,42
val,18,362,0.04186111145614525,42
test,0,33,0.021814900245885976,72
test,1,106,0.03037451680048488,72
test,2,122,0.02545169369080696,72
test,3,133,0.024865670526240658,72
test,4,5,0.0272056081541755,72
test,5,30,0.029284172099540234,72
test,6,218,0.023659862001310778,72
test,7,2,0.04711150621456595,72
test,8,17,0.0573277635516046,72
test,9,254,0.021063718032990713,72
test,10,282,0.030898586022600705,72
test,11,294,0.0399508683593377,72
test,12,301,0.037066793378322395,72
test,13,302,0.031006405936620705,72
test,14,335,0.02159266571974775,72
test,15,339,0.02579059369482584,72
test,16,341,0.02988867078951434,72
test,17,6,0.03595562459755505,72
test,18,362,0.024641852053023845,72
