split,curve,genotype,rmse,n_observed
train,0,33,0.02897004959220474,67
train,1,33,0.01579628256368338,59
train,2,106,0.03368738918384627,67
train,3,106,0.0194407188879635,59
train,4,122,0.017608647722123436,67
train,5,122,0.021690949689842233,59
train,6,133,0.017021168985620255,67
train,7,133,0.02746835124823136,59
train,8,5,0.019608966488940963,67
train,9,5,0.015612108962348995,59
train,10,30,0.02307891590543735,67
train,11,30,0.017992353430053804,59
train,12,218,0.013920786785461596,67
train,13,218,0.014641963192023726,59
train,14,2,0.03311150687530178,67
train,15,2,0.02539566134310025,59
train,16,17,0.017761584991102957,67
train,17,17,0.01993950480862436,59
train,18,254,0.016085752613616125,67
train,19,254,0.015455020750104983,59
train,20,282,0.02400413461712305,67
train,21,282,0.017102531360277957,59
train,22,294,0.018780144322966135,67
train,23,294,0.02592860270290294,59
train,24,301,0.019391213231636596,67
train,25,301,0.017076262250274983,59
train,26,302,0.01594234651053828,67
train,27,302,0.033573543931315245,59
train,28,335,0.024711431126851265,67
train,29,335,0.017310820915937882,59
train,30,339,0.013359456292248854,67
train,31,339,0.017911797625759257,59
train,32,341,0.019316349746033096,67
train,33,341,0.022042987727422463,59
train,34,6,0.03444140444317587,67
train,35,6,0.019105969001251825,59
train,36,362,0.020182311402738677,67
train,37,362,0.0245725304449527,59
val,0,33,0.028192864303827433,42
val,1,106,0.043328684979603245,42
val,2,122,0.03512710850939664,42
val,3,133,0.020372588660257027,42
val,4,5,0.021423206738864563,42
val,5,30,0.021694241442894127,42
val,6,218,0.030091884558245807,42
val,7,2,0.06208943279071111,42
val,8,17,0.05381680881545171,42
val,9,254,0.022409235164782177,42
val,10,282,0.05498020606063533,42
val,11,294,0.041629654352131014,42
val,12,301,0.03539657091064726,42
val,13,302,0.03496662691450286,42
val,14,335,0.04107222455086065,42
val,15,339,0.0235657076514781,42
val,16,341,0.026616842774664883,42
val,17,6,0.07671968313262281,42
val,18,362,0.04105060512978945,42
test,0,33,0.02244652551191454,72
test,1,106,0.030999469697433203,72
test,2,122,0.026172044997130092,72
test,3,133,0.02635487021094777,72
test,4,5,0.025720820315434215,72
test,5,30,0.030782212262798793,72
test,6,218,0.02440778353614179,72
test,7,2,0.045068001150158535,72
test,8,17,0.0536864133036998,72
test,9,254,0.02132540931635345,72
test,10,282,0.033136012004098984,72
test,11,294,0.042520308598970186,72
test,12,301,0.03603312384463033,72
test,13,302,0.03049267168151604,72
test,14,335,0.021268108695714882,72
test,15,339,0.02457872005906657,72
test,16,341,0.03084834256514965,72
test,17,6,0.03914161260136409,72
test,18,362,0.026395008354303452,72
