split,curve,genotype,rmse,n_observed
train,0,33,0.029075848442909957,67
train,1,33,0.015513274778372195,59
train,2,106,0.03536083455316211,67
train,3,106,0.019050972868013636,59
train,4,122,0.01990895047579366,67
train,5,122,0.022025928144751298,59
train,6,133,0.019712989077417222,67
train,7,133,0.028668056345828426,59
train,8,5,0.034981367989260805,67
train,9,5,0.016535183432859663,59
train,10,30,0.02961546460694291,67
train,11,30,0.017247910919710462,59
train,12,218,0.015211886077522479,67
train,13,218,0.014238538724082877,59
train,14,2,0.03520890684352674,67
train,15,2,0.026679022126344976,59
train,16,17,0.01881869804538164,67
train,17,17,0.021972549505491202,59
train,18,254,0.016403819477680416,67
train,19,254,0.014667949003401546,59
train,20,282,0.024983814605201018,67
train,21,282,0.017184830391126373,59
train,22,294,0.022204664815183458,67
train,23,294,0.02785955979741039,59
train,24,301,0.021379938343562766,67
train,25,301,0.0168959589763467,59
train,26,302,0.017239059746486828,67
train,27,302,0.03334456929690895,59
train,28,335,0.023684354226660674,67
train,29,335,0.01603554692973825,59
train,30,339,0.015394700157708637,67
train,31,339,0.01723911617316742,59
train,32,341,0.021519529971032323,67
train,33,341,0.022144915873446497,59
train,34,6,0.03642893399584479,67
train,35,6,0.018497242245135517,59
train,36,362,0.025044244393385217,67
train,37,362,0.025787947609380822,59
val,0,33,0.02991213534564833,42
val,1,106,0.043635131151426636,42
val,2,122,0.03459266351400859,42
val,3,133,0.020136021636058283,42
val,4,5,0.01904186110484186,42
val,5,30,0.021537828693621166,42
val,6,218,0.027627154392066824,42
val,7,2,0.05812231181413421,42
val,8,17,0.05244227842382465,42
val,9,254,0.021937642009088494,42
val,10,282,0.05509797793438648,42
val,11,294,0.041746286691378885,42
val,12,301,0.035983218003803955,42
val,13,302,0.03598302757228984,42
val,14,335,0.03711045366744904,42
val,15,339,0.02179008674351129,42
val,16,341,0.027054560416827134,42
val,17,6,0.07247427695198162,42
val,18,362,0.03923012487753103,42
test,0,33,0.020328624568791833,72
test,1,106,0.0287209208873881,72
test,2,122,0.023963251437299833,72
test,3,133,0.024437871913012423,72
test,4,5,0.027430668246246393,72
test,5,30,0.028487728214009498,72
test,6,218,0.02385249286195813,72
test,7,2,0.0470861891921573,72
test,8,17,0.056490211659356186,72
test,9,254,0.02166329959920924,72
test,10,282,0.030351190419840718,72
test,11,294,0.040758497028621644,72
test,12,301,0.03657532100434051,72
test,13,302,0.02913142968684473,72
test,14,335,0.022944306236769144,72
test,15,339,0.02391820199307377,72
test,16,341,0.03145050941501389,72
test,17,6,0.036273336735410076,72
test,18,362,0.025199747520238833,72
