sheet,genotype,elapsed_hours,n,mean,sd,spreadsheet_mean
12L12D,Col-0,0,27,1.0336296296296297,0.1804354024933424,1.0336296296296295
12L12D,hy5,0,33,2.5384848484848486,0.3348202055966121,2.5384848484848477
12L12D,MLB,0,25,0.941,0.16980552601922785,0.9410000000000003
12L12D,EMS57,0,6,1.0160000000000002,0.1569101653813417,1.0160000000000002
12L12D,phyAB,0,34,1.6352647058823528,0.23846444482113105,1.6352647058823528
12L12D,Col-0,12,32,1.558125,0.3703994138851351,1.558125
12L12D,hy5,12,26,4.935423076923077,0.7029616873245325,4.935423076923078
12L12D,MLB,12,37,1.4776486486486489,0.1954722509741495,1.4776486486486489
12L12D,EMS57,12,15,4.0576,0.7393206147731655,4.057599999999999
12L12D,phyAB,12,36,4.668611111111111,0.399878001236647,4.668611111111111
12L12D,Col-0,24,33,1.716,0.38406810919418966,1.7159999999999997
12L12D,hy5,24,29,5.501103448275861,0.6723997187487507,5.501103448275861
12L12D,MLB,24,38,1.5634473684210526,0.3353363537226806,1.5634473684210526
12L12D,EMS57,24,16,5.44625,0.8446984866408448,5.446250000000001
12L12D,phyAB,24,37,6.400945945945947,0.6294841338546785,6.400945945945946
12L12D,Col-0,36,24,2.1785833333333335,0.3731238186687779,2.1785833333333335
12L12D,hy5,36,26,7.297076923076924,1.14280129237158,7.297076923076921
12L12D,MLB,36,32,1.85571875,0.5224650156137945,1.85571875
12L12D,EMS57,36,14,7.127928571428572,0.9071251685564519,7.127928571428572
12L12D,phyAB,36,31,8.146064516129034,0.5774186774189575,8.146064516129034
12L12D,Col-0,48,31,2.6975483870967745,0.3774944448783035,2.6975483870967745
12L12D,hy5,48,24,8.074250000000001,1.038720544499442,8.07425
12L12D,MLB,48,29,1.8392758620689655,0.39699837140289596,1.8392758620689655
12L12D,EMS57,48,12,8.017333333333333,1.1387645884373063,8.017333333333333
12L12D,phyAB,48,33,9.157545454545454,0.7113606720095076,9.157545454545454
12L12D,Col-0,60,25,4.505,0.9045826385687491,4.504999999999999
12L12D,hy5,60,28,9.657785714285714,1.1933891159259757,9.657785714285712
12L12D,MLB,60,33,2.5084545454545455,0.7641300646367858,2.508454545454546
12L12D,EMS57,60,16,9.002125,1.204015718335936,9.002125
12L12D,phyAB,60,28,10.731964285714286,0.8397148317597163,10.731964285714284
12L12D,Col-0,72,25,4.55056,0.7168904542071497,4.550559999999999
12L12D,hy5,72,30,10.733066666666668,1.201992022847284,10.733066666666666
12L12D,MLB,72,31,2.8756451612903233,1.0493079163076044,2.8756451612903233
12L12D,EMS57,72,15,9.998333333333335,1.329788848258392,9.998333333333335
12L12D,phyAB,72,32,11.7993125,0.8059842885485403,11.799312500000001
cR,Col-0,0,19,1.207,0.2345181821901615,1.207
cR,hy5,0,26,2.081538461538462,0.3361325013466244,2.0815384615384613
cR,MLB,0,27,1.074,0.1200900303298129,1.074
cR,EMS57,0,3,0.9186666666666667,0.007767453465154036,0.9186666666666667
cR,phyAB,0,19,1.3730526315789473,0.2616119844528471,1.3730526315789473
cR,Col-0,12,31,2.129451612903226,0.4083420003469051,2.1294516129032255
cR,hy5,12,30,4.612733333333333,0.667058128746241,4.612733333333333
cR,MLB,12,30,2.0519333333333334,0.33623605555839975,2.0519333333333334
cR,EMS57,12,8,2.52275,0.45840990702333523,2.5227500000000003
cR,phyAB,12,31,4.271290322580645,0.7671880340372187,4.271290322580646
cR,Col-0,24,30,3.4205,0.49678405424462263,3.4205
cR,hy5,24,32,6.718593749999999,0.6666625523226536,6.71859375
cR,MLB,24,38,3.7800263157894736,0.4699594857088017,3.7800263157894727
cR,EMS57,24,9,5.502555555555556,0.5533767051275088,5.502555555555556
cR,phyAB,24,32,7.95478125,0.7951760500699444,7.954781250000002
cR,Col-0,36,28,4.872392857142858,0.8043024278855841,4.872392857142858
cR,hy5,36,27,8.233629629629629,1.0395891994935806,8.233629629629629
cR,MLB,36,28,5.145214285714286,0.6023726149118726,5.145214285714286
cR,EMS57,36,13,7.730615384615385,0.8877174417630063,7.730615384615385
cR,phyAB,36,26,10.580269230769233,0.7727061308255451,10.580269230769229
cR,Col-0,48,26,5.559846153846156,0.46836521581412865,5.559846153846156
cR,hy5,48,26,10.057461538461537,1.0463768816547596,10.057461538461537
cR,MLB,48,31,5.681903225806453,0.7854544907181111,5.681903225806453
cR,EMS57,48,13,9.295461538461538,0.767035376779174,9.295461538461538
cR,phyAB,48,32,11.939125,1.1212758502072824,11.939125
cR,Col-0,60,32,6.63915625,0.9419200058280067,6.639156250000001
cR,hy5,60,24,11.515,1.266044198692715,11.515
cR,MLB,60,31,6.332967741935483,0.8024965829157144,6.332967741935483
cR,EMS57,60,14,10.275642857142858,0.6966903745725056,10.275642857142858
cR,phyAB,60,25,13.40204,1.0220927257348034,13.402040000000001
cR,Col-0,72,32,7.0302187499999995,0.8928865381221051,7.030218750000002
cR,hy5,72,23,12.294826086956524,0.8605327975459005,12.294826086956522
cR,MLB,72,33,6.738696969696971,1.0196218810436692,6.738696969696969
cR,EMS57,72,13,11.214230769230769,1.3483092593965076,11.21423076923077
cR,phyAB,72,33,14.93569696969697,0.8587250900626058,14.935696969696973
