observation_id,sheet,genotype,elapsed_hours,length,source_cell,source_row,source_column
12L12D:B3,12L12D,Col-0,0,0.997,B3,3,2
12L12D:B4,12L12D,Col-0,0,1.084,B4,4,2
12L12D:B5,12L12D,Col-0,0,1.02,B5,5,2
12L12D:B6,12L12D,Col-0,0,0.994,B6,6,2
12L12D:B7,12L12D,Col-0,0,1.092,B7,7,2
12L12D:B8,12L12D,Col-0,0,1.049,B8,8,2
12L12D:B9,12L12D,Col-0,0,0.887,B9,9,2
12L12D:B10,12L12D,Col-0,0,0.835,B10,10,2
12L12D:B11,12L12D,Col-0,0,1.135,B11,11,2
12L12D:B12,12L12D,Col-0,0,1.205,B12,12,2
12L12D:B13,12L12D,Col-0,0,1.106,B13,13,2
12L12D:B14,12L12D,Col-0,0,1.336,B14,14,2
12L12D:B15,12L12D,Col-0,0,1.231,B15,15,2
12L12D:B16,12L12D,Col-0,0,0.969,B16,16,2
12L12D:B17,12L12D,Col-0,0,0.901,B17,17,2
12L12D:B18,12L12D,Col-0,0,0.68,B18,18,2
12L12D:B19,12L12D,Col-0,0,0.671,B19,19,2
12L12D:B20,12L12D,Col-0,0,1.307,B20,20,2
12L12D:B21,12L12D,Col-0,0,0.967,B21,21,2
12L12D:B22,12L12D,Col-0,0,0.879,B22,22,2
12L12D:B23,12L12D,Col-0,0,0.953,B23,23,2
12L12D:B24,12L12D,Col-0,0,1.362,B24,24,2
12L12D:B25,12L12D,Col-0,0,1.139,B25,25,2
12L12D:B26,12L12D,Col-0,0,0.968,B26,26,2
12L12D:B27,12L12D,Col-0,0,1.083,B27,27,2
12L12D:B28,12L12D,Col-0,0,1.238,B28,28,2
12L12D:B29,12L12D,Col-0,0,0.82,B29,29,2
12L12D:C3,12L12D,hy5,0,1.864,C3,3,3
12L12D:C4,12L12D,hy5,0,2.489,C4,4,3
12L12D:C5,12L12D,hy5,0,2.121,C5,5,3
12L12D:C6,12L12D,hy5,0,3.125,C6,6,3
12L12D:C7,12L12D,hy5,0,2.274,C7,7,3
12L12D:C8,12L12D,hy5,0,2.345,C8,8,3
12L12D:C9,12L12D,hy5,0,2.447,C9,9,3
12L12D:C10,12L12D,hy5,0,2.781,C10,10,3
12L12D:C11,12L12D,hy5,0,2.685,C11,11,3
12L12D:C12,12L12D,hy5,0,2.674,C12,12,3
12L12D:C13,12L12D,hy5,0,2.499,C13,13,3
12L12D:C14,12L12D,hy5,0,2.621,C14,14,3
12L12D:C15,12L12D,hy5,0,2.986,C15,15,3
12L12D:C16,12L12D,hy5,0,2.524,C16,16,3
12L12D:C17,12L12D,hy5,0,2.818,C17,17,3
12L12D:C18,12L12D,hy5,0,2.307,C18,18,3
12L12D:C19,12L12D,hy5,0,2.699,C19,19,3
12L12D:C20,12L12D,hy5,0,2.586,C20,20,3
12L12D:C21,12L12D,hy5,0,2.867,C21,21,3
12L12D:C22,12L12D,hy5,0,2.559,C22,22,3
12L12D:C23,12L12D,hy5,0,2.438,C23,23,3
12L12D:C24,12L12D,hy5,0,2.472,C24,24,3
12L12D:C25,12L12D,hy5,0,2.611,C25,25,3
12L12D:C26,12L12D,hy5,0,2.938,C26,26,3
12L12D:C27,12L12D,hy5,0,3.312,C27,27,3
12L12D:C28,12L12D,hy5,0,2.167,C28,28,3
12L12D:C29,12L12D,hy5,0,2.82,C29,29,3
12L12D:C30,12L12D,hy5,0,2.151,C30,30,3
12L12D:C31,12L12D,hy5,0,2.872,C31,31,3
12L12D:C32,12L12D,hy5,0,2.204,C32,32,3
12L12D:C33,12L12D,hy5,0,2.457,C33,33,3
12L12D:C34,12L12D,hy5,0,1.916,C34,34,3
12L12D:C35,12L12D,hy5,0,2.141,C35,35,3
