plant_id,genotype,source_row,g_idx,plant_index
Col-0:row3,Col-0,3,0,0
Col-0:row4,Col-0,4,0,1
Col-0:row5,Col-0,5,0,2
Col-0:row6,Col-0,6,0,3
Col-0:row7,Col-0,7,0,4
Col-0:row8,Col-0,8,0,5
Col-0:row9,Col-0,9,0,6
Col-0:row10,Col-0,10,0,7
Col-0:row11,Col-0,11,0,8
Col-0:row12,Col-0,12,0,9
Col-0:row13,Col-0,13,0,10
Col-0:row14,Col-0,14,0,11
Col-0:row15,Col-0,15,0,12
Col-0:row16,Col-0,16,0,13
Col-0:row17,Col-0,17,0,14
Col-0:row18,Col-0,18,0,15
Col-0:row19,Col-0,19,0,16
Col-0:row20,Col-0,20,0,17
Col-0:row21,Col-0,21,0,18
Col-0:row22,Col-0,22,0,19
Col-0:row23,Col-0,23,0,20
Col-0:row24,Col-0,24,0,21
Col-0:row25,Col-0,25,0,22
Col-0:row26,Col-0,26,0,23
Col-0:row27,Col-0,27,0,24
Col-0:row28,Col-0,28,0,25
Col-0:row29,Col-0,29,0,26
Col-0:row30,Col-0,30,0,27
Col-0:row31,Col-0,31,0,28
Col-0:row32,Col-0,32,0,29
Col-0:row33,Col-0,33,0,30
Col-0:row34,Col-0,34,0,31
Col-0:row35,Col-0,35,0,32
hy5:row3,hy5,3,1,33
hy5:row4,hy5,4,1,34
hy5:row5,hy5,5,1,35
hy5:row6,hy5,6,1,36
hy5:row7,hy5,7,1,37
hy5:row8,hy5,8,1,38
hy5:row9,hy5,9,1,39
hy5:row10,hy5,10,1,40
hy5:row11,hy5,11,1,41
hy5:row12,hy5,12,1,42
hy5:row13,hy5,13,1,43
hy5:row14,hy5,14,1,44
hy5:row15,hy5,15,1,45
hy5:row16,hy5,16,1,46
hy5:row17,hy5,17,1,47
hy5:row18,hy5,18,1,48
hy5:row19,hy5,19,1,49
hy5:row20,hy5,20,1,50
hy5:row21,hy5,21,1,51
hy5:row22,hy5,22,1,52
hy5:row23,hy5,23,1,53
hy5:row24,hy5,24,1,54
hy5:row25,hy5,25,1,55
hy5:row26,hy5,26,1,56
hy5:row27,hy5,27,1,57
hy5:row28,hy5,28,1,58
hy5:row29,hy5,29,1,59
hy5:row30,hy5,30,1,60
hy5:row31,hy5,31,1,61
hy5:row32,hy5,32,1,62
hy5:row33,hy5,33,1,63
hy5:row34,hy5,34,1,64
hy5:row35,hy5,35,1,65
MLB:row3,MLB,3,2,66
MLB:row4,MLB,4,2,67
MLB:row5,MLB,5,2,68
MLB:row6,MLB,6,2,69
MLB:row7,MLB,7,2,70
MLB:row8,MLB,8,2,71
MLB:row9,MLB,9,2,72
MLB:row10,MLB,10,2,73
MLB:row11,MLB,11,2,74
MLB:row12,MLB,12,2,75
