observation_id,sheet,genotype,elapsed_hours,length,source_cell,source_row,source_column,split
12L12D:B3,12L12D,Col-0,0,0.997,B3,3,2,train
12L12D:B6,12L12D,Col-0,0,0.994,B6,6,2,train
12L12D:B9,12L12D,Col-0,0,0.887,B9,9,2,train
12L12D:B10,12L12D,Col-0,0,0.835,B10,10,2,train
12L12D:B11,12L12D,Col-0,0,1.135,B11,11,2,train
12L12D:B12,12L12D,Col-0,0,1.205,B12,12,2,train
12L12D:B13,12L12D,Col-0,0,1.106,B13,13,2,train
12L12D:B14,12L12D,Col-0,0,1.336,B14,14,2,train
12L12D:B15,12L12D,Col-0,0,1.231,B15,15,2,train
12L12D:B16,12L12D,Col-0,0,0.969,B16,16,2,train
12L12D:B17,12L12D,Col-0,0,0.901,B17,17,2,train
12L12D:B23,12L12D,Col-0,0,0.953,B23,23,2,train
12L12D:B24,12L12D,Col-0,0,1.362,B24,24,2,train
12L12D:B26,12L12D,Col-0,0,0.968,B26,26,2,train
12L12D:B27,12L12D,Col-0,0,1.083,B27,27,2,train
12L12D:C3,12L12D,hy5,0,1.864,C3,3,3,train
12L12D:C5,12L12D,hy5,0,2.121,C5,5,3,train
12L12D:C6,12L12D,hy5,0,3.125,C6,6,3,train
12L12D:C7,12L12D,hy5,0,2.274,C7,7,3,train
12L12D:C8,12L12D,hy5,0,2.345,C8,8,3,train
12L12D:C12,12L12D,hy5,0,2.674,C12,12,3,train
12L12D:C14,12L12D,hy5,0,2.621,C14,14,3,train
12L12D:C15,12L12D,hy5,0,2.986,C15,15,3,train
12L12D:C16,12L12D,hy5,0,2.524,C16,16,3,train
12L12D:C18,12L12D,hy5,0,2.307,C18,18,3,train
12L12D:C19,12L12D,hy5,0,2.699,C19,19,3,train
12L12D:C20,12L12D,hy5,0,2.586,C20,20,3,train
12L12D:C21,12L12D,hy5,0,2.867,C21,21,3,train
12L12D:C27,12L12D,hy5,0,3.312,C27,27,3,train
12L12D:C28,12L12D,hy5,0,2.167,C28,28,3,train
12L12D:C30,12L12D,hy5,0,2.151,C30,30,3,train
12L12D:C32,12L12D,hy5,0,2.204,C32,32,3,train
12L12D:C34,12L12D,hy5,0,1.916,C34,34,3,train
12L12D:C35,12L12D,hy5,0,2.141,C35,35,3,train
12L12D:D3,12L12D,MLB,0,1.031,D3,3,4,train
12L12D:D4,12L12D,MLB,0,1.408,D4,4,4,train
12L12D:D5,12L12D,MLB,0,0.787,D5,5,4,train
12L12D:D8,12L12D,MLB,0,0.888,D8,8,4,train
12L12D:D9,12L12D,MLB,0,0.891,D9,9,4,train
12L12D:D13,12L12D,MLB,0,0.861,D13,13,4,train
12L12D:D14,12L12D,MLB,0,0.863,D14,14,4,train
12L12D:D15,12L12D,MLB,0,0.866,D15,15,4,train
12L12D:D19,12L12D,MLB,0,1.193,D19,19,4,train
12L12D:D22,12L12D,MLB,0,0.818,D22,22,4,train
12L12D:D23,12L12D,MLB,0,0.905,D23,23,4,train
12L12D:D24,12L12D,MLB,0,0.716,D24,24,4,train
12L12D:D25,12L12D,MLB,0,0.794,D25,25,4,train
12L12D:D26,12L12D,MLB,0,0.932,D26,26,4,train
12L12D:D27,12L12D,MLB,0,0.787,D27,27,4,train
12L12D:E3,12L12D,EMS57,0,1.041,E3,3,5,train
12L12D:E6,12L12D,EMS57,0,1.274,E6,6,5,train
12L12D:E8,12L12D,EMS57,0,0.819,E8,8,5,train
12L12D:F3,12L12D,phyAB,0,1.806,F3,3,6,train
12L12D:F4,12L12D,phyAB,0,1.361,F4,4,6,train
12L12D:F5,12L12D,phyAB,0,1.743,F5,5,6,train
12L12D:F7,12L12D,phyAB,0,2.05,F7,7,6,train
12L12D:F10,12L12D,phyAB,0,1.651,F10,10,6,train
12L12D:F11,12L12D,phyAB,0,1.521,F11,11,6,train
12L12D:F13,12L12D,phyAB,0,1.576,F13,13,6,train
12L12D:F15,12L12D,phyAB,0,1.54,F15,15,6,train
12L12D:F19,12L12D,phyAB,0,1.534,F19,19,6,train
12L12D:F20,12L12D,phyAB,0,1.328,F20,20,6,train
12L12D:F21,12L12D,phyAB,0,1.383,F21,21,6,train
12L12D:F23,12L12D,phyAB,0,1.863,F23,23,6,train
12L12D:F24,12L12D,phyAB,0,1.332,F24,24,6,train
12L12D:F25,12L12D,phyAB,0,1.253,F25,25,6,train
12L12D:F26,12L12D,phyAB,0,1.627,F26,26,6,train
12L12D:F28,12L12D,phyAB,0,1.338,F28,28,6,train
12L12D:F30,12L12D,phyAB,0,1.459,F30,30,6,train
12L12D:F32,12L12D,phyAB,0,1.898,F32,32,6,train
12L12D:F34,12L12D,phyAB,0,1.519,F34,34,6,train
12L12D:G3,12L12D,Col-0,12,1.647,G3,3,7,train
12L12D:G6,12L12D,Col-0,12,0.916,G6,6,7,train
12L12D:G9,12L12D,Col-0,12,2.428,G9,9,7,train
12L12D:G10,12L12D,Col-0,12,1.479,G10,10,7,train
12L12D:G11,12L12D,Col-0,12,1.629,G11,11,7,train
12L12D:G12,12L12D,Col-0,12,2.208,G12,12,7,train
12L12D:G13,12L12D,Col-0,12,1.534,G13,13,7,train
12L12D:G14,12L12D,Col-0,12,1.623,G14,14,7,train
12L12D:G15,12L12D,Col-0,12,1.496,G15,15,7,train
12L12D:G16,12L12D,Col-0,12,1.84,G16,16,7,train
12L12D:G17,12L12D,Col-0,12,1.148,G17,17,7,train
12L12D:G23,12L12D,Col-0,12,1.915,G23,23,7,train
12L12D:G24,12L12D,Col-0,12,1.193,G24,24,7,train
12L12D:G26,12L12D,Col-0,12,1.853,G26,26,7,train
12L12D:G27,12L12D,Col-0,12,1.254,G27,27,7,train
12L12D:G30,12L12D,Col-0,12,1.193,G30,30,7,train
12L12D:G32,12L12D,Col-0,12,1.234,G32,32,7,train
12L12D:G33,12L12D,Col-0,12,1.377,G33,33,7,train
12L12D:G34,12L12D,Col-0,12,0.917,G34,34,7,train
12L12D:H3,12L12D,hy5,12,5.683,H3,3,8,train
12L12D:H5,12L12D,hy5,12,4.803,H5,5,8,train
12L12D:H6,12L12D,hy5,12,4.461,H6,6,8,train
12L12D:H7,12L12D,hy5,12,7.417,H7,7,8,train
12L12D:H8,12L12D,hy5,12,5.318,H8,8,8,train
12L12D:H12,12L12D,hy5,12,4.228,H12,12,8,train
12L12D:H14,12L12D,hy5,12,5.273,H14,14,8,train
12L12D:H15,12L12D,hy5,12,4.568,H15,15,8,train
12L12D:H16,12L12D,hy5,12,4.867,H16,16,8,train
12L12D:H18,12L12D,hy5,12,4.323,H18,18,8,train
12L12D:H19,12L12D,hy5,12,5.062,H19,19,8,train
12L12D:H20,12L12D,hy5,12,4.874,H20,20,8,train
12L12D:H21,12L12D,hy5,12,3.947,H21,21,8,train
12L12D:H27,12L12D,hy5,12,4.961,H27,27,8,train
12L12D:H28,12L12D,hy5,12,5.448,H28,28,8,train
12L12D:I3,12L12D,MLB,12,1.638,I3,3,9,train
12L12D:I4,12L12D,MLB,12,1.383,I4,4,9,train
12L12D:I5,12L12D,MLB,12,1.384,I5,5,9,train
12L12D:I8,12L12D,MLB,12,1.291,I8,8,9,train
12L12D:I9,12L12D,MLB,12,1.651,I9,9,9,train
12L12D:I13,12L12D,MLB,12,1.46,I13,13,9,train
12L12D:I14,12L12D,MLB,12,1.293,I14,14,9,train
12L12D:I15,12L12D,MLB,12,1.475,I15,15,9,train
12L12D:I19,12L12D,MLB,12,1.724,I19,19,9,train
12L12D:I22,12L12D,MLB,12,1.226,I22,22,9,train
12L12D:I23,12L12D,MLB,12,1.133,I23,23,9,train
12L12D:I24,12L12D,MLB,12,1.6,I24,24,9,train
12L12D:I25,12L12D,MLB,12,1.893,I25,25,9,train
12L12D:I26,12L12D,MLB,12,1.406,I26,26,9,train
12L12D:I27,12L12D,MLB,12,1.475,I27,27,9,train
12L12D:I29,12L12D,MLB,12,1.621,I29,29,9,train
12L12D:I30,12L12D,MLB,12,1.627,I30,30,9,train
12L12D:I33,12L12D,MLB,12,1.331,I33,33,9,train
12L12D:I34,12L12D,MLB,12,1.28,I34,34,9,train
12L12D:I35,12L12D,MLB,12,1.364,I35,35,9,train
12L12D:I37,12L12D,MLB,12,1.682,I37,37,9,train
12L12D:I39,12L12D,MLB,12,1.682,I39,39,9,train
12L12D:J3,12L12D,EMS57,12,4.528,J3,3,10,train
12L12D:J6,12L12D,EMS57,12,3.211,J6,6,10,train
12L12D:J8,12L12D,EMS57,12,4.766,J8,8,10,train
12L12D:J9,12L12D,EMS57,12,4.167,J9,9,10,train
12L12D:J11,12L12D,EMS57,12,3.332,J11,11,10,train
12L12D:J13,12L12D,EMS57,12,4.358,J13,13,10,train
12L12D:J14,12L12D,EMS57,12,4.639,J14,14,10,train
12L12D:J16,12L12D,EMS57,12,4.123,J16,16,10,train
12L12D:K3,12L12D,phyAB,12,4.573,K3,3,11,train
12L12D:K4,12L12D,phyAB,12,4.406,K4,4,11,train
12L12D:K5,12L12D,phyAB,12,5.019,K5,5,11,train
12L12D:K7,12L12D,phyAB,12,4.427,K7,7,11,train
12L12D:K10,12L12D,phyAB,12,4.837,K10,10,11,train
12L12D:K11,12L12D,phyAB,12,4.533,K11,11,11,train
12L12D:K13,12L12D,phyAB,12,4.994,K13,13,11,train
12L12D:K15,12L12D,phyAB,12,4.712,K15,15,11,train
12L12D:K19,12L12D,phyAB,12,4.9,K19,19,11,train
12L12D:K20,12L12D,phyAB,12,4.605,K20,20,11,train
12L12D:K21,12L12D,phyAB,12,4.453,K21,21,11,train
12L12D:K23,12L12D,phyAB,12,4.994,K23,23,11,train
12L12D:K24,12L12D,phyAB,12,4.481,K24,24,11,train
12L12D:K25,12L12D,phyAB,12,4.032,K25,25,11,train
12L12D:K26,12L12D,phyAB,12,4.61,K26,26,11,train
12L12D:K28,12L12D,phyAB,12,5.017,K28,28,11,train
12L12D:K30,12L12D,phyAB,12,4.747,K30,30,11,train
12L12D:K32,12L12D,phyAB,12,3.765,K32,32,11,train
12L12D:K34,12L12D,phyAB,12,4.138,K34,34,11,train
12L12D:K37,12L12D,phyAB,12,5.214,K37,37,11,train
12L12D:K38,12L12D,phyAB,12,3.475,K38,38,11,train
12L12D:L3,12L12D,Col-0,24,2.44,L3,3,12,train
12L12D:L6,12L12D,Col-0,24,1.421,L6,6,12,train
12L12D:L9,12L12D,Col-0,24,1.823,L9,9,12,train
12L12D:L10,12L12D,Col-0,24,2.279,L10,10,12,train
12L12D:L11,12L12D,Col-0,24,2.004,L11,11,12,train
12L12D:L12,12L12D,Col-0,24,1.357,L12,12,12,train
12L12D:L13,12L12D,Col-0,24,1.087,L13,13,12,train
12L12D:L14,12L12D,Col-0,24,1.608,L14,14,12,train
12L12D:L15,12L12D,Col-0,24,1.406,L15,15,12,train
12L12D:L16,12L12D,Col-0,24,2.201,L16,16,12,train
12L12D:L17,12L12D,Col-0,24,1.457,L17,17,12,train
12L12D:L23,12L12D,Col-0,24,2.217,L23,23,12,train
12L12D:L24,12L12D,Col-0,24,1.357,L24,24,12,train
12L12D:L26,12L12D,Col-0,24,2.164,L26,26,12,train
