genotype,elapsed_hours,mean_length_mm,n_observations
Col-0,0,1.0641333333333334,15
Col-0,12,1.5202105263157895,19
Col-0,24,1.78,19
Col-0,36,2.176153846153846,13
Col-0,48,2.6157222222222223,18
Col-0,60,4.523733333333333,15
Col-0,72,4.418066666666666,15
EMS57,0,1.0446666666666666,3
EMS57,12,4.140499999999999,8
EMS57,24,5.326333333333333,9
EMS57,36,7.406375,8
EMS57,48,8.302,7
EMS57,60,9.243888888888888,9
EMS57,72,9.952222222222222,9
MLB,0,0.916,15
MLB,12,1.4826818181818182,22
MLB,24,1.5214545454545456,22
MLB,36,1.971157894736842,19
MLB,48,1.8268823529411766,17
MLB,60,2.4219999999999997,20
MLB,72,2.9595000000000002,18
hy5,0,2.467578947368421,19
hy5,12,5.015533333333334,15
hy5,24,5.476999999999999,17
hy5,36,7.121466666666667,15
hy5,48,8.157,13
hy5,60,9.646625,16
hy5,72,10.845235294117646,17
phyAB,0,1.5674736842105264,19
phyAB,12,4.568190476190476,21
phyAB,24,6.219,22
phyAB,36,8.221055555555557,18
phyAB,48,9.093842105263159,19
phyAB,60,10.572529411764705,17
phyAB,72,12.054947368421054,19
