genotype,source_row,split
Col-0,3,train
Col-0,4,val
Col-0,5,test
Col-0,6,train
Col-0,7,test
Col-0,8,val
Col-0,9,train
Col-0,10,train
Col-0,11,train
Col-0,12,train
Col-0,13,train
Col-0,14,train
Col-0,15,train
Col-0,16,train
Col-0,17,train
Col-0,18,test
Col-0,19,val
Col-0,20,test
Col-0,21,test
Col-0,22,val
Col-0,23,train
Col-0,24,train
Col-0,25,val
Col-0,26,train
Col-0,27,train
Col-0,28,test
Col-0,29,test
Col-0,30,train
Col-0,31,val
Col-0,32,train
Col-0,33,train
Col-0,34,train
Col-0,35,test
Col-0,37,train
EMS57,3,train
EMS57,4,test
EMS57,5,val
EMS57,6,train
EMS57,7,test
EMS57,8,train
EMS57,9,train
EMS57,10,test
EMS57,11,train
EMS57,12,val
EMS57,13,train
EMS57,14,train
EMS57,15,test
EMS57,16,train
EMS57,17,val
EMS57,18,train
MLB,3,train
MLB,4,train
MLB,5,train
MLB,6,test
MLB,7,test
MLB,8,train
MLB,9,train
MLB,10,test
MLB,11,test
MLB,12,val
MLB,13,train
MLB,14,train
MLB,15,train
MLB,16,val
MLB,17,test
MLB,18,test
MLB,19,train
MLB,20,test
MLB,21,val
MLB,22,train
MLB,23,train
MLB,24,train
MLB,25,train
MLB,26,train
MLB,27,train
MLB,28,val
MLB,29,train
MLB,30,train
MLB,31,val
MLB,32,test
MLB,33,train
MLB,34,train
MLB,35,train
MLB,36,test
MLB,37,train
MLB,38,val
MLB,39,train
MLB,40,val
hy5,3,train
hy5,4,val
hy5,5,train
hy5,6,train
hy5,7,train
hy5,8,train
hy5,9,test
hy5,10,test
hy5,11,test
hy5,12,train
hy5,13,test
hy5,14,train
hy5,15,train
hy5,16,train
hy5,17,val
hy5,18,train
hy5,19,train
hy5,20,train
hy5,21,train
hy5,22,test
hy5,23,val
hy5,24,val
hy5,25,val
hy5,26,test
hy5,27,train
hy5,28,train
hy5,29,test
hy5,30,train
hy5,31,test
hy5,32,train
hy5,33,val
hy5,34,train
hy5,35,train
phyAB,3,train
phyAB,4,train
phyAB,5,train
phyAB,6,test
phyAB,7,train
phyAB,8,test
phyAB,9,val
phyAB,10,train
phyAB,11,train
phyAB,12,val
phyAB,13,train
phyAB,14,test
phyAB,15,train
phyAB,16,val
phyAB,17,val
phyAB,18,val
phyAB,19,train
phyAB,20,train
phyAB,21,train
phyAB,22,test
phyAB,23,train
phyAB,24,train
phyAB,25,train
phyAB,26,train
phyAB,27,test
phyAB,28,train
phyAB,29,test
phyAB,30,train
phyAB,31,test
phyAB,32,train
phyAB,33,val
phyAB,34,train
phyAB,35,test
phyAB,36,val
phyAB,37,train
phyAB,38,train
phyAB,39,train
