observation_id,split
12L12D:B3,train
12L12D:B6,train
12L12D:B9,train
12L12D:B10,train
12L12D:B11,train
12L12D:B12,train
12L12D:B13,train
12L12D:B14,train
12L12D:B15,train
12L12D:B16,train
12L12D:B17,train
12L12D:B23,train
12L12D:B24,train
12L12D:B26,train
12L12D:B27,train
12L12D:C3,train
12L12D:C5,train
12L12D:C6,train
12L12D:C7,train
12L12D:C8,train
12L12D:C12,train
12L12D:C14,train
12L12D:C15,train
12L12D:C16,train
12L12D:C18,train
12L12D:C19,train
12L12D:C20,train
12L12D:C21,train
12L12D:C27,train
12L12D:C28,train
12L12D:C30,train
12L12D:C32,train
12L12D:C34,train
12L12D:C35,train
12L12D:D3,train
12L12D:D4,train
12L12D:D5,train
12L12D:D8,train
12L12D:D9,train
12L12D:D13,train
12L12D:D14,train
12L12D:D15,train
12L12D:D19,train
12L12D:D22,train
12L12D:D23,train
12L12D:D24,train
12L12D:D25,train
12L12D:D26,train
12L12D:D27,train
12L12D:E3,train
12L12D:E6,train
12L12D:E8,train
12L12D:F3,train
12L12D:F4,train
12L12D:F5,train
12L12D:F7,train
12L12D:F10,train
12L12D:F11,train
12L12D:F13,train
12L12D:F15,train
12L12D:F19,train
12L12D:F20,train
12L12D:F21,train
12L12D:F23,train
12L12D:F24,train
12L12D:F25,train
12L12D:F26,train
12L12D:F28,train
12L12D:F30,train
12L12D:F32,train
12L12D:F34,train
12L12D:G3,train
12L12D:G6,train
12L12D:G9,train
12L12D:G10,train
12L12D:G11,train
12L12D:G12,train
12L12D:G13,train
12L12D:G14,train
12L12D:G15,train
12L12D:G16,train
12L12D:G17,train
12L12D:G23,train
12L12D:G24,train
12L12D:G26,train
12L12D:G27,train
12L12D:G30,train
12L12D:G32,train
12L12D:G33,train
12L12D:G34,train
12L12D:H3,train
12L12D:H5,train
12L12D:H6,train
12L12D:H7,train
12L12D:H8,train
12L12D:H12,train
12L12D:H14,train
12L12D:H15,train
12L12D:H16,train
12L12D:H18,train
12L12D:H19,train
12L12D:H20,train
12L12D:H21,train
12L12D:H27,train
12L12D:H28,train
12L12D:I3,train
12L12D:I4,train
12L12D:I5,train
12L12D:I8,train
12L12D:I9,train
12L12D:I13,train
12L12D:I14,train
12L12D:I15,train
12L12D:I19,train
12L12D:I22,train
12L12D:I23,train
12L12D:I24,train
12L12D:I25,train
12L12D:I26,train
12L12D:I27,train
12L12D:I29,train
12L12D:I30,train
12L12D:I33,train
12L12D:I34,train
12L12D:I35,train
12L12D:I37,train
12L12D:I39,train
12L12D:J3,train
12L12D:J6,train
12L12D:J8,train
12L12D:J9,train
12L12D:J11,train
12L12D:J13,train
12L12D:J14,train
12L12D:J16,train
12L12D:K3,train
12L12D:K4,train
12L12D:K5,train
12L12D:K7,train
12L12D:K10,train
12L12D:K11,train
12L12D:K13,train
12L12D:K15,train
12L12D:K19,train
12L12D:K20,train
12L12D:K21,train
12L12D:K23,train
12L12D:K24,train
12L12D:K25,train
12L12D:K26,train
12L12D:K28,train
12L12D:K30,train
12L12D:K32,train
12L12D:K34,train
12L12D:K37,train
12L12D:K38,train
12L12D:L3,train
12L12D:L6,train
12L12D:L9,train
12L12D:L10,train
12L12D:L11,train
12L12D:L12,train
12L12D:L13,train
12L12D:L14,train
12L12D:L15,train
12L12D:L16,train
12L12D:L17,train
12L12D:L23,train
12L12D:L24,train
12L12D:L26,train
12L12D:L27,train
12L12D:L30,train
12L12D:L32,train
12L12D:L33,train
12L12D:L34,train
12L12D:M3,train
12L12D:M5,train
12L12D:M6,train
12L12D:M7,train
12L12D:M8,train
12L12D:M12,train
12L12D:M14,train
12L12D:M15,train
12L12D:M16,train
12L12D:M18,train
12L12D:M19,train
12L12D:M20,train
12L12D:M21,train
12L12D:M27,train
12L12D:M28,train
12L12D:M30,train
12L12D:M32,train
12L12D:N3,train
12L12D:N4,train
12L12D:N5,train
12L12D:N8,train
12L12D:N9,train
12L12D:N13,train
12L12D:N14,train
12L12D:N15,train
12L12D:N19,train
12L12D:N22,train
12L12D:N23,train
12L12D:N24,train
12L12D:N25,train
12L12D:N26,train
12L12D:N27,train
12L12D:N29,train
12L12D:N30,train
12L12D:N33,train
12L12D:N34,train
12L12D:N35,train
12L12D:N37,train
12L12D:N39,train
12L12D:O3,train
12L12D:O6,train
12L12D:O8,train
12L12D:O9,train
12L12D:O11,train
12L12D:O13,train
12L12D:O14,train
12L12D:O16,train
12L12D:O18,train
12L12D:P3,train
12L12D:P4,train
12L12D:P5,train
12L12D:P7,train
12L12D:P10,train
12L12D:P11,train
12L12D:P13,train
12L12D:P15,train
12L12D:P19,train
12L12D:P20,train
12L12D:P21,train
12L12D:P23,train
12L12D:P24,train
12L12D:P25,train
12L12D:P26,train
12L12D:P28,train
12L12D:P30,train
12L12D:P32,train
12L12D:P34,train
12L12D:P37,train
12L12D:P38,train
12L12D:P39,train
12L12D:Q6,train
12L12D:Q9,train
12L12D:Q11,train
12L12D:Q12,train
12L12D:Q13,train
12L12D:Q14,train
12L12D:Q15,train
12L12D:Q16,train
12L12D:Q17,train
12L12D:Q23,train
12L12D:Q24,train
12L12D:Q26,train
12L12D:Q27,train
12L12D:R3,train
12L12D:R5,train
12L12D:R6,train
12L12D:R7,train
12L12D:R8,train
12L12D:R12,train
12L12D:R14,train
12L12D:R15,train
12L12D:R16,train
12L12D:R18,train
12L12D:R19,train
12L12D:R20,train
12L12D:R21,train
12L12D:R27,train
12L12D:R28,train
12L12D:S3,train
12L12D:S4,train
12L12D:S5,train
12L12D:S8,train
12L12D:S9,train
12L12D:S13,train
12L12D:S14,train
12L12D:S15,train
12L12D:S19,train
12L12D:S22,train
12L12D:S23,train
12L12D:S24,train
12L12D:S25,train
12L12D:S26,train
12L12D:S27,train
12L12D:S29,train
12L12D:S30,train
12L12D:S33,train
12L12D:S34,train
12L12D:T3,train
12L12D:T6,train
12L12D:T8,train
12L12D:T9,train
12L12D:T11,train
12L12D:T13,train
12L12D:T16,train
12L12D:T18,train
12L12D:U3,train
12L12D:U4,train
12L12D:U5,train
12L12D:U7,train
12L12D:U10,train
12L12D:U11,train
12L12D:U13,train
12L12D:U15,train
12L12D:U19,train
12L12D:U20,train
12L12D:U21,train
12L12D:U23,train
12L12D:U24,train
12L12D:U25,train
12L12D:U26,train
12L12D:U28,train
12L12D:U30,train
12L12D:U32,train
12L12D:V6,train
12L12D:V9,train
12L12D:V10,train
12L12D:V11,train
12L12D:V12,train
12L12D:V13,train
12L12D:V14,train
12L12D:V15,train
12L12D:V16,train
12L12D:V17,train
12L12D:V23,train
12L12D:V24,train
12L12D:V26,train
12L12D:V30,train
12L12D:V32,train
12L12D:V33,train
12L12D:V34,train
12L12D:V37,train
12L12D:W3,train
12L12D:W5,train
12L12D:W6,train
12L12D:W7,train
12L12D:W8,train
12L12D:W12,train
12L12D:W14,train
12L12D:W16,train
12L12D:W19,train
12L12D:W20,train
12L12D:W21,train
12L12D:W27,train
12L12D:W28,train
12L12D:X3,train
12L12D:X4,train
12L12D:X5,train
12L12D:X8,train
12L12D:X9,train
12L12D:X13,train
12L12D:X14,train
12L12D:X15,train
12L12D:X19,train
12L12D:X22,train
12L12D:X23,train
12L12D:X24,train
12L12D:X25,train
12L12D:X26,train
12L12D:X27,train
12L12D:X29,train
12L12D:X30,train
12L12D:Y3,train
12L12D:Y6,train
12L12D:Y8,train
12L12D:Y9,train
12L12D:Y11,train
12L12D:Y13,train
12L12D:Y14,train
12L12D:Z3,train
12L12D:Z4,train
12L12D:Z5,train
12L12D:Z7,train
12L12D:Z10,train
12L12D:Z11,train
12L12D:Z13,train
12L12D:Z15,train
12L12D:Z19,train
12L12D:Z20,train
12L12D:Z21,train
12L12D:Z23,train
12L12D:Z24,train
12L12D:Z25,train
12L12D:Z26,train
12L12D:Z28,train
12L12D:Z30,train
12L12D:Z32,train
12L12D:Z34,train
12L12D:AA3,train
12L12D:AA6,train
12L12D:AA9,train
12L12D:AA10,train
12L12D:AA11,train
12L12D:AA12,train
12L12D:AA13,train
12L12D:AA14,train
12L12D:AA15,train
12L12D:AA16,train
12L12D:AA17,train
12L12D:AA23,train
12L12D:AA24,train
12L12D:AA26,train
12L12D:AA27,train
12L12D:AB3,train
12L12D:AB5,train
12L12D:AB6,train
12L12D:AB7,train
12L12D:AB8,train
