protocol,model,split,n_seeds,n_observations,rmse_mean,rmse_sd,relative_error_mean,relative_error_sd
replicate,phytoode,train,3,1052,0.7536394617624737,0.00650595769457859,13.164510803277098,0.11364552243011117
replicate,phytoode,val,3,330,0.7182626080946246,0.0014650644038660128,12.33256834940772,0.025155154526131842
replicate,phytoode,test,3,436,0.7787753371831219,0.006060826804594065,13.721571386213734,0.10678826573980221
replicate,latent_ode,train,3,1052,0.7551076579144439,0.001944707773029488,13.19015713031356,0.033969992000408636
replicate,latent_ode,val,3,330,0.7158010821710062,0.0009813153256866233,12.290303951463642,0.01684918327915851
replicate,latent_ode,test,3,436,0.7815044263107781,0.004511371430601508,13.769656359500027,0.07948775748167765
replicate,light_pinn,train,3,1052,0.7673089620014495,0.004700816430727823,13.40328848504891,0.08211346648676773
replicate,light_pinn,val,3,330,0.7263543874051428,0.004375541819474437,12.471504193054116,0.07512804919290904
replicate,light_pinn,test,3,436,0.7928695951848738,0.00482367423955767,13.969904067120495,0.08499035249541706
replicate,lstm,train,3,1052,0.7388944430118017,0.0024869711970152866,12.906946054499494,0.04344220393393587
replicate,lstm,val,3,330,0.7190184831156593,0.005566124934491092,12.345546722854237,0.09557036023085135
replicate,lstm,test,3,436,0.7741426674526758,0.002878106751700922,13.63994642278719,0.050710577704545866
replicate,rf,train,3,1052,0.7313041122850631,0.00017313822102674778,12.774358795044003,0.003024363899200367
replicate,rf,val,3,330,0.7283497324447206,0.00046585742592637454,12.50576426562914,0.007998771593521919
replicate,rf,test,3,436,0.7782537161713873,0.0005603540567402705,13.712380725432212,0.009873114650660368
replicate,light_logistic,train,1,1052,0.820689260502108,0.0,14.335731054670555,0.0
replicate,light_logistic,val,1,330,0.8020021165929819,0.0,13.770375636691353,0.0
replicate,light_logistic,test,1,436,0.8435177348132665,0.0,14.862295017768304,0.0
replicate,logistic,train,1,1052,0.8070493612436463,0.0,14.09747044033953,0.0
replicate,logistic,val,1,330,0.7713341310846836,0.0,13.243806352480602,0.0
replicate,logistic,test,1,436,0.8271872214293716,0.0,14.574560809362135,0.0
replicate,latent_ode_matched,train,3,1052,0.7508346744120448,0.00497125358900568,13.115517013475722,0.08683744004758907
replicate,latent_ode_matched,val,3,330,0.7176367989631208,0.002110864444238253,12.321823207170082,0.03624354065146215
replicate,latent_ode_matched,test,3,436,0.7769067348875618,0.004873071565087657,13.688647693632879,0.08586070482449826
time_holdout,phytoode,train,3,758,0.6928583796526774,0.0038171049581848357,13.39986109350773,0.07382269987794057
time_holdout,phytoode,val,3,240,0.6601600395209167,0.0026936289765412675,12.484066540728458,0.0509383200527858
time_holdout,phytoode,test,3,505,0.9255349744397439,0.004825258412338185,12.95982087013234,0.06756577158400262
time_holdout,latent_ode,train,3,758,0.6925207510098913,0.002954799325438141,13.393331365287091,0.057145733793261266
time_holdout,latent_ode,val,3,240,0.6602682753961998,0.002400534910731387,12.486113353301521,0.0453957158337845
time_holdout,latent_ode,test,3,505,0.9250830827744204,0.005331139984053834,12.95349324859773,0.0746493877973235
time_holdout,light_pinn,train,3,758,0.6969138419925188,0.0013335141015533745,13.478293618277172,0.025790124290632557
time_holdout,light_pinn,val,3,240,0.6607168676510369,0.0037471875784342704,12.494596531960907,0.07086181572534167
time_holdout,light_pinn,test,3,505,0.9418346852934962,0.0033291999020661914,13.188057877628955,0.04661718418340425
time_holdout,lstm,train,3,758,0.6902515088660698,0.006859088714159242,13.34944428762775,0.13265457804501699
time_holdout,lstm,val,3,240,0.6591331156048614,0.006179294463121308,12.464646724725045,0.11685457863875558
time_holdout,lstm,test,3,505,0.9303294812091281,0.014121969985732771,13.026956041258066,0.19774315007303678
time_holdout,rf,train,3,758,0.6912658642889028,0.0009318856126626834,13.36906189227045,0.01802264089088119
time_holdout,rf,val,3,240,0.6598467030858548,0.0011725676858772764,12.47814113980933,0.022174036805716234
time_holdout,rf,test,3,505,1.2662747537359886,0.0005214117658982742,17.731036032131875,0.0073010780491690646
time_holdout,light_logistic,train,1,758,0.7665698574334213,0.0,14.825438949337782,0.0
time_holdout,light_logistic,val,1,240,0.7575070755575504,0.0,14.324963902989232,0.0
time_holdout,light_logistic,test,1,505,1.0137851341166122,0.0,14.195545389203174,0.0
time_holdout,logistic,train,1,758,0.772632742329801,0.0,14.94269496849445,0.0
time_holdout,logistic,val,1,240,0.735914000543135,0.0,13.916624456247606,0.0
time_holdout,logistic,test,1,505,0.9387269136869465,0.0,13.144541247314093,0.0
time_holdout,latent_ode_matched,train,3,758,0.6925207510098913,0.002954799325438141,13.393331365287091,0.057145733793261266
time_holdout,latent_ode_matched,val,3,240,0.6602682753961998,0.002400534910731387,12.486113353301521,0.0453957158337845
time_holdout,latent_ode_matched,test,3,505,0.9250830827744204,0.005331139984053834,12.95349324859773,0.0746493877973235
