protocol,model,seed,genotype,r_light_per_hour,r_dark_per_hour,K_mm
replicate,phytoode,1,Col-0,0.2383684664964676,0.24525243043899536,8.884811565756799
replicate,phytoode,1,hy5,0.23955541849136353,0.24571825563907623,10.891811433076859
replicate,phytoode,1,MLB,0.2384680062532425,0.24529148638248444,9.044241936445237
replicate,phytoode,1,EMS57,0.23944666981697083,0.24567556381225586,10.698831245779992
replicate,phytoode,1,phyAB,0.24016109108924866,0.2459559142589569,11.995703512191772
replicate,phytoode,2,Col-0,0.23767971992492676,0.24542886018753052,9.542080542683602
replicate,phytoode,2,hy5,0.23847581446170807,0.24571655690670013,10.693762492895127
replicate,phytoode,2,MLB,0.23786036670207977,0.24549415707588196,9.797138392925262
replicate,phytoode,2,EMS57,0.23845385015010834,0.2457086145877838,10.661045215845109
replicate,phytoode,2,phyAB,0.23920594155788422,0.24598035216331482,11.807529522299767
replicate,phytoode,3,Col-0,0.2375319004058838,0.24529510736465454,9.615566479921341
replicate,phytoode,3,hy5,0.2382923662662506,0.24557159841060638,10.772388789057732
replicate,phytoode,3,MLB,0.23766164481639862,0.24534228444099426,9.8079003033638
replicate,phytoode,3,EMS57,0.23830604553222656,0.24557648599147797,10.793972759008408
replicate,phytoode,3,phyAB,0.23897899687290192,0.24582113325595856,11.872442784428596
replicate,light_logistic,1,Col-0,0.05561435253340761,0.011259043772357513,7.638220368965467
replicate,light_logistic,1,hy5,0.05816671255918696,0.020446125040381697,12.71550250545295
replicate,light_logistic,1,MLB,0.05274892116288798,1.0000000000000003e-05,7.35005465006873
replicate,light_logistic,1,EMS57,0.08476095568155445,0.02680875572635103,10.79123814447017
replicate,light_logistic,1,phyAB,0.0712782520925678,0.016506551158474745,14.644262830186696
time_holdout,phytoode,1,Col-0,0.23888012766838074,0.24540309607982635,7.867235794126988
time_holdout,phytoode,1,hy5,0.24037721753120422,0.24600687623023987,10.929712032675743
time_holdout,phytoode,1,MLB,0.23916873335838318,0.2455195039510727,8.410577174544335
time_holdout,phytoode,1,EMS57,0.24026735126972198,0.24596256017684937,10.685762666106225
time_holdout,phytoode,1,phyAB,0.2408691644668579,0.24620522558689117,12.052974022984506
time_holdout,phytoode,2,Col-0,0.23814170062541962,0.245225727558136,9.096724390029907
time_holdout,phytoode,2,hy5,0.2391478419303894,0.24561123549938202,10.842874910593034
time_holdout,phytoode,2,MLB,0.23825722932815552,0.2452699840068817,9.288458632230759
time_holdout,phytoode,2,EMS57,0.2391817420721054,0.24562422931194305,10.904518163561821
time_holdout,phytoode,2,phyAB,0.23979660868644714,0.24585972726345062,12.05021289408207
time_holdout,phytoode,3,Col-0,0.23723816871643066,0.24531611800193787,9.899444329142572
time_holdout,phytoode,3,hy5,0.23795682191848755,0.24556964635849,10.90046812593937
time_holdout,phytoode,3,MLB,0.23732483386993408,0.24534665048122406,10.01745490205288
time_holdout,phytoode,3,EMS57,0.23798705637454987,0.2455802857875824,10.943642749071122
time_holdout,phytoode,3,phyAB,0.2384256273508072,0.24573498964309692,11.578877115368844
time_holdout,light_logistic,1,Col-0,0.04957963179441367,0.010914769470326411,7.873394934371326
time_holdout,light_logistic,1,hy5,0.06673299364193602,0.01936301385255015,12.264753291019431
time_holdout,light_logistic,1,MLB,0.05355988892234514,1.0000000000000003e-05,7.344828650617675
time_holdout,light_logistic,1,EMS57,0.08225083861211227,0.026046730863886137,11.172101749825494
time_holdout,light_logistic,1,phyAB,0.0729624800568534,0.017709235167495747,14.823196627396763
