protocol,model,split,n_seeds,n_observations,n_targets,rmse_mean,rmse_sd,relative_error_mean,relative_error_sd,individual_rmse_mean,individual_rmse_sd
replicate,phytoode,train,3,547,35,0.191043402358313,0.0019793131982592,3.7640595591535546,0.0389976972378933,0.7272233431434563,0.0007171072681252
replicate,phytoode,val,3,171,35,0.2926394754335695,0.0008474121138875,5.780368646181631,0.0167385292303871,0.6936192068069769,0.0006469092643852
replicate,phytoode,test,3,225,35,0.3646211461681273,0.0079111392111252,7.218762328808793,0.1566245795544187,0.7377122987472404,0.0037619561013824
replicate,latent_ode,train,3,547,35,0.1902883846512385,0.0074011714690406,3.749183716373527,0.1458226239329995,0.7274388402727329,0.0021964165418266
replicate,latent_ode,val,3,171,35,0.2965294927422878,0.0029921066813495,5.857206311541386,0.0591016629635438,0.6953761790890258,0.0005947839324478
replicate,latent_ode,test,3,225,35,0.3678918008219907,0.0070235110272054,7.283514685752363,0.1390513341093664,0.7393669570358746,0.0033911953708152
replicate,logistic_pinn,train,3,547,35,0.2193544041737102,0.0134109487942233,4.321861062356432,0.2642311086542401,0.7353393890371498,0.0044439175401215
replicate,logistic_pinn,val,3,171,35,0.3038820644181439,0.0022170407467084,6.002438169686818,0.0437921534700463,0.6965576189212417,0.0025406690178026
replicate,logistic_pinn,test,3,225,35,0.3606834314654089,0.0136126994906676,7.14080353004929,0.2695039585864164,0.7363968367645656,0.0060959657013117
replicate,lstm,train,3,547,35,0.1374027912954482,0.0294572907434568,2.707197859991985,0.5803864223571253,0.7168405271236926,0.0055050703710772
replicate,lstm,val,3,171,35,0.2877078513801513,0.0141941198694719,5.682956617230654,0.2803697120222062,0.6920697658001802,0.0079289207585203
replicate,lstm,test,3,225,35,0.3613238188124217,0.007173855190911,7.153481906235214,0.1420278449253716,0.7387268024704955,0.0021205507808769
replicate,rf,train,3,547,35,0.3640268281393941,0.0132715593737099,7.172289884559894,0.2614847689521011,0.7942452292077727,0.0077192728907477
replicate,rf,val,3,171,35,0.4723582237254047,0.0268927167625333,9.330267771096354,0.5311990685961936,0.7884897914453507,0.0147859750844832
replicate,rf,test,3,225,35,0.4522763425284195,0.0139215835217678,8.954158193968647,0.2756192385999574,0.7892495891150179,0.009916620614504
replicate,logistic,train,1,547,35,0.3701948693674124,0.0,7.293816586131253,0.0,0.795654912754163,0.0
replicate,logistic,val,1,171,35,0.4084158381857439,0.0,8.067244182129404,0.0,0.7585278231344832,0.0
replicate,logistic,test,1,225,35,0.485175173531042,0.0,9.605488607466036,0.0,0.8014285917364927,0.0
replicate,latent_ode_matched,train,3,547,35,0.1902883846512385,0.0074011714690406,3.749183716373527,0.1458226239329995,0.7274388402727329,0.0021964165418266
replicate,latent_ode_matched,val,3,171,35,0.2965294927422878,0.0029921066813495,5.857206311541386,0.0591016629635438,0.6953761790890258,0.0005947839324478
replicate,latent_ode_matched,test,3,225,35,0.3678918008219907,0.0070235110272054,7.283514685752363,0.1390513341093664,0.7393669570358746,0.0033911953708152
replicate,phytoode_light,train,3,547,35,0.1903846441796748,0.007653246071074,3.751080283298621,0.1507891593050205,0.7279361211687002,0.002091990745667
replicate,phytoode_light,val,3,171,35,0.277658961629492,0.001058817592103,5.484465668059877,0.0209143212902164,0.6873116284086285,0.0020605914050776
replicate,phytoode_light,test,3,225,35,0.3460184921317537,0.0076922984315361,6.850467347607355,0.1522919740752601,0.732843952311593,0.0032898020873311
replicate,phytoode_light_anchor,train,3,547,35,0.1713045710321551,0.0106122105529915,3.3751524531107404,0.2090885740237125,0.7227658618109989,0.0023135863654829
replicate,phytoode_light_anchor,val,3,171,35,0.288618123035725,0.0067601801266435,5.700936781149379,0.1335306290742069,0.689449497961466,0.0007397044144242
replicate,phytoode_light_anchor,test,3,225,35,0.3293313826601623,0.0057313229071964,6.520096280278509,0.1134686189528668,0.7265328695400388,0.002684768316605
