protocol,model,seed,genotype,r_per_hour,K_mm
replicate,phytoode_light,1,Col-0,0.04671027511358261,4.687618178486824
replicate,phytoode_light,1,hy5,0.04968525841832161,10.802466627717017
replicate,phytoode_light,1,MLB,0.04059646278619766,2.891264104261994
replicate,phytoode_light,1,EMS57,0.06785978376865387,9.975632971286773
replicate,phytoode_light,1,phyAB,0.05987551808357239,11.97016688489914
replicate,phytoode_light,2,Col-0,0.046979084610939026,4.690539060473442
replicate,phytoode_light,2,hy5,0.04937459155917168,10.783214319348335
replicate,phytoode_light,2,MLB,0.04128763824701309,2.8617780786305667
replicate,phytoode_light,2,EMS57,0.06731583923101425,9.951536512613297
replicate,phytoode_light,2,phyAB,0.06085565313696861,11.980661453604698
replicate,phytoode_light,3,Col-0,0.04456456005573273,4.684860022008419
replicate,phytoode_light,3,hy5,0.05123243108391762,10.74176347142458
replicate,phytoode_light,3,MLB,0.04326620697975159,2.8450870615839956
replicate,phytoode_light,3,EMS57,0.067390076816082,9.986935443520546
replicate,phytoode_light,3,phyAB,0.06059722229838371,11.867968724012375
replicate,phytoode_light_anchor,1,Col-0,0.047924041748046875,4.669685663938522
replicate,phytoode_light_anchor,1,hy5,0.05650234967470169,10.794872498095035
replicate,phytoode_light_anchor,1,MLB,0.04485486075282097,3.5973871200978755
replicate,phytoode_light_anchor,1,EMS57,0.05828533321619034,9.97908046245575
replicate,phytoode_light_anchor,1,phyAB,0.060323797166347504,11.910101547181606
replicate,phytoode_light_anchor,2,Col-0,0.0522625669836998,4.761941214501857
replicate,phytoode_light_anchor,2,hy5,0.05671662092208862,10.826215557038784
replicate,phytoode_light_anchor,2,MLB,0.04830394312739372,2.9177043417692183
replicate,phytoode_light_anchor,2,EMS57,0.05943205952644348,10.065037145733832
replicate,phytoode_light_anchor,2,phyAB,0.06078023463487625,11.962082943320274
replicate,phytoode_light_anchor,3,Col-0,0.04793616011738777,4.620815677642822
replicate,phytoode_light_anchor,3,hy5,0.05784306675195694,10.663326505601406
replicate,phytoode_light_anchor,3,MLB,0.04579658433794975,3.3991653727591036
replicate,phytoode_light_anchor,3,EMS57,0.06088109314441681,10.02278166514635
replicate,phytoode_light_anchor,3,phyAB,0.06137948855757713,11.901688883721828
time_holdout,phytoode_light,1,Col-0,0.04237224906682968,4.408418412476778
time_holdout,phytoode_light,1,hy5,0.04930448904633522,10.828254941046238
time_holdout,phytoode_light,1,MLB,0.03978459909558296,2.9178821950256824
time_holdout,phytoode_light,1,EMS57,0.06682742387056351,9.96515557461977
time_holdout,phytoode_light,1,phyAB,0.058780133724212646,12.007600293517113
time_holdout,phytoode_light,2,Col-0,0.045187465846538544,4.388922833561897
time_holdout,phytoode_light,2,hy5,0.04978976398706436,10.779557492852211
time_holdout,phytoode_light,2,MLB,0.036948952823877335,2.9563175103217363
time_holdout,phytoode_light,2,EMS57,0.06359438598155975,9.931450951516627
time_holdout,phytoode_light,2,phyAB,0.05892057344317436,12.124955640435218
time_holdout,phytoode_light,3,Col-0,0.04157927259802818,4.436491015791892
time_holdout,phytoode_light,3,hy5,0.05012938380241394,10.705294150114058
time_holdout,phytoode_light,3,MLB,0.039890795946121216,2.944795072451234
time_holdout,phytoode_light,3,EMS57,0.06488354504108429,9.893342109382152
time_holdout,phytoode_light,3,phyAB,0.05884835496544838,11.874552156507969
time_holdout,phytoode_light_anchor,1,Col-0,0.06966770440340042,4.420350526124238
time_holdout,phytoode_light_anchor,1,hy5,0.07350214570760727,10.85684474980831
time_holdout,phytoode_light_anchor,1,MLB,0.0684318095445633,2.9101602972596883
time_holdout,phytoode_light_anchor,1,EMS57,0.070917047560215,9.996498633563519
time_holdout,phytoode_light_anchor,1,phyAB,0.07529275119304657,12.04398048377037
time_holdout,phytoode_light_anchor,2,Col-0,0.06801605969667435,4.3322252596914765
time_holdout,phytoode_light_anchor,2,hy5,0.0726870447397232,10.642674267232417
time_holdout,phytoode_light_anchor,2,MLB,0.06781870871782303,2.9068554975539445
time_holdout,phytoode_light_anchor,2,EMS57,0.07428103685379028,9.80095572423935
time_holdout,phytoode_light_anchor,2,phyAB,0.07470596581697464,11.904833819925784
time_holdout,phytoode_light_anchor,3,Col-0,0.06665566563606262,4.425675493508577
time_holdout,phytoode_light_anchor,3,hy5,0.07067164778709412,10.76495308291912
time_holdout,phytoode_light_anchor,3,MLB,0.06579183787107468,2.9645208384543658
time_holdout,phytoode_light_anchor,3,EMS57,0.0725245401263237,10.035949347853661
time_holdout,phytoode_light_anchor,3,phyAB,0.07001474499702454,12.00623552531004
