protocol,seed,split,phytoode_rmse,matched_no_physics_rmse,improvement_percent
replicate,1,train,0.2453504074709933,0.15343795969557247,-59.9020268242481
replicate,1,val,0.32029404332146005,0.308297602486015,-3.8911884940750374
replicate,1,test,0.3530192379081946,0.3348887775207484,-5.413875174220473
replicate,2,train,0.18160475095079523,0.17375715876374329,-4.516413736784375
replicate,2,val,0.3065717102389938,0.32412543347112954,5.415719169010924
replicate,2,test,0.33742264942380074,0.3326060765224133,-1.4481313606015345
replicate,3,train,0.1951950085762642,0.1915328845165077,-1.9120079922572586
replicate,3,val,0.31084406365832246,0.30872386181222533,-0.6867631914330818
replicate,3,test,0.3407079027142148,0.3366135924806716,-1.216323501190253
time_holdout,1,train,0.15766385796875218,0.2001852395045208,21.24101739019992
time_holdout,1,val,0.3105691643440162,0.31668647158732455,1.9316604251032987
time_holdout,1,test,0.3498541934901678,0.38494331470539195,9.115399560082993
time_holdout,2,train,0.1275964125938666,0.1806734451135604,29.377329073640457
time_holdout,2,val,0.3271267111587818,0.3127358965869113,-4.601587067211255
time_holdout,2,test,0.2788447976975493,0.34203857155549644,18.47562793007801
time_holdout,3,train,0.13645002831861158,0.15137215851315902,9.857909367957006
time_holdout,3,val,0.30761097220770817,0.2960691843655986,-3.8983414862444166
time_holdout,3,test,0.287231135155879,0.30909296718874857,7.072898562431407
