protocol,model,seed,split,genotype,condition,rmse
replicate,phytoode,1,train,Col-0,12L12D,0.3155227295379588
replicate,phytoode,1,train,Col-0,cR,0.16784369130968432
replicate,phytoode,1,train,hy5,12L12D,0.2284114581238775
replicate,phytoode,1,train,hy5,cR,0.19648244051098127
replicate,phytoode,1,train,MLB,12L12D,0.17505894925263882
replicate,phytoode,1,train,MLB,cR,0.2558803061787264
replicate,phytoode,1,train,EMS57,12L12D,0.2152668764673447
replicate,phytoode,1,train,EMS57,cR,0.39981508127368726
replicate,phytoode,1,train,phyAB,12L12D,0.18474046894247012
replicate,phytoode,1,train,phyAB,cR,0.31448207311256404
replicate,phytoode,1,val,Col-0,12L12D,0.19448934314426758
replicate,phytoode,1,val,Col-0,cR,0.22988663605889856
replicate,phytoode,1,val,hy5,12L12D,0.3718207331209658
replicate,phytoode,1,val,hy5,cR,0.42726271405000454
replicate,phytoode,1,val,MLB,12L12D,0.2477615613284305
replicate,phytoode,1,val,MLB,cR,0.37079796550863625
replicate,phytoode,1,val,EMS57,12L12D,0.39814158163537994
replicate,phytoode,1,val,EMS57,cR,0.3365041282353116
replicate,phytoode,1,val,phyAB,12L12D,0.3863704832977522
replicate,phytoode,1,val,phyAB,cR,0.2399052868349533
replicate,phytoode,1,test,Col-0,12L12D,0.4907950613246219
replicate,phytoode,1,test,Col-0,cR,0.22144903879306815
replicate,phytoode,1,test,hy5,12L12D,0.2840525009233157
replicate,phytoode,1,test,hy5,cR,0.4052328032127949
replicate,phytoode,1,test,MLB,12L12D,0.19956663767074662
replicate,phytoode,1,test,MLB,cR,0.1993892750206226
replicate,phytoode,1,test,EMS57,12L12D,0.7774095223410726
replicate,phytoode,1,test,EMS57,cR,0.3604884608795398
replicate,phytoode,1,test,phyAB,12L12D,0.27043316114261323
replicate,phytoode,1,test,phyAB,cR,0.3213759177735505
replicate,phytoode,2,train,Col-0,12L12D,0.28010837879825484
replicate,phytoode,2,train,Col-0,cR,0.1511598307925617
replicate,phytoode,2,train,hy5,12L12D,0.13125955200175926
replicate,phytoode,2,train,hy5,cR,0.17580786362013284
replicate,phytoode,2,train,MLB,12L12D,0.10345550416857108
replicate,phytoode,2,train,MLB,cR,0.20678858434680933
replicate,phytoode,2,train,EMS57,12L12D,0.12785110453568507
replicate,phytoode,2,train,EMS57,cR,0.302443998459054
replicate,phytoode,2,train,phyAB,12L12D,0.09085704112966365
replicate,phytoode,2,train,phyAB,cR,0.2463156516554604
replicate,phytoode,2,val,Col-0,12L12D,0.1947983373818029
replicate,phytoode,2,val,Col-0,cR,0.18809745979409934
replicate,phytoode,2,val,hy5,12L12D,0.4254480477739243
replicate,phytoode,2,val,hy5,cR,0.44316769347958074
replicate,phytoode,2,val,MLB,12L12D,0.2062041860104077
replicate,phytoode,2,val,MLB,cR,0.2504454440256977
replicate,phytoode,2,val,EMS57,12L12D,0.34912235177331596
replicate,phytoode,2,val,EMS57,cR,0.37314296046349693
replicate,phytoode,2,val,phyAB,12L12D,0.40992157609372454
replicate,phytoode,2,val,phyAB,cR,0.22536904559388773
replicate,phytoode,2,test,Col-0,12L12D,0.4109731665155923
replicate,phytoode,2,test,Col-0,cR,0.25166993215738864
replicate,phytoode,2,test,hy5,12L12D,0.19709859499441276
replicate,phytoode,2,test,hy5,cR,0.38850723720365554
replicate,phytoode,2,test,MLB,12L12D,0.18883406792204885
replicate,phytoode,2,test,MLB,cR,0.22881629294579986
replicate,phytoode,2,test,EMS57,12L12D,0.7152147095656122
replicate,phytoode,2,test,EMS57,cR,0.3796956080047582
replicate,phytoode,2,test,phyAB,12L12D,0.3172457130488712
replicate,phytoode,2,test,phyAB,cR,0.2961711718798675
replicate,phytoode,3,train,Col-0,12L12D,0.25715891594246604
replicate,phytoode,3,train,Col-0,cR,0.15789355491503052
replicate,phytoode,3,train,hy5,12L12D,0.16374118808822435
replicate,phytoode,3,train,hy5,cR,0.18500161665158635
replicate,phytoode,3,train,MLB,12L12D,0.11397018312352035
replicate,phytoode,3,train,MLB,cR,0.19360590808008984
replicate,phytoode,3,train,EMS57,12L12D,0.13808240132205385
replicate,phytoode,3,train,EMS57,cR,0.35046558929590493
replicate,phytoode,3,train,phyAB,12L12D,0.1287219401068026
replicate,phytoode,3,train,phyAB,cR,0.26330878823696324
replicate,phytoode,3,val,Col-0,12L12D,0.17310721917759783
replicate,phytoode,3,val,Col-0,cR,0.19402609731597883
replicate,phytoode,3,val,hy5,12L12D,0.4348736421622486
replicate,phytoode,3,val,hy5,cR,0.4554928134827936
replicate,phytoode,3,val,MLB,12L12D,0.21701173191608772
replicate,phytoode,3,val,MLB,cR,0.25469476002211944
replicate,phytoode,3,val,EMS57,12L12D,0.3396493550027708
replicate,phytoode,3,val,EMS57,cR,0.4334818023973269
replicate,phytoode,3,val,phyAB,12L12D,0.3928612990703263
replicate,phytoode,3,val,phyAB,cR,0.21324191603597498
replicate,phytoode,3,test,Col-0,12L12D,0.4016175649166882
replicate,phytoode,3,test,Col-0,cR,0.2822610513584905
replicate,phytoode,3,test,hy5,12L12D,0.21753664118595356
replicate,phytoode,3,test,hy5,cR,0.3993740881860557
replicate,phytoode,3,test,MLB,12L12D,0.2028124688756077
replicate,phytoode,3,test,MLB,cR,0.22740880859745527
replicate,phytoode,3,test,EMS57,12L12D,0.6936220770866169
replicate,phytoode,3,test,EMS57,cR,0.36784375630519056
replicate,phytoode,3,test,phyAB,12L12D,0.3169238096716494
replicate,phytoode,3,test,phyAB,cR,0.29767876095844054
replicate,latent_ode,1,train,Col-0,12L12D,0.31380876644892214
replicate,latent_ode,1,train,Col-0,cR,0.20083637760883746
replicate,latent_ode,1,train,hy5,12L12D,0.18050652295835762
replicate,latent_ode,1,train,hy5,cR,0.18241154065404952
replicate,latent_ode,1,train,MLB,12L12D,0.16821282976541593
replicate,latent_ode,1,train,MLB,cR,0.2050090352444309
replicate,latent_ode,1,train,EMS57,12L12D,0.22782932127315678
replicate,latent_ode,1,train,EMS57,cR,0.47236857567148494
replicate,latent_ode,1,train,phyAB,12L12D,0.13277073420419339
replicate,latent_ode,1,train,phyAB,cR,0.24943307533786815
replicate,latent_ode,1,val,Col-0,12L12D,0.21817376395206145
replicate,latent_ode,1,val,Col-0,cR,0.2328658790138863
replicate,latent_ode,1,val,hy5,12L12D,0.4353094143071279
replicate,latent_ode,1,val,hy5,cR,0.47309590338099955
replicate,latent_ode,1,val,MLB,12L12D,0.2117780470265144
replicate,latent_ode,1,val,MLB,cR,0.31952705637592244
replicate,latent_ode,1,val,EMS57,12L12D,0.34642964526761777
