protocol,model,seed,split,rmse,relative_error,mean_target,n_curves,n_scored_group_means,n_observations,individual_rmse
replicate,phytoode,1,train,0.2453504074709933,4.228780853263375,5.801918235645976,10,70,1052,0.7631428264458584
replicate,phytoode,1,val,0.32029404332146005,5.483664337870396,5.84087616576925,10,70,330,0.7250318162244289
replicate,phytoode,1,test,0.3530192379081946,6.0920357795220035,5.794766325812574,10,70,436,0.7892934990865258
replicate,phytoode,2,train,0.18160475095079523,3.1300811830654087,5.801918235645976,10,70,1052,0.7476701684868786
replicate,phytoode,2,val,0.3065717102389938,5.2487281280790175,5.84087616576925,10,70,330,0.7204015492747071
replicate,phytoode,2,test,0.33742264942380074,5.822886212352755,5.794766325812574,10,70,436,0.7808725494672987
replicate,phytoode,3,train,0.1951950085762642,3.3643185003370095,5.801918235645976,10,70,1052,0.750009141817206
replicate,phytoode,3,val,0.31084406365832246,5.3218738907707,5.84087616576925,10,70,330,0.7210074577517628
replicate,phytoode,3,test,0.3407079027142148,5.879579668235178,5.794766325812574,10,70,436,0.7815753388121646
replicate,latent_ode,1,train,0.23331867791667169,4.021405825459627,5.801918235645976,10,70,1052,0.7567812974328051
replicate,latent_ode,1,val,0.3144837129064496,5.384187303088145,5.84087616576925,10,70,330,0.7282407772609285
replicate,latent_ode,1,test,0.3395585925764816,5.859746079215141,5.794766325812574,10,70,436,0.7825257976060694
replicate,latent_ode,2,train,0.18656596148469973,3.2155910150279423,5.801918235645976,10,70,1052,0.7508366225641713
replicate,latent_ode,2,val,0.30428200649380044,5.209526753487097,5.84087616576925,10,70,330,0.7177435596480894
replicate,latent_ode,2,test,0.33371937267958185,5.758978946105922,5.794766325812574,10,70,436,0.7786293923645125
replicate,latent_ode,3,train,0.21709773112058608,3.741826794227733,5.801918235645976,10,70,1052,0.7550301361538374
replicate,latent_ode,3,val,0.3150947547446007,5.394648778743666,5.84087616576925,10,70,330,0.7224835297767839
replicate,latent_ode,3,test,0.33723149975061845,5.819587551760855,5.794766325812574,10,70,436,0.7799542784897195
replicate,light_pinn,1,train,0.22201741927822413,3.8266209598437246,5.801918235645976,10,70,1052,0.7583055453424871
replicate,light_pinn,1,val,0.3187881602915823,5.457882537552439,5.84087616576925,10,70,330,0.7266287121897144
replicate,light_pinn,1,test,0.3498811927794775,6.037882687709848,5.794766325812574,10,70,436,0.7856689191631229
replicate,light_pinn,2,train,0.20709853614463344,3.569483879870214,5.801918235645976,10,70,1052,0.7576521553770281
replicate,light_pinn,2,val,0.3209308921883027,5.494567648414367,5.84087616576925,10,70,330,0.725360131027745
replicate,light_pinn,2,test,0.36003970463439594,6.213187631580799,5.794766325812574,10,70,436,0.7892699850596722
replicate,light_pinn,3,train,0.1843629523549121,3.1776206569444256,5.801918235645976,10,70,1052,0.7489572821845003
replicate,light_pinn,3,val,0.31490262172166855,5.391359323232554,5.84087616576925,10,70,330,0.724213386940404
replicate,light_pinn,3,test,0.33054345838049154,5.704172347866692,5.794766325812574,10,70,436,0.7762950776666118
replicate,lstm,1,train,0.15447212993133508,2.6624320381194826,5.801918235645976,10,70,1052,0.7423068495862822
replicate,lstm,1,val,0.32336956098457176,5.536319411798104,5.84087616576925,10,70,330,0.7299643172598828
replicate,lstm,1,test,0.35671810332952353,6.155866919784769,5.794766325812574,10,70,436,0.7873174243406461
replicate,lstm,2,train,0.1536512437248695,2.648283507010888,5.801918235645976,10,70,1052,0.7424765073406855
replicate,lstm,2,val,0.30772190306887626,5.268420256404271,5.84087616576925,10,70,330,0.7209414035322375
replicate,lstm,2,test,0.34985574600969455,6.037443554044189,5.794766325812574,10,70,436,0.7857176848774488
replicate,lstm,3,train,0.13655059900185124,2.35354228473797,5.801918235645976,10,70,1052,0.7397140496865539
replicate,lstm,3,val,0.3267276486312983,5.593812287034986,5.84087616576925,10,70,330,0.7296461980942659
replicate,lstm,3,test,0.34930138892015106,6.027877040773859,5.794766325812574,10,70,436,0.7879977767923148
replicate,rf,1,train,0.28525202691424545,4.916512355546596,5.801918235645976,10,70,1052,0.7831339356038387
replicate,rf,1,val,0.3940656061242517,6.746686540517553,5.84087616576925,10,70,330,0.77637332238331
replicate,rf,1,test,0.40745152099831855,7.031371035331324,5.794766325812574,10,70,436,0.8169381435070652
replicate,rf,2,train,0.2864220534215346,4.936678556788466,5.801918235645976,10,70,1052,0.7845354480481376
replicate,rf,2,val,0.3866311526839363,6.619403351671924,5.84087616576925,10,70,330,0.77008162024805
replicate,rf,2,test,0.38797199270037985,6.69521376508614,5.794766325812574,10,70,436,0.8092100747259879
replicate,rf,3,train,0.2990802921265186,5.1548518951718645,5.801918235645976,10,70,1052,0.7901418298458706
replicate,rf,3,val,0.3936032766766405,6.738771127923794,5.84087616576925,10,70,330,0.7769585329133569
replicate,rf,3,test,0.4063485450800278,7.012337033677494,5.794766325812574,10,70,436,0.8175471316437569
replicate,light_logistic,1,train,0.36093950517188933,6.221037431281603,5.801918235645976,10,70,1052,0.8222020042789151
replicate,light_logistic,1,val,0.4464864998929633,7.644169936517745,5.84087616576925,10,70,330,0.8049586478470798
replicate,light_logistic,1,test,0.46524102031864756,8.028641607966977,5.794766325812574,10,70,436,0.8476575395238997
replicate,logistic,1,train,0.33757206200280115,5.818283682951909,5.801918235645976,10,70,1052,0.8085954929447535
replicate,logistic,1,val,0.40247765061584895,6.890706791124757,5.84087616576925,10,70,330,0.7734597204606195
replicate,logistic,1,test,0.4385021741362471,7.567210642868466,5.794766325812574,10,70,436,0.8305057484063132
replicate,latent_ode_matched,1,train,0.15343795969557247,2.6446074119569,5.801918235645976,10,70,1052,0.7413051724359123
replicate,latent_ode_matched,1,val,0.308297602486015,5.278276644398125,5.84087616576925,10,70,330,0.7183456201534474
replicate,latent_ode_matched,1,test,0.3348887775207484,5.779159308443528,5.794766325812574,10,70,436,0.7792461949162002
replicate,latent_ode_matched,2,train,0.17375715876374329,2.994822603603917,5.801918235645976,10,70,1052,0.7473089758753615
replicate,latent_ode_matched,2,val,0.32412543347112954,5.549260492298793,5.84087616576925,10,70,330,0.7234782292993512
replicate,latent_ode_matched,2,test,0.3326060765224133,5.739766848592871,5.794766325812574,10,70,436,0.7807155060679616
replicate,latent_ode_matched,3,train,0.1915328845165077,3.30119930577034,5.801918235645976,10,70,1052,0.7489767337432885
replicate,latent_ode_matched,3,val,0.30872386181222533,5.285574510576292,5.84087616576925,10,70,330,0.7198452446758238
replicate,latent_ode_matched,3,test,0.3366135924806716,5.808924356125262,5.794766325812574,10,70,436,0.7799918505256144
time_holdout,phytoode,1,train,0.15766385796875218,3.0579615693965203,5.1558482469701765,10,50,758,0.6987258726065442
time_holdout,phytoode,1,val,0.3105691643440162,5.95174897776669,5.218115977407248,10,50,240,0.6621649980327897
time_holdout,phytoode,1,test,0.3498541934901678,4.736155519514176,7.3868814494937665,10,20,505,0.9380865223009502
time_holdout,phytoode,2,train,0.1275964125938666,2.4747899178151402,5.1558482469701765,10,50,758,0.6933610054928825
time_holdout,phytoode,2,val,0.3271267111587818,6.269057885549775,5.218115977407248,10,50,240,0.6678117771857472
time_holdout,phytoode,2,test,0.2788447976975493,3.774864935955604,7.3868814494937665,10,20,505,0.9155326821745036
time_holdout,phytoode,3,train,0.13645002831861158,2.6465097842783902,5.1558482469701765,10,50,758,0.6933591186859261
time_holdout,phytoode,3,val,0.30761097220770817,5.895058169261934,5.218115977407248,10,50,240,0.6621516914518015
time_holdout,phytoode,3,test,0.287231135155879,3.888395084174031,7.3868814494937665,10,20,505,0.9208331523230241
time_holdout,latent_ode,1,train,0.17782031790940428,3.4489051925432443,5.1558482469701765,10,50,758,0.7019733419224852
time_holdout,latent_ode,1,val,0.309241255055376,5.9263009176931,5.218115977407248,10,50,240,0.6732509318375187
time_holdout,latent_ode,1,test,0.3050385041374771,4.129462564454474,7.3868814494937665,10,20,505,0.9351912983684693
time_holdout,latent_ode,2,train,0.1310114581699979,2.541026265600166,5.1558482469701765,10,50,758,0.6924583375875983
time_holdout,latent_ode,2,val,0.31077199252740495,5.9556359780607995,5.218115977407248,10,50,240,0.6607833944192535
time_holdout,latent_ode,2,test,0.29587523959828343,4.005414756162903,7.3868814494937665,10,20,505,0.9281152356902117
time_holdout,latent_ode,3,train,0.13774713757947882,2.6716678028765806,5.1558482469701765,10,50,758,0.694878887767424
time_holdout,latent_ode,3,val,0.3048347237952634,5.841854131167246,5.218115977407248,10,50,240,0.6600839459323371
time_holdout,latent_ode,3,test,0.3300348414712698,4.467850793705205,7.3868814494937665,10,20,505,0.929494875548582
time_holdout,light_pinn,1,train,0.1755490389720048,3.404852714103171,5.1558482469701765,10,50,758,0.7031399735346594
time_holdout,light_pinn,1,val,0.30108193697185465,5.769935706209711,5.218115977407248,10,50,240,0.6617293023716838
time_holdout,light_pinn,1,test,0.2957318281103608,4.003473321351701,7.3868814494937665,10,20,505,0.9305629413427668
time_holdout,light_pinn,2,train,0.14056339600388218,2.726290404037473,5.1558482469701765,10,50,758,0.6947231573705178
time_holdout,light_pinn,2,val,0.30677740745912063,5.879083730361063,5.218115977407248,10,50,240,0.6652818573698798
time_holdout,light_pinn,2,test,0.3155721824585777,4.272062366456474,7.3868814494937665,10,20,505,0.9416273790218062
time_holdout,light_pinn,3,train,0.10408560736791657,2.0187872563759464,5.1558482469701765,10,50,758,0.6877071551410345
time_holdout,light_pinn,3,val,0.3023078897668558,5.793429871542738,5.218115977407248,10,50,240,0.660819062665277
time_holdout,light_pinn,3,test,0.3136627708994373,4.246213683596249,7.3868814494937665,10,20,505,0.9284649616011739
time_holdout,lstm,1,train,0.031890974954520944,0.6185398294696048,5.1558482469701765,10,50,758,0.679991563488606
time_holdout,lstm,1,val,0.3205225555485618,6.142495815277404,5.218115977407248,10,50,240,0.6683586990350643
time_holdout,lstm,1,test,0.3011008109453559,4.0761559936228675,7.3868814494937665,10,20,505,0.9202893566884142
time_holdout,lstm,2,train,0.02579375817721034,0.5002815626384658,5.1558482469701765,10,50,758,0.6795216898796075
time_holdout,lstm,2,val,0.31796685232169863,6.093518306193119,5.218115977407248,10,50,240,0.6646082352201412
time_holdout,lstm,2,test,0.3832049930833075,5.187642386078487,7.3868814494937665,10,20,505,0.945199650367614
time_holdout,lstm,3,train,0.07499067653546804,1.4544779625648632,5.1558482469701765,10,50,758,0.6831968116088813
time_holdout,lstm,3,val,0.3034638363073649,5.815582436673792,5.218115977407248,10,50,240,0.6570766155051652
time_holdout,lstm,3,test,0.34561711773076625,4.678796053434049,7.3868814494937665,10,20,505,0.9412043854316398
time_holdout,rf,1,train,0.39799727066687485,7.719336404068082,5.1558482469701765,10,50,758,0.8095996405418678
time_holdout,rf,1,val,0.46760737344347475,8.961229981626765,5.218115977407248,10,50,240,0.7881731610390099
time_holdout,rf,1,test,0.843873736427113,11.42395126004012,7.3868814494937665,10,20,505,1.233189348620779
time_holdout,rf,2,train,0.36851328239269027,7.147481165863373,5.1558482469701765,10,50,758,0.79736082383951
time_holdout,rf,2,val,0.44597481715566945,8.546663567590219,5.218115977407248,10,50,240,0.7737889944528559
time_holdout,rf,2,test,0.8077274131101213,10.934619956104425,7.3868814494937665,10,20,505,1.2166557564427076
time_holdout,rf,3,train,0.3977774764979798,7.715073397122052,5.1558482469701765,10,50,758,0.8062053698093206
time_holdout,rf,3,val,0.45713174806068696,8.760475045781263,5.218115977407248,10,50,240,0.7728995881757965
time_holdout,rf,3,test,0.7765590574482422,10.512677951552355,7.3868814494937665,10,20,505,1.1988539888096896
time_holdout,light_logistic,1,train,0.3238693313244726,6.281591618116257,5.1558482469701765,10,50,758,0.7684304561437094
