protocol,dataset,additional_prefix_drop,model,label,split,n_seeds,rmse_mean,rmse_sd,relative_error_mean,relative_error_sd,pooled_rmse_mean,pooled_rmse_sd,mean_target_mean,mean_target_sd,n_plants,n_observations
prefix_forecast_20260911,hypocotyl,0.0,logistic,Logistic ODE,train,1,0.4091968204333233,0.0,11.792575937145875,0.0,0.5091033182067283,0.0,3.4699528128063943,0.0,157,551
prefix_forecast_20260911,hypocotyl,0.0,logistic,Logistic ODE,val,1,0.7686270023084225,0.0,13.528202207789837,0.0,0.9504173378485885,0.0,5.6816640563358085,0.0,128,128
prefix_forecast_20260911,hypocotyl,0.0,logistic,Logistic ODE,test,1,1.7082820542668067,0.0,22.889598323849953,0.0,1.9515977794198303,0.0,7.463136880330713,0.0,136,263
prefix_forecast_20260911,hypocotyl,0.0,rf,Random forest,train,3,0.027979397520041055,0.0011746756309746508,0.8063336601229499,0.03385278401018398,0.0459987930841739,0.0013739212235229106,3.4699528128063943,0.0,157,551
prefix_forecast_20260911,hypocotyl,0.0,rf,Random forest,val,3,1.0183488945175048,0.0002419620326844826,17.92342673590338,0.0042586472956739965,1.3609718188420672,0.0008682556526949009,5.6816640563358085,0.0,128,128
prefix_forecast_20260911,hypocotyl,0.0,rf,Random forest,test,3,2.6083995509137092,0.0010761741039598128,34.95044500373847,0.014419862870209172,2.8936679306674358,0.0008652492665072037,7.463136880330713,0.0,136,263
prefix_forecast_20260911,hypocotyl,0.0,lstm,LSTM-NN,train,3,0.295122664781607,0.020288786287646132,8.50509158777063,0.5846991985818144,0.35297194196916243,0.017268952205777077,3.4699528128063943,0.0,157,551
prefix_forecast_20260911,hypocotyl,0.0,lstm,LSTM-NN,val,3,0.8712039783954778,0.013447640175700028,15.333605960457477,0.23668488742667101,1.1738970081801536,0.05056890896491447,5.6816640563358085,0.0,128,128
prefix_forecast_20260911,hypocotyl,0.0,lstm,LSTM-NN,test,3,2.0026801803440057,0.2877469907565333,26.83429518252734,3.8555770230464046,2.304454956604394,0.3216669821932069,7.463136880330713,0.0,136,263
prefix_forecast_20260911,hypocotyl,0.0,logistic_pinn,Logistic-PINN,train,3,0.3667985005473578,0.016388079176600002,10.57070572238422,0.4722853612336535,0.46166718029756426,0.01989100937727278,3.4699528128063943,0.0,157,551
prefix_forecast_20260911,hypocotyl,0.0,logistic_pinn,Logistic-PINN,val,3,0.6158945100129737,0.026627330928039542,10.840037424003796,0.4686537370745554,0.83218975838033,0.020167676000168142,5.6816640563358085,0.0,128,128
