additional_prefix_drop,seed,split,rmse,relative_error,mean_target,pooled_rmse,n_plants,n_observations
0.0,1,train,0.3864383895843868,11.136704457714137,3.4699528128063943,0.4607209208843406,157,551
0.0,1,val,0.5670241746501997,9.979896189354818,5.6816640563358085,0.7750729292298458,128,128
0.0,1,test,1.226934166646389,16.439925815644695,7.463136880330713,1.4037782721984509,136,263
0.0,2,train,0.3968422132375216,11.43653054222854,3.4699528128063943,0.4674112208302102,157,551
0.0,2,val,0.5831451544463634,10.26363313043965,5.6816640563358085,0.7805693683741955,128,128
0.0,2,test,1.3310163226290799,17.83454255189942,7.463136880330713,1.51198170826942,136,263
0.0,3,train,0.3664789738615098,10.561497335322914,3.4699528128063943,0.4428851885555417,157,551
0.0,3,val,0.5598127237546724,9.852971210615788,5.6816640563358085,0.7747878783103183,128,128
0.0,3,test,1.2828906285376596,17.189697162311877,7.463136880330713,1.4601325157286102,136,263
0.25,1,train,0.3651398580476882,10.460645785276663,3.490605317710134,0.47396535905636394,157,413
0.25,1,val,0.5684092138835695,10.004273531288487,5.681664061921765,0.787081632355771,128,128
0.25,1,test,1.0833096475780684,14.515473418417598,7.4631368633388,1.2484282099799546,136,263
0.25,2,train,0.3585414692867554,10.201984807468726,3.514428574959966,0.4550426304388853,157,413
0.25,2,val,0.6411999144749716,11.28542462414596,5.6816640563358085,0.8598375124347928,128,128
0.25,2,test,1.4168793610378998,18.98503784343178,7.463136880330713,1.614300081966752,136,263
0.25,3,train,0.4108620332348485,11.589086884919219,3.5452493998427075,0.5220582921174824,157,413
0.25,3,val,0.5974085556308273,10.514675801091013,5.6816640563358085,0.8344903448119669,128,128
0.25,3,test,1.3964284619396528,18.71101233075298,7.463136880330713,1.5881867865455728,136,263
0.5,1,train,0.3703149300577315,10.820742616608417,3.4222690916734937,0.4804431746866762,157,275
0.5,1,val,0.6651578517069574,11.707095771723099,5.6816640495378525,0.9202230283586634,128,128
0.5,1,test,1.3974725399767987,18.72500211956179,7.463136885399204,1.6352360206527106,136,263
0.5,2,train,0.28017913481630424,8.130655443431472,3.4459600061229145,0.4023657332848925,157,275
0.5,2,val,0.7926703419727273,13.95137646494243,5.6816640563358085,1.0732584003636418,128,128
0.5,2,test,1.5993884679993067,21.430512311981516,7.463136880330713,1.8740753495975664,136,263
0.5,3,train,0.3209418093450165,9.203817698000899,3.4870509159989793,0.4598433945147559,157,275
0.5,3,val,0.6076118323206903,10.694258330937938,5.681664062321186,0.8463870063053844,128,128
0.5,3,test,1.2705834477262157,17.02479091111825,7.463136871163837,1.4534086114752023,136,263
