protocol,model,seed,split,rmse,relative_error,mean_target,n_curves,n_scored_group_means,n_observations,individual_rmse
replicate,phytoode,1,train,0.20322787002078443,3.5027703212394097,5.801918235645976,10,70,1052,0.753494043032412
replicate,phytoode,1,val,0.3011831029316472,5.156471296151526,5.84087616576925,10,70,330,0.7190930183049012
replicate,phytoode,1,test,0.33554894326768164,5.790551756556449,5.794766325812574,10,70,436,0.7796282192264663
replicate,phytoode,2,train,0.22283308247357764,3.840679468809642,5.801918235645976,10,70,1052,0.7575978008118176
replicate,phytoode,2,val,0.30111117017068795,5.155239755558681,5.84087616576925,10,70,330,0.7177008528175005
replicate,phytoode,2,test,0.33964401365852975,5.86122018666392,5.794766325812574,10,70,436,0.7794364492197249
replicate,phytoode,3,train,0.2075002124089496,3.5764070430035435,5.801918235645976,10,70,1052,0.7546979439833965
replicate,phytoode,3,val,0.298578511870354,5.111878824279626,5.84087616576925,10,70,330,0.7177073555113578
replicate,phytoode,3,test,0.3351207648090454,5.783162701768702,5.794766325812574,10,70,436,0.7791020486473876
replicate,latent_ode_matched,1,train,0.2282846923130148,3.9346416657593233,5.801918235645976,10,70,1052,0.7583131804895852
replicate,latent_ode_matched,1,val,0.3011919762089902,5.156623213040212,5.84087616576925,10,70,330,0.7198550955125531
replicate,latent_ode_matched,1,test,0.34561703921609177,5.964296397536399,5.794766325812574,10,70,436,0.782612535534452
replicate,latent_ode_matched,2,train,0.22263759361776397,3.8373100856526614,5.801918235645976,10,70,1052,0.7573200921811727
replicate,latent_ode_matched,2,val,0.3013574293076443,5.1594558890627535,5.84087616576925,10,70,330,0.7172838100203288
replicate,latent_ode_matched,2,test,0.34039295602340014,5.874144648544881,5.794766325812574,10,70,436,0.7803266901475018
replicate,latent_ode_matched,3,train,0.20748146070575196,3.5760838446674748,5.801918235645976,10,70,1052,0.7547021109860635
replicate,latent_ode_matched,3,val,0.2983687247301757,5.108287117586583,5.84087616576925,10,70,330,0.7176496942909331
replicate,latent_ode_matched,3,test,0.3353102752576767,5.786433074342435,5.794766325812574,10,70,436,0.7791921725690191
replicate,latent_ode,1,train,0.23331867791667169,4.021405825459627,5.801918235645976,10,70,1052,0.7567812974328051
replicate,latent_ode,1,val,0.3144837129064496,5.384187303088145,5.84087616576925,10,70,330,0.7282407772609285
replicate,latent_ode,1,test,0.3395585925764816,5.859746079215141,5.794766325812574,10,70,436,0.7825257976060694
replicate,latent_ode,2,train,0.18656596148469973,3.2155910150279423,5.801918235645976,10,70,1052,0.7508366225641713
replicate,latent_ode,2,val,0.30428200649380044,5.209526753487097,5.84087616576925,10,70,330,0.7177435596480894
replicate,latent_ode,2,test,0.33371937267958185,5.758978946105922,5.794766325812574,10,70,436,0.7786293923645125
replicate,latent_ode,3,train,0.21709773112058608,3.741826794227733,5.801918235645976,10,70,1052,0.7550301361538374
replicate,latent_ode,3,val,0.3150947547446007,5.394648778743666,5.84087616576925,10,70,330,0.7224835297767839
replicate,latent_ode,3,test,0.33723149975061845,5.819587551760855,5.794766325812574,10,70,436,0.7799542784897195
replicate,light_pinn,1,train,0.22201741927822413,3.8266209598437246,5.801918235645976,10,70,1052,0.7583055453424871
replicate,light_pinn,1,val,0.3187881602915823,5.457882537552439,5.84087616576925,10,70,330,0.7266287121897144
replicate,light_pinn,1,test,0.3498811927794775,6.037882687709848,5.794766325812574,10,70,436,0.7856689191631229
replicate,light_pinn,2,train,0.20709853614463344,3.569483879870214,5.801918235645976,10,70,1052,0.7576521553770281
replicate,light_pinn,2,val,0.3209308921883027,5.494567648414367,5.84087616576925,10,70,330,0.725360131027745
replicate,light_pinn,2,test,0.36003970463439594,6.213187631580799,5.794766325812574,10,70,436,0.7892699850596722
replicate,light_pinn,3,train,0.1843629523549121,3.1776206569444256,5.801918235645976,10,70,1052,0.7489572821845003
replicate,light_pinn,3,val,0.31490262172166855,5.391359323232554,5.84087616576925,10,70,330,0.724213386940404
replicate,light_pinn,3,test,0.33054345838049154,5.704172347866692,5.794766325812574,10,70,436,0.7762950776666118
replicate,lstm,1,train,0.15447212993133508,2.6624320381194826,5.801918235645976,10,70,1052,0.7423068495862822
replicate,lstm,1,val,0.32336956098457176,5.536319411798104,5.84087616576925,10,70,330,0.7299643172598828
replicate,lstm,1,test,0.35671810332952353,6.155866919784769,5.794766325812574,10,70,436,0.7873174243406461
replicate,lstm,2,train,0.1536512437248695,2.648283507010888,5.801918235645976,10,70,1052,0.7424765073406855
replicate,lstm,2,val,0.30772190306887626,5.268420256404271,5.84087616576925,10,70,330,0.7209414035322375
replicate,lstm,2,test,0.34985574600969455,6.037443554044189,5.794766325812574,10,70,436,0.7857176848774488
replicate,lstm,3,train,0.13655059900185124,2.35354228473797,5.801918235645976,10,70,1052,0.7397140496865539
replicate,lstm,3,val,0.3267276486312983,5.593812287034986,5.84087616576925,10,70,330,0.7296461980942659
replicate,lstm,3,test,0.34930138892015106,6.027877040773859,5.794766325812574,10,70,436,0.7879977767923148
replicate,rf,1,train,0.28525202691424545,4.916512355546596,5.801918235645976,10,70,1052,0.7831339356038387
replicate,rf,1,val,0.3940656061242517,6.746686540517553,5.84087616576925,10,70,330,0.77637332238331
replicate,rf,1,test,0.40745152099831855,7.031371035331324,5.794766325812574,10,70,436,0.8169381435070652
replicate,rf,2,train,0.2864220534215346,4.936678556788466,5.801918235645976,10,70,1052,0.7845354480481376
replicate,rf,2,val,0.3866311526839363,6.619403351671924,5.84087616576925,10,70,330,0.77008162024805
replicate,rf,2,test,0.38797199270037985,6.69521376508614,5.794766325812574,10,70,436,0.8092100747259879
replicate,rf,3,train,0.2990802921265186,5.1548518951718645,5.801918235645976,10,70,1052,0.7901418298458706
replicate,rf,3,val,0.3936032766766405,6.738771127923794,5.84087616576925,10,70,330,0.7769585329133569
replicate,rf,3,test,0.4063485450800278,7.012337033677494,5.794766325812574,10,70,436,0.8175471316437569
replicate,light_logistic,1,train,0.36093950517188933,6.221037431281603,5.801918235645976,10,70,1052,0.8222020042789151
replicate,light_logistic,1,val,0.4464864998929633,7.644169936517745,5.84087616576925,10,70,330,0.8049586478470798
replicate,light_logistic,1,test,0.46524102031864756,8.028641607966977,5.794766325812574,10,70,436,0.8476575395238997
replicate,logistic,1,train,0.33757206200280115,5.818283682951909,5.801918235645976,10,70,1052,0.8085954929447535
replicate,logistic,1,val,0.40247765061584895,6.890706791124757,5.84087616576925,10,70,330,0.7734597204606195
replicate,logistic,1,test,0.4385021741362471,7.567210642868466,5.794766325812574,10,70,436,0.8305057484063132
replicate,latent_ode_initial_control,1,train,0.15343795969557247,2.6446074119569,5.801918235645976,10,70,1052,0.7413051724359123
replicate,latent_ode_initial_control,1,val,0.308297602486015,5.278276644398125,5.84087616576925,10,70,330,0.7183456201534474
replicate,latent_ode_initial_control,1,test,0.3348887775207484,5.779159308443528,5.794766325812574,10,70,436,0.7792461949162002
replicate,latent_ode_initial_control,2,train,0.17375715876374329,2.994822603603917,5.801918235645976,10,70,1052,0.7473089758753615
replicate,latent_ode_initial_control,2,val,0.32412543347112954,5.549260492298793,5.84087616576925,10,70,330,0.7234782292993512
replicate,latent_ode_initial_control,2,test,0.3326060765224133,5.739766848592871,5.794766325812574,10,70,436,0.7807155060679616
replicate,latent_ode_initial_control,3,train,0.1915328845165077,3.30119930577034,5.801918235645976,10,70,1052,0.7489767337432885
replicate,latent_ode_initial_control,3,val,0.30872386181222533,5.285574510576292,5.84087616576925,10,70,330,0.7198452446758238
replicate,latent_ode_initial_control,3,test,0.3366135924806716,5.808924356125262,5.794766325812574,10,70,436,0.7799918505256144
