protocol,model,seed,candidate,best_epoch,n_params,lr,lambda_ode,lambda_k,epochs,min_samples_leaf
replicate,phytoode,1,phytoode_12,360.0,1160.0,0.01,50.0,0.01,1500.0,
replicate,phytoode,2,phytoode_12,700.0,1160.0,0.01,50.0,0.01,1500.0,
replicate,phytoode,3,phytoode_12,520.0,1160.0,0.01,50.0,0.01,1500.0,
replicate,latent_ode,1,latent_ode_00,1040.0,1160.0,0.003,0.0,0.0,1500.0,
replicate,latent_ode,2,latent_ode_00,820.0,1160.0,0.003,0.0,0.0,1500.0,
replicate,latent_ode,3,latent_ode_00,1000.0,1160.0,0.003,0.0,0.0,1500.0,
replicate,light_pinn,1,light_pinn_10,640.0,1400.0,0.01,5.0,0.01,1500.0,
replicate,light_pinn,2,light_pinn_10,1500.0,1400.0,0.01,5.0,0.01,1500.0,
replicate,light_pinn,3,light_pinn_10,960.0,1400.0,0.01,5.0,0.01,1500.0,
replicate,lstm,1,lstm_01,500.0,2421.0,0.01,0.0,0.0,1500.0,
replicate,lstm,2,lstm_01,600.0,2421.0,0.01,0.0,0.0,1500.0,
replicate,lstm,3,lstm_01,620.0,2421.0,0.01,0.0,0.0,1500.0,
replicate,rf,1,rf_00,,,,,,,1.0
replicate,rf,2,rf_00,,,,,,,1.0
replicate,rf,3,rf_00,,,,,,,1.0
replicate,light_logistic,1,light_logistic_00,,25.0,,,,,
replicate,logistic,1,logistic_00,,30.0,,,,,
replicate,latent_ode_matched,1,latent_ode_01,700.0,1160.0,0.01,0.0,0.0,1500.0,
replicate,latent_ode_matched,2,latent_ode_01,540.0,1160.0,0.01,0.0,0.0,1500.0,
replicate,latent_ode_matched,3,latent_ode_01,540.0,1160.0,0.01,0.0,0.0,1500.0,
time_holdout,phytoode,1,phytoode_08,380.0,1160.0,0.01,0.5,0.01,1500.0,
time_holdout,phytoode,2,phytoode_08,800.0,1160.0,0.01,0.5,0.01,1500.0,
time_holdout,phytoode,3,phytoode_08,480.0,1160.0,0.01,0.5,0.01,1500.0,
time_holdout,latent_ode,1,latent_ode_00,1140.0,1160.0,0.003,0.0,0.0,1500.0,
time_holdout,latent_ode,2,latent_ode_00,860.0,1160.0,0.003,0.0,0.0,1500.0,
time_holdout,latent_ode,3,latent_ode_00,1500.0,1160.0,0.003,0.0,0.0,1500.0,
time_holdout,light_pinn,1,light_pinn_08,540.0,1400.0,0.01,0.5,0.01,1500.0,
time_holdout,light_pinn,2,light_pinn_08,920.0,1400.0,0.01,0.5,0.01,1500.0,
time_holdout,light_pinn,3,light_pinn_08,940.0,1400.0,0.01,0.5,0.01,1500.0,
time_holdout,lstm,1,lstm_01,1240.0,2421.0,0.01,0.0,0.0,1500.0,
time_holdout,lstm,2,lstm_01,1240.0,2421.0,0.01,0.0,0.0,1500.0,
time_holdout,lstm,3,lstm_01,740.0,2421.0,0.01,0.0,0.0,1500.0,
time_holdout,rf,1,rf_00,,,,,,,1.0
time_holdout,rf,2,rf_00,,,,,,,1.0
time_holdout,rf,3,rf_00,,,,,,,1.0
time_holdout,light_logistic,1,light_logistic_00,,25.0,,,,,
time_holdout,logistic,1,logistic_00,,30.0,,,,,
time_holdout,latent_ode_matched,1,latent_ode_01,340.0,1160.0,0.01,0.0,0.0,1500.0,
time_holdout,latent_ode_matched,2,latent_ode_01,400.0,1160.0,0.01,0.0,0.0,1500.0,
time_holdout,latent_ode_matched,3,latent_ode_01,440.0,1160.0,0.01,0.0,0.0,1500.0,
