protocol,model,seed,genotype,r_per_hour,K_mm,H0_mm
replicate,phytoode,1,Col-0,0.05215306580066681,4.638515960812568,
replicate,phytoode,1,hy5,0.05321890860795975,10.833095820486545,
replicate,phytoode,1,MLB,0.050583429634571075,2.9523591510057448,
replicate,phytoode,1,EMS57,0.06229076907038689,9.941382931530475,
replicate,phytoode,1,phyAB,0.060883402824401855,12.00472193276882,
replicate,phytoode,2,Col-0,0.05148470401763916,4.621803478717804,
replicate,phytoode,2,hy5,0.0529603473842144,10.842165927708148,
replicate,phytoode,2,MLB,0.05107495188713074,2.970411052107811,
replicate,phytoode,2,EMS57,0.0637921690940857,9.960233741283416,
replicate,phytoode,2,phyAB,0.06032131239771843,12.035256270468235,
replicate,phytoode,3,Col-0,0.05216178297996521,4.610513272225856,
replicate,phytoode,3,hy5,0.05394880846142769,10.82659988361597,
replicate,phytoode,3,MLB,0.05045725405216217,2.972305291503668,
replicate,phytoode,3,EMS57,0.061491549015045166,9.933155889630317,
replicate,phytoode,3,phyAB,0.060765866190195084,11.996057412743568,
replicate,logistic,1,Col-0,0.02806276165555799,10.59249869379666,1.0038060172521854
replicate,logistic,1,hy5,0.036530068712188155,13.25895692129627,3.085137957659812
replicate,logistic,1,MLB,0.01448782201441167,27.437999999999995,1.0872432835665047
replicate,logistic,1,EMS57,0.07152527168002666,9.9068992076381,1.789047659680978
replicate,logistic,1,phyAB,0.05640478770165122,12.394544518443727,2.4027780439989854
time_holdout,phytoode,1,Col-0,0.06737987697124481,4.397273759454489,
time_holdout,phytoode,1,hy5,0.07166926562786102,10.878918178796768,
time_holdout,phytoode,1,MLB,0.06706992536783218,3.0064281764030456,
time_holdout,phytoode,1,EMS57,0.06593704223632812,10.005537667572497,
time_holdout,phytoode,1,phyAB,0.06797677278518677,12.119507197916507,
time_holdout,phytoode,2,Col-0,0.06590260565280914,4.45894100305438,
time_holdout,phytoode,2,hy5,0.06860153377056122,10.886171320796013,
time_holdout,phytoode,2,MLB,0.06055363267660141,3.010823400557041,
time_holdout,phytoode,2,EMS57,0.06861736625432968,10.332656824886799,
time_holdout,phytoode,2,phyAB,0.07049421966075897,12.207024901270866,
time_holdout,phytoode,3,Col-0,0.06383641064167023,4.307915377110243,
time_holdout,phytoode,3,hy5,0.06737054139375687,10.78310965168476,
time_holdout,phytoode,3,MLB,0.06194141507148743,3.178415750697255,
time_holdout,phytoode,3,EMS57,0.070651113986969,10.100749261915682,
time_holdout,phytoode,3,phyAB,0.07235417515039444,12.074489472270011,
time_holdout,logistic,1,Col-0,0.021089633671767048,27.437999999999995,1.0866644643807724
time_holdout,logistic,1,hy5,0.035601340069840885,13.546408212998248,3.0912568134743563
time_holdout,logistic,1,MLB,0.015016470422919571,27.437999999999967,1.0450657044286282
time_holdout,logistic,1,EMS57,0.07016239172828614,9.998695484488877,1.8036638378162821
time_holdout,logistic,1,phyAB,0.0533419877907464,12.87604140757818,2.4319890066792134
