protocol,model,seed,split,genotype,rmse
replicate,phytoode,1,train,Col-0,0.294088456419157
replicate,phytoode,1,train,hy5,0.18928832893702333
replicate,phytoode,1,train,MLB,0.11426515204591736
replicate,phytoode,1,train,EMS57,0.19461960010590842
replicate,phytoode,1,train,phyAB,0.16674179031312703
replicate,phytoode,1,val,Col-0,0.1376275795141359
replicate,phytoode,1,val,hy5,0.5035779223617037
replicate,phytoode,1,val,MLB,0.1222086140091168
replicate,phytoode,1,val,EMS57,0.3341329470924274
replicate,phytoode,1,val,phyAB,0.3638841253411985
replicate,phytoode,1,test,Col-0,0.4728938976419833
replicate,phytoode,1,test,hy5,0.27205746206815434
replicate,phytoode,1,test,MLB,0.18719036780331547
replicate,phytoode,1,test,EMS57,0.655632264528153
replicate,phytoode,1,test,phyAB,0.2794472420886931
replicate,phytoode,2,train,Col-0,0.26649269941700043
replicate,phytoode,2,train,hy5,0.20916062531967647
replicate,phytoode,2,train,MLB,0.11271565705024832
replicate,phytoode,2,train,EMS57,0.20329107715136627
replicate,phytoode,2,train,phyAB,0.17100134679889423
replicate,phytoode,2,val,Col-0,0.14085092588526615
replicate,phytoode,2,val,hy5,0.5137450216964902
replicate,phytoode,2,val,MLB,0.12055573835374106
replicate,phytoode,2,val,EMS57,0.3285040404872568
replicate,phytoode,2,val,phyAB,0.3564734017297518
replicate,phytoode,2,test,Col-0,0.4331003085278635
replicate,phytoode,2,test,hy5,0.2650215206605253
replicate,phytoode,2,test,MLB,0.18865507061297795
replicate,phytoode,2,test,EMS57,0.6471722023327182
replicate,phytoode,2,test,phyAB,0.27734679721997424
replicate,phytoode,3,train,Col-0,0.26020696469279214
replicate,phytoode,3,train,hy5,0.20190065220962208
replicate,phytoode,3,train,MLB,0.11226097826342163
replicate,phytoode,3,train,EMS57,0.1985408301753954
replicate,phytoode,3,train,phyAB,0.17107687647514513
replicate,phytoode,3,val,Col-0,0.14632304429328433
replicate,phytoode,3,val,hy5,0.5137763027010667
replicate,phytoode,3,val,MLB,0.11662578121110544
replicate,phytoode,3,val,EMS57,0.3309923343516223
replicate,phytoode,3,val,phyAB,0.3603143524753763
replicate,phytoode,3,test,Col-0,0.4281443220512573
replicate,phytoode,3,test,hy5,0.26281196943910484
replicate,phytoode,3,test,MLB,0.19644469502566883
replicate,phytoode,3,test,EMS57,0.6305516637680635
replicate,phytoode,3,test,phyAB,0.2728474087534575
replicate,latent_ode,1,train,Col-0,0.2824888407126284
replicate,latent_ode,1,train,hy5,0.167024018111172
replicate,latent_ode,1,train,MLB,0.11558556613029622
replicate,latent_ode,1,train,EMS57,0.1897698944338492
replicate,latent_ode,1,train,phyAB,0.15706488653783973
replicate,latent_ode,1,val,Col-0,0.14863815212101553
replicate,latent_ode,1,val,hy5,0.5030658400749993
replicate,latent_ode,1,val,MLB,0.12384457512540559
replicate,latent_ode,1,val,EMS57,0.3415744952577363
replicate,latent_ode,1,val,phyAB,0.3775550922717833
replicate,latent_ode,1,test,Col-0,0.43801751240808184
replicate,latent_ode,1,test,hy5,0.29777843567003925
replicate,latent_ode,1,test,MLB,0.18226134632641863
replicate,latent_ode,1,test,EMS57,0.6525506213501493
replicate,latent_ode,1,test,phyAB,0.300834515857371
replicate,latent_ode,2,train,Col-0,0.30950115284029167
replicate,latent_ode,2,train,hy5,0.1832849753626937
replicate,latent_ode,2,train,MLB,0.12351307363578748
replicate,latent_ode,2,train,EMS57,0.19297217820826965
replicate,latent_ode,2,train,phyAB,0.17602204410365052
replicate,latent_ode,2,val,Col-0,0.16834246521277993
replicate,latent_ode,2,val,hy5,0.512287936900805
replicate,latent_ode,2,val,MLB,0.11766470963875253
replicate,latent_ode,2,val,EMS57,0.32694964383088815
replicate,latent_ode,2,val,phyAB,0.36212348908733094
replicate,latent_ode,2,test,Col-0,0.4798875622311885
replicate,latent_ode,2,test,hy5,0.2736195641549096
replicate,latent_ode,2,test,MLB,0.173048504185495
replicate,latent_ode,2,test,EMS57,0.6463687748824266
replicate,latent_ode,2,test,phyAB,0.27213079709307153
replicate,latent_ode,3,train,Col-0,0.2734516571209092
replicate,latent_ode,3,train,hy5,0.1959140319604794
replicate,latent_ode,3,train,MLB,0.11454584396354664
replicate,latent_ode,3,train,EMS57,0.198096687659105
replicate,latent_ode,3,train,phyAB,0.17509091898805917
replicate,latent_ode,3,val,Col-0,0.15161287930873674
replicate,latent_ode,3,val,hy5,0.5141021639374153
replicate,latent_ode,3,val,MLB,0.11474014665259934
replicate,latent_ode,3,val,EMS57,0.3209588162393408
replicate,latent_ode,3,val,phyAB,0.36448198547472865
replicate,latent_ode,3,test,Col-0,0.43485728180879824
replicate,latent_ode,3,test,hy5,0.2652386794345547
replicate,latent_ode,3,test,MLB,0.19417130363247947
replicate,latent_ode,3,test,EMS57,0.6313877951257005
replicate,latent_ode,3,test,phyAB,0.2762243181691759
replicate,logistic_pinn,1,train,Col-0,0.2361968060922526
replicate,logistic_pinn,1,train,hy5,0.2717246783029268
replicate,logistic_pinn,1,train,MLB,0.11736155985135643
replicate,logistic_pinn,1,train,EMS57,0.22575047234367437
replicate,logistic_pinn,1,train,phyAB,0.16831040197816163
replicate,logistic_pinn,1,val,Col-0,0.17048662233603257
replicate,logistic_pinn,1,val,hy5,0.48121639117159043
replicate,logistic_pinn,1,val,MLB,0.14239237172068753
replicate,logistic_pinn,1,val,EMS57,0.3580980195687669
replicate,logistic_pinn,1,val,phyAB,0.354671545021992
replicate,logistic_pinn,1,test,Col-0,0.4082652858894792
replicate,logistic_pinn,1,test,hy5,0.29840110150469873
replicate,logistic_pinn,1,test,MLB,0.17511823910969637
replicate,logistic_pinn,1,test,EMS57,0.5722085954472331
replicate,logistic_pinn,1,test,phyAB,0.2721086309783879
replicate,logistic_pinn,2,train,Col-0,0.32079521732474997
replicate,logistic_pinn,2,train,hy5,0.27173163006861467
replicate,logistic_pinn,2,train,MLB,0.12206418654737952
replicate,logistic_pinn,2,train,EMS57,0.2352672820804909
replicate,logistic_pinn,2,train,phyAB,0.18555413754320535
replicate,logistic_pinn,2,val,Col-0,0.16762973634942666
replicate,logistic_pinn,2,val,hy5,0.4953844760665708
replicate,logistic_pinn,2,val,MLB,0.13633320759060014
replicate,logistic_pinn,2,val,EMS57,0.3627949742280057
replicate,logistic_pinn,2,val,phyAB,0.36134016682410885
replicate,logistic_pinn,2,test,Col-0,0.47931783819737755
replicate,logistic_pinn,2,test,hy5,0.2917089123726809
replicate,logistic_pinn,2,test,MLB,0.19359339924442573
replicate,logistic_pinn,2,test,EMS57,0.5924487431201109
replicate,logistic_pinn,2,test,phyAB,0.2727830910170638
replicate,logistic_pinn,3,train,Col-0,0.32445519987794036
replicate,logistic_pinn,3,train,hy5,0.26491230826321627
replicate,logistic_pinn,3,train,MLB,0.11941490199640689
replicate,logistic_pinn,3,train,EMS57,0.2473675471751887
replicate,logistic_pinn,3,train,phyAB,0.17940973316008782
replicate,logistic_pinn,3,val,Col-0,0.1645326233556537
replicate,logistic_pinn,3,val,hy5,0.502203447523507
replicate,logistic_pinn,3,val,MLB,0.11066519379036492
replicate,logistic_pinn,3,val,EMS57,0.3719941599466143
