protocol,model,seed,split,rmse,relative_error,mean_target,n_curves,n_scored_group_means,n_observations,individual_rmse
replicate,phytoode,1,train,0.19180066556422665,3.7789796441909242,5.075461728381207,5,35,547,0.7278056866358008
replicate,phytoode,1,val,0.2922862376637164,5.773391308190981,5.062643809523809,5,35,171,0.6930881228039684
replicate,phytoode,1,test,0.3734442468260598,7.39344190327155,5.051020238095239,5,35,225,0.7419059746968123
replicate,phytoode,2,train,0.19253228114743715,3.7933944033274063,5.075461728381207,5,35,547,0.7274419751602074
replicate,phytoode,2,val,0.29202582563050117,5.7682475129130015,5.062643809523809,5,35,171,0.6934298269111641
replicate,phytoode,2,test,0.3622591798708118,7.172000166196548,5.051020238095239,5,35,225,0.7365963405975178
replicate,phytoode,3,train,0.18879726036327527,3.7198046299423324,5.075461728381207,5,35,547,0.7264223676343604
replicate,phytoode,3,val,0.293606363006491,5.799467117440908,5.062643809523809,5,35,171,0.6943396707057985
replicate,phytoode,3,test,0.35816001180751045,7.090844916958283,5.051020238095239,5,35,225,0.7346345809473913
replicate,latent_ode,1,train,0.18238664118515713,3.593498502122061,5.075461728381207,5,35,547,0.7253021634773658
replicate,latent_ode,1,val,0.298935630970188,5.904733617795358,5.062643809523809,5,35,171,0.6958108121225826
replicate,latent_ode,1,test,0.37428848632241196,7.410156140327756,5.051020238095239,5,35,225,0.7417708528071457
replicate,latent_ode,2,train,0.1970586848301386,3.8825765098023806,5.075461728381207,5,35,547,0.729690481180054
replicate,latent_ode,2,val,0.2974736489341113,5.875855780620118,5.062643809523809,5,35,171,0.6956193932671031
replicate,latent_ode,2,test,0.36901104050941824,7.3056733712192345,5.051020238095239,5,35,225,0.7408419794309272
replicate,latent_ode,3,train,0.19141982793841988,3.7714761371961383,5.075461728381207,5,35,547,0.7273238761607789
replicate,latent_ode,3,val,0.29317919832256417,5.791029536208682,5.062643809523809,5,35,171,0.6946983318773919
replicate,latent_ode,3,test,0.3603758756341418,7.1347145457100964,5.051020238095239,5,35,225,0.7354880388695509
replicate,logistic_pinn,1,train,0.2038687837136744,4.016753442818243,5.075461728381207,5,35,547,0.7302079986470432
replicate,logistic_pinn,1,val,0.3013729899638139,5.95287761301463,5.062643809523809,5,35,171,0.6938289842590109
replicate,logistic_pinn,1,test,0.34522037058589905,6.834666152834166,5.051020238095239,5,35,225,0.7294445969528289
replicate,logistic_pinn,2,train,0.22708249071288805,4.474124776531708,5.075461728381207,5,35,547,0.7379103379586529
replicate,logistic_pinn,2,val,0.3046965122117424,6.018525570346259,5.062643809523809,5,35,171,0.6969887086712838
replicate,logistic_pinn,2,test,0.3659703967903318,7.245474766269018,5.051020238095239,5,35,225,0.7389187192620033
replicate,logistic_pinn,3,train,0.22711193809456803,4.474704967719346,5.075461728381207,5,35,547,0.737899830505753
replicate,logistic_pinn,3,val,0.3055766910788755,6.035911325699565,5.062643809523809,5,35,171,0.6988551638334306
replicate,logistic_pinn,3,test,0.3708595270199958,7.3422696710446855,5.051020238095239,5,35,225,0.7408271940788642
replicate,lstm,1,train,0.11687609852862946,2.3027678028794143,5.075461728381207,5,35,547,0.7138592280840353
replicate,lstm,1,val,0.2964412175737488,5.85546265404028,5.062643809523809,5,35,171,0.700127702714907
replicate,lstm,1,test,0.35404508731349726,7.009377722212596,5.051020238095239,5,35,225,0.7372051989464492
replicate,lstm,2,train,0.12417735011996014,2.446621741339894,5.075461728381207,5,35,547,0.7134691100234906
replicate,lstm,2,val,0.271329953729223,5.359451779301539,5.062643809523809,5,35,171,0.6842764881228394
replicate,lstm,2,test,0.36838798369834225,7.293338104645229,5.051020238095239,5,35,225,0.7411490125661276
replicate,lstm,3,train,0.17115492523775516,3.3722040357566474,5.075461728381207,5,35,547,0.7231932432635519
replicate,lstm,3,val,0.29535238283748233,5.833955418350142,5.062643809523809,5,35,171,0.6918051065627943
replicate,lstm,3,test,0.36153838542542566,7.157729891847817,5.051020238095239,5,35,225,0.7378261958989099
replicate,rf,1,train,0.37932918237685354,7.4737866755196425,5.075461728381207,5,35,547,0.8027613430540489
replicate,rf,1,val,0.5009780418607706,9.895581453278112,5.062643809523809,5,35,171,0.7994032477457655
replicate,rf,1,test,0.45428395962071255,8.993904957942219,5.051020238095239,5,35,225,0.7941415908282443
replicate,rf,2,train,0.35709171966498926,7.035649932462045,5.075461728381207,5,35,547,0.7877081313284909
replicate,rf,2,val,0.4476129075121533,8.841485286207716,5.062643809523809,5,35,171,0.7716621612692193
replicate,rf,2,test,0.43745994577579966,8.660823460504835,5.051020238095239,5,35,225,0.7778375075181732
replicate,rf,3,train,0.3556595823763392,7.007433045697994,5.075461728381207,5,35,547,0.7922662132407784
replicate,rf,3,val,0.46848372180329034,9.25373657380324,5.062643809523809,5,35,171,0.7944039653210668
replicate,rf,3,test,0.4650851221887464,9.20774616345889,5.051020238095239,5,35,225,0.795769668998636
replicate,logistic,1,train,0.37019486936741247,7.293816586131253,5.075461728381207,5,35,547,0.795654912754163
replicate,logistic,1,val,0.40841583818574395,8.067244182129404,5.062643809523809,5,35,171,0.7585278231344832
replicate,logistic,1,test,0.48517517353104206,9.605488607466036,5.051020238095239,5,35,225,0.8014285917364927
replicate,latent_ode_matched,1,train,0.18238664118515713,3.593498502122061,5.075461728381207,5,35,547,0.7253021634773658
replicate,latent_ode_matched,1,val,0.298935630970188,5.904733617795358,5.062643809523809,5,35,171,0.6958108121225826
replicate,latent_ode_matched,1,test,0.37428848632241196,7.410156140327756,5.051020238095239,5,35,225,0.7417708528071457
replicate,latent_ode_matched,2,train,0.1970586848301386,3.8825765098023806,5.075461728381207,5,35,547,0.729690481180054
replicate,latent_ode_matched,2,val,0.2974736489341113,5.875855780620118,5.062643809523809,5,35,171,0.6956193932671031
replicate,latent_ode_matched,2,test,0.36901104050941824,7.3056733712192345,5.051020238095239,5,35,225,0.7408419794309272
replicate,latent_ode_matched,3,train,0.19141982793841988,3.7714761371961383,5.075461728381207,5,35,547,0.7273238761607789
replicate,latent_ode_matched,3,val,0.29317919832256417,5.791029536208682,5.062643809523809,5,35,171,0.6946983318773919
replicate,latent_ode_matched,3,test,0.3603758756341418,7.1347145457100964,5.051020238095239,5,35,225,0.7354880388695509
time_holdout,phytoode,1,train,0.11018434138548594,2.4092187246397705,4.573446995849696,5,25,397,0.6672759379897473
time_holdout,phytoode,1,val,0.27453088153322025,6.038294128547169,4.546497333333333,5,25,125,0.6321231600442304
time_holdout,phytoode,1,test,0.3467860489145864,5.503605576383887,6.3010701639422395,5,10,257,0.9359213003185268
time_holdout,phytoode,2,train,0.1434683464859477,3.13698500531748,4.573446995849696,5,25,397,0.673693071495038
