plant_id,genotype,source_row,r_per_hour,K_mm,prefix_observations
Col-0:row3,Col-0,3,0.023184814,9.93685,3
Col-0:row4,Col-0,4,0.022031639,10.016701,4
Col-0:row5,Col-0,5,0.021763563,10.018077,4
Col-0:row6,Col-0,6,0.021737205,10.020248,4
Col-0:row7,Col-0,7,0.022123747,10.019429,4
Col-0:row8,Col-0,8,0.0220196,10.017505,4
Col-0:row9,Col-0,9,0.022225779,10.015132,4
Col-0:row10,Col-0,10,0.023076432,9.934712,3
Col-0:row11,Col-0,11,0.022093715,10.021251,4
Col-0:row12,Col-0,12,0.022088911,10.018302,4
Col-0:row13,Col-0,13,0.021865511,10.018699,4
Col-0:row14,Col-0,14,0.021988045,10.022486,4
Col-0:row15,Col-0,15,0.022035053,10.021203,4
Col-0:row16,Col-0,16,0.02211403,10.019176,4
Col-0:row17,Col-0,17,0.021948306,10.018776,4
Col-0:row18,Col-0,18,0.02197946,10.014418,4
Col-0:row19,Col-0,19,0.021895828,10.016108,4
Col-0:row20,Col-0,20,0.022103308,10.022998,4
Col-0:row21,Col-0,21,0.02189138,10.017306,4
Col-0:row22,Col-0,22,0.022177212,10.016595,4
Col-0:row23,Col-0,23,0.022115164,10.018778,4
Col-0:row24,Col-0,24,0.021763405,10.023408,4
Col-0:row25,Col-0,25,0.022044132,10.024301,4
Col-0:row26,Col-0,26,0.02216242,10.018995,4
Col-0:row27,Col-0,27,0.022121595,10.02251,4
Col-0:row28,Col-0,28,0.021876363,10.021642,4
Col-0:row29,Col-0,29,0.022933962,9.933065,3
Col-0:row30,Col-0,30,0.022770815,9.721525,2
Col-0:row31,Col-0,31,0.022955058,9.725106,2
Col-0:row32,Col-0,32,0.02273029,9.720151,2
Col-0:row33,Col-0,33,0.022813048,9.721387,2
Col-0:row34,Col-0,34,0.022700349,9.721517,2
Col-0:row35,Col-0,35,0.023231776,9.606218,1
hy5:row3,hy5,3,0.051533114,9.820474,4
hy5:row4,hy5,4,0.053176492,9.79357,4
hy5:row5,hy5,5,0.050532676,9.839422,4
hy5:row6,hy5,6,0.05038225,9.845582,4
hy5:row7,hy5,7,0.054634873,9.762959,4
hy5:row8,hy5,8,0.052956,9.79992,4
hy5:row9,hy5,9,0.050631646,9.83935,4
hy5:row10,hy5,10,0.052311037,9.812878,4
hy5:row11,hy5,11,0.052688286,9.807309,4
hy5:row12,hy5,12,0.051479362,9.82834,4
hy5:row13,hy5,13,0.05151176,9.829953,4
hy5:row14,hy5,14,0.051015317,9.831295,4
hy5:row15,hy5,15,0.05136965,9.829323,4
hy5:row16,hy5,16,0.050609257,9.839928,4
hy5:row17,hy5,17,0.050651222,9.842311,4
hy5:row18,hy5,18,0.05088659,9.837316,4
hy5:row19,hy5,19,0.05250853,9.808056,4
hy5:row20,hy5,20,0.0511933,9.830297,4
hy5:row21,hy5,21,0.051469065,9.829399,4
hy5:row22,hy5,22,0.052069563,9.811808,4
hy5:row23,hy5,23,0.051717453,9.820999,4
hy5:row24,hy5,24,0.05302691,9.797126,4
hy5:row25,hy5,25,0.051634282,9.82483,4
hy5:row26,hy5,26,0.052230943,9.815426,4
hy5:row27,hy5,27,0.052988373,9.801945,4
hy5:row28,hy5,28,0.052277625,9.808448,4
hy5:row29,hy5,29,0.05082657,9.846062,2
hy5:row30,hy5,30,0.05242686,9.824418,2
hy5:row31,hy5,31,0.051526804,9.755482,1
hy5:row32,hy5,32,0.05076159,9.843829,2
hy5:row33,hy5,33,0.051428307,9.753069,1
hy5:row34,hy5,34,0.05129977,9.74982,1
hy5:row35,hy5,35,0.051353246,9.751185,1
MLB:row3,MLB,3,0.020802503,10.032147,4
MLB:row4,MLB,4,0.020710003,10.037085,4
MLB:row5,MLB,5,0.020753749,10.031261,4
MLB:row6,MLB,6,0.020818515,10.032786,4
MLB:row7,MLB,7,0.020832872,10.03353,4
MLB:row8,MLB,8,0.020657144,10.032353,4
MLB:row9,MLB,9,0.020712994,10.030934,4
MLB:row10,MLB,10,0.020594995,10.0328045,4
MLB:row11,MLB,11,0.02056277,10.030429,4
MLB:row12,MLB,12,0.020964554,10.03394,4
MLB:row13,MLB,13,0.02066949,10.031128,4
MLB:row14,MLB,14,0.020627663,10.031663,4
MLB:row15,MLB,15,0.020673666,10.031279,4
MLB:row16,MLB,16,0.020730086,10.033504,4
MLB:row17,MLB,17,0.020655485,10.032174,4
MLB:row18,MLB,18,0.020727906,10.031679,4
MLB:row19,MLB,19,0.020665415,10.033131,4
MLB:row20,MLB,20,0.02061311,10.03255,4
MLB:row21,MLB,21,0.02066161,10.036524,4
MLB:row22,MLB,22,0.020710168,10.032565,4
MLB:row23,MLB,23,0.020857714,10.031713,4
MLB:row24,MLB,24,0.020983512,10.028499,4
MLB:row25,MLB,25,0.02088699,10.029755,4
MLB:row26,MLB,26,0.020792535,10.030823,4
MLB:row27,MLB,27,0.020600505,10.029971,4
MLB:row28,MLB,28,0.020570848,9.836204,3
MLB:row29,MLB,29,0.020807464,9.843339,3
MLB:row30,MLB,30,0.02058007,9.837732,3
MLB:row31,MLB,31,0.020703793,9.841214,3
MLB:row32,MLB,32,0.020642051,9.839551,3
MLB:row33,MLB,33,0.02048836,9.836542,3
MLB:row34,MLB,34,0.020581366,9.839699,3
MLB:row35,MLB,35,0.02138649,9.736465,2
MLB:row36,MLB,36,0.02139018,9.736958,2
MLB:row37,MLB,37,0.021590952,9.739935,2
MLB:row38,MLB,38,0.021557828,9.738422,2
MLB:row39,MLB,39,0.021560125,9.739108,2
MLB:row40,MLB,40,0.022007614,9.629998,1
EMS57:row3,EMS57,3,0.059657853,9.763217,4
EMS57:row4,EMS57,4,0.058512587,9.784655,4
EMS57:row5,EMS57,5,0.060976442,9.7466955,3
EMS57:row6,EMS57,6,0.058768533,9.7831545,4
EMS57:row7,EMS57,7,0.058327444,9.791467,4
EMS57:row8,EMS57,8,0.060225163,9.752024,4
EMS57:row9,EMS57,9,0.060826614,9.692709,3
EMS57:row10,EMS57,10,0.061468024,9.67911,3
EMS57:row11,EMS57,11,0.058974233,9.719672,3
EMS57:row12,EMS57,12,0.058967147,9.718058,3
EMS57:row13,EMS57,13,0.059569962,9.706468,3
EMS57:row14,EMS57,14,0.059572008,9.680818,2
EMS57:row15,EMS57,15,0.06047186,9.693373,3
EMS57:row16,EMS57,16,0.06248906,9.67066,3
EMS57:row17,EMS57,17,0.059583843,9.708032,3
EMS57:row18,EMS57,18,0.059863288,9.700901,2
phyAB:row3,phyAB,3,0.084125035,9.575545,4
phyAB:row4,phyAB,4,0.08448594,9.569965,4
phyAB:row5,phyAB,5,0.08556865,9.5518055,4
