plant_id,genotype,source_row,r_per_hour,K_mm,prefix_observations
Col-0:row3,Col-0,3,0.0261207,9.890933,3
Col-0:row4,Col-0,4,0.022857076,10.279298,4
Col-0:row5,Col-0,5,0.02177609,10.26699,4
Col-0:row6,Col-0,6,0.021884264,10.27292,4
Col-0:row7,Col-0,7,0.023290794,10.282472,4
Col-0:row8,Col-0,8,0.02264656,10.2712,4
Col-0:row9,Col-0,9,0.02360881,10.280552,4
Col-0:row10,Col-0,10,0.025757127,9.889543,3
Col-0:row11,Col-0,11,0.023138847,10.280009,4
Col-0:row12,Col-0,12,0.023007425,10.279132,4
Col-0:row13,Col-0,13,0.022307144,10.277459,4
Col-0:row14,Col-0,14,0.022628205,10.276623,4
Col-0:row15,Col-0,15,0.023060214,10.286413,4
Col-0:row16,Col-0,16,0.023142166,10.275754,4
Col-0:row17,Col-0,17,0.022902742,10.286498,4
Col-0:row18,Col-0,18,0.022842256,10.278873,4
Col-0:row19,Col-0,19,0.022575252,10.277526,4
Col-0:row20,Col-0,20,0.023193674,10.283048,4
Col-0:row21,Col-0,21,0.02233666,10.273548,4
Col-0:row22,Col-0,22,0.023756899,10.290875,4
Col-0:row23,Col-0,23,0.023110451,10.274363,4
Col-0:row24,Col-0,24,0.021752737,10.269086,4
Col-0:row25,Col-0,25,0.023014853,10.279373,4
Col-0:row26,Col-0,26,0.0234109,10.27994,4
Col-0:row27,Col-0,27,0.02343828,10.285851,4
Col-0:row28,Col-0,28,0.022289887,10.27588,4
Col-0:row29,Col-0,29,0.025174059,9.886984,3
Col-0:row30,Col-0,30,0.02374362,9.726441,2
Col-0:row31,Col-0,31,0.024408894,9.729885,2
Col-0:row32,Col-0,32,0.023583038,9.725302,2
Col-0:row33,Col-0,33,0.023865193,9.72665,2
Col-0:row34,Col-0,34,0.023535231,9.725937,2
Col-0:row35,Col-0,35,0.024988234,9.365784,1
hy5:row3,hy5,3,0.047040284,10.269306,4
hy5:row4,hy5,4,0.054355755,10.30394,4
hy5:row5,hy5,5,0.044929355,10.282784,4
hy5:row6,hy5,6,0.044136662,10.285846,4
hy5:row7,hy5,7,0.05765348,10.287773,4
hy5:row8,hy5,8,0.052625842,10.287053,4
hy5:row9,hy5,9,0.04501095,10.282032,4
hy5:row10,hy5,10,0.050844323,10.2939205,4
hy5:row11,hy5,11,0.05261888,10.299275,4
hy5:row12,hy5,12,0.04835373,10.293024,4
hy5:row13,hy5,13,0.047333997,10.273091,4
hy5:row14,hy5,14,0.045630682,10.278093,4
hy5:row15,hy5,15,0.04740925,10.288945,4
hy5:row16,hy5,16,0.044285,10.272704,4
hy5:row17,hy5,17,0.0450965,10.283697,4
hy5:row18,hy5,18,0.0459226,10.280603,4
hy5:row19,hy5,19,0.051488888,10.294563,4
hy5:row20,hy5,20,0.046538904,10.281331,4
hy5:row21,hy5,21,0.0489148,10.302609,4
hy5:row22,hy5,22,0.04940543,10.287241,4
hy5:row23,hy5,23,0.048407532,10.283991,4
hy5:row24,hy5,24,0.05417714,10.306732,4
hy5:row25,hy5,25,0.048397675,10.287097,4
hy5:row26,hy5,26,0.050715048,10.296242,4
hy5:row27,hy5,27,0.05297265,10.298587,4
hy5:row28,hy5,28,0.05095808,10.294596,4
hy5:row29,hy5,29,0.03866989,9.498083,2
hy5:row30,hy5,30,0.043376412,9.502801,2
hy5:row31,hy5,31,0.037056793,9.131824,1
hy5:row32,hy5,32,0.038811058,9.497118,2
hy5:row33,hy5,33,0.037028983,9.13094,1
hy5:row34,hy5,34,0.03699275,9.12979,1
hy5:row35,hy5,35,0.037007816,9.130269,1
MLB:row3,MLB,3,0.022111055,10.316407,4
MLB:row4,MLB,4,0.021585884,10.3115225,4
MLB:row5,MLB,5,0.021956006,10.312709,4
MLB:row6,MLB,6,0.022049874,10.310286,4
MLB:row7,MLB,7,0.022054497,10.309612,4
MLB:row8,MLB,8,0.021473698,10.307351,4
MLB:row9,MLB,9,0.02163184,10.307288,4
MLB:row10,MLB,10,0.021247258,10.307722,4
MLB:row11,MLB,11,0.02116118,10.305759,4
MLB:row12,MLB,12,0.022806704,10.315915,4
MLB:row13,MLB,13,0.021513963,10.30771,4
MLB:row14,MLB,14,0.021370841,10.307144,4
MLB:row15,MLB,15,0.021509977,10.306925,4
MLB:row16,MLB,16,0.021710293,10.310076,4
MLB:row17,MLB,17,0.021534562,10.310005,4
MLB:row18,MLB,18,0.021750644,10.310246,4
MLB:row19,MLB,19,0.02132628,10.305385,4
MLB:row20,MLB,20,0.021186,10.302328,4
MLB:row21,MLB,21,0.021362236,10.307592,4
MLB:row22,MLB,22,0.021729255,10.309075,4
MLB:row23,MLB,23,0.02282582,10.334654,4
MLB:row24,MLB,24,0.0233171,10.334104,4
MLB:row25,MLB,25,0.022409154,10.313482,4
MLB:row26,MLB,26,0.022343751,10.326252,4
MLB:row27,MLB,27,0.021195747,10.303092,4
MLB:row28,MLB,28,0.02049604,10.152522,3
MLB:row29,MLB,29,0.021431796,10.160598,3
MLB:row30,MLB,30,0.020524511,10.151712,3
MLB:row31,MLB,31,0.021046555,10.157982,3
MLB:row32,MLB,32,0.02084272,10.157629,3
MLB:row33,MLB,33,0.020285882,10.1528845,3
MLB:row34,MLB,34,0.020619463,10.154889,3
MLB:row35,MLB,35,0.022752328,9.764234,2
MLB:row36,MLB,36,0.022778474,9.764588,2
MLB:row37,MLB,37,0.023519274,9.768482,2
MLB:row38,MLB,38,0.023363661,9.767201,2
MLB:row39,MLB,39,0.02339222,9.767662,2
MLB:row40,MLB,40,0.025007872,9.412214,1
phyAB:row3,phyAB,3,0.07003014,10.279379,4
phyAB:row4,phyAB,4,0.07207088,10.28252,4
phyAB:row5,phyAB,5,0.07532595,10.283757,4
phyAB:row6,phyAB,6,0.07332209,10.277929,4
phyAB:row7,phyAB,7,0.06917229,10.278952,4
phyAB:row8,phyAB,8,0.07361329,10.285678,4
phyAB:row9,phyAB,9,0.08032006,10.284976,4
phyAB:row10,phyAB,10,0.076359995,10.282071,4
phyAB:row11,phyAB,11,0.07328456,10.276243,4
phyAB:row12,phyAB,12,0.07688914,10.282359,4
phyAB:row13,phyAB,13,0.074078694,10.2802925,4
phyAB:row14,phyAB,14,0.070810184,10.27576,4
phyAB:row15,phyAB,15,0.0692673,10.271572,4
phyAB:row16,phyAB,16,0.06813852,10.271829,4
phyAB:row17,phyAB,17,0.07758287,10.276517,4
phyAB:row18,phyAB,18,0.07746741,10.282798,4
phyAB:row19,phyAB,19,0.072868064,10.278738,4
phyAB:row20,phyAB,20,0.07436559,10.284766,4
phyAB:row21,phyAB,21,0.07283041,10.280049,4
phyAB:row22,phyAB,22,0.07335655,10.269228,4
phyAB:row23,phyAB,23,0.07582039,10.284998,4
phyAB:row24,phyAB,24,0.073342934,10.284787,4
phyAB:row25,phyAB,25,0.07199806,10.288058,4
phyAB:row26,phyAB,26,0.07282138,10.283422,4
phyAB:row27,phyAB,27,0.076305315,10.283589,4
phyAB:row28,phyAB,28,0.071013115,10.280895,4
phyAB:row29,phyAB,29,0.07480429,10.287709,4
phyAB:row30,phyAB,30,0.074753515,10.288302,4
phyAB:row31,phyAB,31,0.07086227,10.282816,4
phyAB:row32,phyAB,32,0.07133522,10.289022,4
phyAB:row33,phyAB,33,0.07267154,10.282634,4
phyAB:row34,phyAB,34,0.057066105,9.84493,3
phyAB:row35,phyAB,35,0.059943154,9.845548,3
phyAB:row36,phyAB,36,0.062069803,9.844486,3
phyAB:row37,phyAB,37,0.060341932,9.692577,2
phyAB:row38,phyAB,38,0.05491435,9.694815,2
phyAB:row39,phyAB,39,0.05631748,9.342234,1
