plant_id,genotype,source_row,r,r_light,r_dark,a,K_mm
Col-0:row3,Col-0,3,0.050000004,0.050000004,0.050000004,0.0,7.676748
Col-0:row4,Col-0,4,0.050000004,0.050000004,0.050000004,0.0,7.676748
Col-0:row5,Col-0,5,0.050000004,0.050000004,0.050000004,0.0,7.676748
Col-0:row6,Col-0,6,0.050000004,0.050000004,0.050000004,0.0,7.676748
Col-0:row7,Col-0,7,0.050000004,0.050000004,0.050000004,0.0,7.676748
Col-0:row8,Col-0,8,0.050000004,0.050000004,0.050000004,0.0,7.676748
Col-0:row9,Col-0,9,0.050000004,0.050000004,0.050000004,0.0,7.676748
Col-0:row10,Col-0,10,0.050000004,0.050000004,0.050000004,0.0,7.676748
Col-0:row11,Col-0,11,0.050000004,0.050000004,0.050000004,0.0,7.676748
Col-0:row12,Col-0,12,0.050000004,0.050000004,0.050000004,0.0,7.676748
Col-0:row13,Col-0,13,0.050000004,0.050000004,0.050000004,0.0,7.676748
Col-0:row14,Col-0,14,0.050000004,0.050000004,0.050000004,0.0,7.676748
Col-0:row15,Col-0,15,0.050000004,0.050000004,0.050000004,0.0,7.676748
Col-0:row16,Col-0,16,0.050000004,0.050000004,0.050000004,0.0,7.676748
Col-0:row17,Col-0,17,0.050000004,0.050000004,0.050000004,0.0,7.676748
Col-0:row18,Col-0,18,0.050000004,0.050000004,0.050000004,0.0,7.676748
Col-0:row19,Col-0,19,0.050000004,0.050000004,0.050000004,0.0,7.676748
Col-0:row20,Col-0,20,0.050000004,0.050000004,0.050000004,0.0,7.676748
Col-0:row21,Col-0,21,0.050000004,0.050000004,0.050000004,0.0,7.676748
Col-0:row22,Col-0,22,0.050000004,0.050000004,0.050000004,0.0,7.676748
Col-0:row23,Col-0,23,0.050000004,0.050000004,0.050000004,0.0,7.676748
Col-0:row24,Col-0,24,0.050000004,0.050000004,0.050000004,0.0,7.676748
Col-0:row25,Col-0,25,0.050000004,0.050000004,0.050000004,0.0,7.676748
Col-0:row26,Col-0,26,0.050000004,0.050000004,0.050000004,0.0,7.676748
Col-0:row27,Col-0,27,0.050000004,0.050000004,0.050000004,0.0,7.676748
Col-0:row28,Col-0,28,0.050000004,0.050000004,0.050000004,0.0,7.676748
Col-0:row29,Col-0,29,0.050000004,0.050000004,0.050000004,0.0,7.676748
Col-0:row30,Col-0,30,0.050000004,0.050000004,0.050000004,0.0,7.676748
Col-0:row31,Col-0,31,0.050000004,0.050000004,0.050000004,0.0,7.676748
Col-0:row32,Col-0,32,0.050000004,0.050000004,0.050000004,0.0,7.676748
Col-0:row33,Col-0,33,0.050000004,0.050000004,0.050000004,0.0,7.676748
Col-0:row34,Col-0,34,0.050000004,0.050000004,0.050000004,0.0,7.676748
Col-0:row35,Col-0,35,0.050000004,0.050000004,0.050000004,0.0,7.676748
hy5:row3,hy5,3,0.050000004,0.050000004,0.050000004,0.0,7.678963
hy5:row4,hy5,4,0.050000004,0.050000004,0.050000004,0.0,7.678963
hy5:row5,hy5,5,0.050000004,0.050000004,0.050000004,0.0,7.678963
hy5:row6,hy5,6,0.050000004,0.050000004,0.050000004,0.0,7.678963
hy5:row7,hy5,7,0.050000004,0.050000004,0.050000004,0.0,7.678963
hy5:row8,hy5,8,0.050000004,0.050000004,0.050000004,0.0,7.678963
hy5:row9,hy5,9,0.050000004,0.050000004,0.050000004,0.0,7.678963
hy5:row10,hy5,10,0.050000004,0.050000004,0.050000004,0.0,7.678963
hy5:row11,hy5,11,0.050000004,0.050000004,0.050000004,0.0,7.678963
hy5:row12,hy5,12,0.050000004,0.050000004,0.050000004,0.0,7.678963
hy5:row13,hy5,13,0.050000004,0.050000004,0.050000004,0.0,7.678963
hy5:row14,hy5,14,0.050000004,0.050000004,0.050000004,0.0,7.678963
hy5:row15,hy5,15,0.050000004,0.050000004,0.050000004,0.0,7.678963
hy5:row16,hy5,16,0.050000004,0.050000004,0.050000004,0.0,7.678963
hy5:row17,hy5,17,0.050000004,0.050000004,0.050000004,0.0,7.678963
hy5:row18,hy5,18,0.050000004,0.050000004,0.050000004,0.0,7.678963
hy5:row19,hy5,19,0.050000004,0.050000004,0.050000004,0.0,7.678963
hy5:row20,hy5,20,0.050000004,0.050000004,0.050000004,0.0,7.678963
hy5:row21,hy5,21,0.050000004,0.050000004,0.050000004,0.0,7.678963
hy5:row22,hy5,22,0.050000004,0.050000004,0.050000004,0.0,7.678963
hy5:row23,hy5,23,0.050000004,0.050000004,0.050000004,0.0,7.678963
hy5:row24,hy5,24,0.050000004,0.050000004,0.050000004,0.0,7.678963
hy5:row25,hy5,25,0.050000004,0.050000004,0.050000004,0.0,7.678963
hy5:row26,hy5,26,0.050000004,0.050000004,0.050000004,0.0,7.678963
hy5:row27,hy5,27,0.050000004,0.050000004,0.050000004,0.0,7.678963
hy5:row28,hy5,28,0.050000004,0.050000004,0.050000004,0.0,7.678963
hy5:row29,hy5,29,0.050000004,0.050000004,0.050000004,0.0,7.678963
hy5:row30,hy5,30,0.050000004,0.050000004,0.050000004,0.0,7.678963
hy5:row31,hy5,31,0.050000004,0.050000004,0.050000004,0.0,7.678963
hy5:row32,hy5,32,0.050000004,0.050000004,0.050000004,0.0,7.678963
hy5:row33,hy5,33,0.050000004,0.050000004,0.050000004,0.0,7.678963
hy5:row34,hy5,34,0.050000004,0.050000004,0.050000004,0.0,7.678963
hy5:row35,hy5,35,0.050000004,0.050000004,0.050000004,0.0,7.678963
MLB:row3,MLB,3,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row4,MLB,4,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row5,MLB,5,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row6,MLB,6,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row7,MLB,7,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row8,MLB,8,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row9,MLB,9,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row10,MLB,10,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row11,MLB,11,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row12,MLB,12,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row13,MLB,13,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row14,MLB,14,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row15,MLB,15,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row16,MLB,16,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row17,MLB,17,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row18,MLB,18,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row19,MLB,19,0.050000004,0.050000004,0.050000004,0.0,7.6736174
MLB:row20,MLB,20,0.050000004,0.050000004,0.050000004,0.0,7.6736174
