plant_id,genotype,source_row,r,r_light,r_dark,a,K_mm
Col-0:row3,Col-0,3,0.03281921,0.044491325,0.021147098,0.35564882,8.110719
Col-0:row4,Col-0,4,0.03281921,0.044491325,0.021147098,0.35564882,8.058148
Col-0:row5,Col-0,5,0.03281921,0.044491325,0.021147098,0.35564882,8.018121
Col-0:row6,Col-0,6,0.03281921,0.044491325,0.021147098,0.35564882,8.017849
Col-0:row7,Col-0,7,0.03281921,0.044491325,0.021147098,0.35564882,8.070846
Col-0:row8,Col-0,8,0.03281921,0.044491325,0.021147098,0.35564882,8.052428
Col-0:row9,Col-0,9,0.03281921,0.044491325,0.021147098,0.35564882,8.08553
Col-0:row10,Col-0,10,0.03281921,0.044491325,0.021147098,0.35564882,8.099602
Col-0:row11,Col-0,11,0.03281921,0.044491325,0.021147098,0.35564882,8.0649185
Col-0:row12,Col-0,12,0.03281921,0.044491325,0.021147098,0.35564882,8.063553
Col-0:row13,Col-0,13,0.03281921,0.044491325,0.021147098,0.35564882,8.035639
Col-0:row14,Col-0,14,0.03281921,0.044491325,0.021147098,0.35564882,8.047333
Col-0:row15,Col-0,15,0.03281921,0.044491325,0.021147098,0.35564882,8.060056
Col-0:row16,Col-0,16,0.03281921,0.044491325,0.021147098,0.35564882,8.067338
Col-0:row17,Col-0,17,0.03281921,0.044491325,0.021147098,0.35564882,8.053362
Col-0:row18,Col-0,18,0.03281921,0.044491325,0.021147098,0.35564882,8.0563545
Col-0:row19,Col-0,19,0.03281921,0.044491325,0.021147098,0.35564882,8.044866
Col-0:row20,Col-0,20,0.03281921,0.044491325,0.021147098,0.35564882,8.065544
Col-0:row21,Col-0,21,0.03281921,0.044491325,0.021147098,0.35564882,8.038581
Col-0:row22,Col-0,22,0.03281921,0.044491325,0.021147098,0.35564882,8.085152
Col-0:row23,Col-0,23,0.03281921,0.044491325,0.021147098,0.35564882,8.066957
Col-0:row24,Col-0,24,0.03281921,0.044491325,0.021147098,0.35564882,8.014439
Col-0:row25,Col-0,25,0.03281921,0.044491325,0.021147098,0.35564882,8.057782
Col-0:row26,Col-0,26,0.03281921,0.044491325,0.021147098,0.35564882,8.075737
Col-0:row27,Col-0,27,0.03281921,0.044491325,0.021147098,0.35564882,8.072032
Col-0:row28,Col-0,28,0.03281921,0.044491325,0.021147098,0.35564882,8.034128
Col-0:row29,Col-0,29,0.03281921,0.044491325,0.021147098,0.35564882,8.082022
Col-0:row30,Col-0,30,0.03281921,0.044491325,0.021147098,0.35564882,8.085705
Col-0:row31,Col-0,31,0.03281921,0.044491325,0.021147098,0.35564882,8.108346
Col-0:row32,Col-0,32,0.03281921,0.044491325,0.021147098,0.35564882,8.080632
Col-0:row33,Col-0,33,0.03281921,0.044491325,0.021147098,0.35564882,8.090826
Col-0:row34,Col-0,34,0.03281921,0.044491325,0.021147098,0.35564882,8.077102
Col-0:row35,Col-0,35,0.03281921,0.044491325,0.021147098,0.35564882,8.077187
hy5:row3,hy5,3,0.050265502,0.060115717,0.040415287,0.19596371,9.505576
hy5:row4,hy5,4,0.050265502,0.060115717,0.040415287,0.19596371,9.593261
hy5:row5,hy5,5,0.050265502,0.060115717,0.040415287,0.19596371,9.467243
hy5:row6,hy5,6,0.050265502,0.060115717,0.040415287,0.19596371,9.450211
hy5:row7,hy5,7,0.050265502,0.060115717,0.040415287,0.19596371,9.645687
hy5:row8,hy5,8,0.050265502,0.060115717,0.040415287,0.19596371,9.57379
hy5:row9,hy5,9,0.050265502,0.060115717,0.040415287,0.19596371,9.467136
hy5:row10,hy5,10,0.050265502,0.060115717,0.040415287,0.19596371,9.545444
hy5:row11,hy5,11,0.050265502,0.060115717,0.040415287,0.19596371,9.566696
hy5:row12,hy5,12,0.050265502,0.060115717,0.040415287,0.19596371,9.509694
hy5:row13,hy5,13,0.050265502,0.060115717,0.040415287,0.19596371,9.499386
hy5:row14,hy5,14,0.050265502,0.060115717,0.040415287,0.19596371,9.479437
hy5:row15,hy5,15,0.050265502,0.060115717,0.040415287,0.19596371,9.498177
hy5:row16,hy5,16,0.050265502,0.060115717,0.040415287,0.19596371,9.458741
hy5:row17,hy5,17,0.050265502,0.060115717,0.040415287,0.19596371,9.464565
hy5:row18,hy5,18,0.050265502,0.060115717,0.040415287,0.19596371,9.479238
hy5:row19,hy5,19,0.050265502,0.060115717,0.040415287,0.19596371,9.555456
hy5:row20,hy5,20,0.050265502,0.060115717,0.040415287,0.19596371,9.489993
hy5:row21,hy5,21,0.050265502,0.060115717,0.040415287,0.19596371,9.513578
hy5:row22,hy5,22,0.050265502,0.060115717,0.040415287,0.19596371,9.533002
hy5:row23,hy5,23,0.050265502,0.060115717,0.040415287,0.19596371,9.516797
hy5:row24,hy5,24,0.050265502,0.060115717,0.040415287,0.19596371,9.589056
hy5:row25,hy5,25,0.050265502,0.060115717,0.040415287,0.19596371,9.513168
hy5:row26,hy5,26,0.050265502,0.060115717,0.040415287,0.19596371,9.541665
hy5:row27,hy5,27,0.050265502,0.060115717,0.040415287,0.19596371,9.571444
hy5:row28,hy5,28,0.050265502,0.060115717,0.040415287,0.19596371,9.55199
hy5:row29,hy5,29,0.050265502,0.060115717,0.040415287,0.19596371,9.272964
hy5:row30,hy5,30,0.050265502,0.060115717,0.040415287,0.19596371,9.354331
