plant_id,genotype,source_row,r_per_hour,K_mm,prefix_observations
Col-0:row3,Col-0,3,0.025435846,9.766625,3
Col-0:row4,Col-0,4,0.02195441,9.8437,4
Col-0:row5,Col-0,5,0.020735838,9.821652,4
Col-0:row6,Col-0,6,0.020833785,9.819171,4
Col-0:row7,Col-0,7,0.022447504,9.849728,4
Col-0:row8,Col-0,8,0.021745108,9.841537,4
Col-0:row9,Col-0,9,0.022833452,9.856612,4
Col-0:row10,Col-0,10,0.025018966,9.758456,3
Col-0:row11,Col-0,11,0.022280028,9.847074,4
Col-0:row12,Col-0,12,0.022132868,9.848351,4
Col-0:row13,Col-0,13,0.02131362,9.830753,4
Col-0:row14,Col-0,14,0.021696366,9.840423,4
Col-0:row15,Col-0,15,0.022156095,9.844213,4
Col-0:row16,Col-0,16,0.022305185,9.847468,4
Col-0:row17,Col-0,17,0.021967895,9.835802,4
Col-0:row18,Col-0,18,0.021935541,9.837078,4
Col-0:row19,Col-0,19,0.021625802,9.830099,4
Col-0:row20,Col-0,20,0.02232996,9.848914,4
Col-0:row21,Col-0,21,0.021366676,9.831622,4
Col-0:row22,Col-0,22,0.022952083,9.853364,4
Col-0:row23,Col-0,23,0.022274949,9.847438,4
Col-0:row24,Col-0,24,0.020698773,9.822911,4
Col-0:row25,Col-0,25,0.022134537,9.842344,4
Col-0:row26,Col-0,26,0.022600932,9.851349,4
Col-0:row27,Col-0,27,0.022601066,9.848635,4
Col-0:row28,Col-0,28,0.02130029,9.831533,4
Col-0:row29,Col-0,29,0.024354383,9.748976,3
Col-0:row30,Col-0,30,0.023151351,9.517861,2
Col-0:row31,Col-0,31,0.023925692,9.529949,2
Col-0:row32,Col-0,32,0.022966245,9.515346,2
Col-0:row33,Col-0,33,0.023295613,9.520951,2
Col-0:row34,Col-0,34,0.022905035,9.51275,2
Col-0:row35,Col-0,35,0.02361095,9.351191,1
hy5:row3,hy5,3,0.047331225,9.995657,4
hy5:row4,hy5,4,0.05546521,10.034595,4
hy5:row5,hy5,5,0.044749465,9.976553,4
hy5:row6,hy5,6,0.04381381,9.980235,4
hy5:row7,hy5,7,0.059639238,10.062552,4
hy5:row8,hy5,8,0.053636122,10.027225,4
hy5:row9,hy5,9,0.04485118,9.980602,4
hy5:row10,hy5,10,0.051457133,10.017503,4
hy5:row11,hy5,11,0.053466942,10.0239105,4
hy5:row12,hy5,12,0.048568264,9.999132,4
hy5:row13,hy5,13,0.047615558,9.996304,4
hy5:row14,hy5,14,0.045609884,9.990716,4
hy5:row15,hy5,15,0.047529574,9.9997425,4
hy5:row16,hy5,16,0.04412196,9.980162,4
hy5:row17,hy5,17,0.044928137,9.982646,4
hy5:row18,hy5,18,0.0459069,9.983633,4
hy5:row19,hy5,19,0.052205667,10.021472,4
hy5:row20,hy5,20,0.04661387,9.993325,4
hy5:row21,hy5,21,0.049103327,10.000563,4
hy5:row22,hy5,22,0.04986987,10.013084,4
hy5:row23,hy5,23,0.048741966,10.003203,4
hy5:row24,hy5,24,0.055214167,10.031165,4
hy5:row25,hy5,25,0.048690487,10.001922,4
hy5:row26,hy5,26,0.05127619,10.016741,4
hy5:row27,hy5,27,0.053898692,10.035112,4
hy5:row28,hy5,28,0.051586255,10.01416,4
hy5:row29,hy5,29,0.035855133,9.62976,2
hy5:row30,hy5,30,0.040866822,9.660619,2
hy5:row31,hy5,31,0.0341282,9.35085,1
hy5:row32,hy5,32,0.036009576,9.623878,2
hy5:row33,hy5,33,0.03410302,9.345709,1
hy5:row34,hy5,34,0.034070242,9.339008,1
hy5:row35,hy5,35,0.034083866,9.341796,1
MLB:row3,MLB,3,0.02078985,9.800119,4
MLB:row4,MLB,4,0.020205718,9.793596,4
MLB:row5,MLB,5,0.020625582,9.794068,4
MLB:row6,MLB,6,0.020746777,9.800287,4
MLB:row7,MLB,7,0.02075574,9.801862,4
MLB:row8,MLB,8,0.02009215,9.786128,4
MLB:row9,MLB,9,0.020276694,9.791231,4
MLB:row10,MLB,10,0.019828934,9.78153,4
MLB:row11,MLB,11,0.01973703,9.777589,4
MLB:row12,MLB,12,0.02159321,9.8108425,4
MLB:row13,MLB,13,0.020137753,9.7873745,4
MLB:row14,MLB,14,0.019974189,9.783696,4
MLB:row15,MLB,15,0.02013663,9.787636,4
MLB:row16,MLB,16,0.020355133,9.793608,4
MLB:row17,MLB,17,0.020150594,9.786157,4
MLB:row18,MLB,18,0.020400565,9.792728,4
MLB:row19,MLB,19,0.019933168,9.788909,4
MLB:row20,MLB,20,0.019781817,9.782507,4
MLB:row21,MLB,21,0.019964024,9.78875,4
MLB:row22,MLB,22,0.020379271,9.789988,4
MLB:row23,MLB,23,0.02152553,9.805257,4
MLB:row24,MLB,24,0.022094456,9.814695,4
MLB:row25,MLB,25,0.021147612,9.805471,4
MLB:row26,MLB,26,0.021011792,9.799819,4
MLB:row27,MLB,27,0.019789662,9.781003,4
MLB:row28,MLB,28,0.019353233,9.5682335,3
MLB:row29,MLB,29,0.020426292,9.586161,3
MLB:row30,MLB,30,0.019389559,9.56844,3
MLB:row31,MLB,31,0.019981377,9.578125,3
MLB:row32,MLB,32,0.019741695,9.573517,3
MLB:row33,MLB,33,0.019101573,9.56118,3
MLB:row34,MLB,34,0.019487893,9.568165,3
MLB:row35,MLB,35,0.021694722,9.474285,2
MLB:row36,MLB,36,0.02172337,9.474441,2
MLB:row37,MLB,37,0.022570677,9.489509,2
MLB:row38,MLB,38,0.022395592,9.487346,2
MLB:row39,MLB,39,0.022426363,9.487329,2
MLB:row40,MLB,40,0.023293696,9.323955,1
EMS57:row3,EMS57,3,0.06278379,9.947925,4
EMS57:row4,EMS57,4,0.058722377,9.926133,4
EMS57:row5,EMS57,5,0.058335334,9.811643,3
EMS57:row6,EMS57,6,0.059725147,9.931252,4
EMS57:row7,EMS57,7,0.05896525,9.9195385,4
EMS57:row8,EMS57,8,0.06627238,9.957325,4
EMS57:row9,EMS57,9,0.063768096,9.738414,3
EMS57:row10,EMS57,10,0.06507285,9.751778,3
EMS57:row11,EMS57,11,0.05669377,9.703054,3
EMS57:row12,EMS57,12,0.057062086,9.704,3
EMS57:row13,EMS57,13,0.058663145,9.716718,3
EMS57:row14,EMS57,14,0.049193308,9.552943,2
EMS57:row15,EMS57,15,0.061984096,9.733804,3
EMS57:row16,EMS57,16,0.072243504,9.768189,3
EMS57:row17,EMS57,17,0.05843976,9.715961,3
EMS57:row18,EMS57,18,0.058418952,9.529951,2
phyAB:row3,phyAB,3,0.07290119,10.083147,4
phyAB:row4,phyAB,4,0.07541087,10.084592,4
phyAB:row5,phyAB,5,0.07954486,10.103709,4
phyAB:row6,phyAB,6,0.077077866,10.095959,4
phyAB:row7,phyAB,7,0.07183721,10.081877,4
phyAB:row8,phyAB,8,0.07732058,10.098116,4
phyAB:row9,phyAB,9,0.0860282,10.122747,4
phyAB:row10,phyAB,10,0.08090391,10.106188,4
phyAB:row11,phyAB,11,0.07705521,10.093416,4
phyAB:row12,phyAB,12,0.081578635,10.104231,4
phyAB:row13,phyAB,13,0.07800514,10.098024,4
phyAB:row14,phyAB,14,0.07393702,10.084074,4
phyAB:row15,phyAB,15,0.07207438,10.079963,4
phyAB:row16,phyAB,16,0.07066846,10.080465,4
phyAB:row17,phyAB,17,0.0825909,10.112625,4
phyAB:row18,phyAB,18,0.08233127,10.109901,4
phyAB:row19,phyAB,19,0.076488785,10.0929365,4
phyAB:row20,phyAB,20,0.07829107,10.093345,4
phyAB:row21,phyAB,21,0.076413654,10.088701,4
phyAB:row22,phyAB,22,0.0772722,10.104366,4
phyAB:row23,phyAB,23,0.08015979,10.106413,4
phyAB:row24,phyAB,24,0.076985836,10.088907,4
phyAB:row25,phyAB,25,0.07522325,10.07982,4
phyAB:row26,phyAB,26,0.07634879,10.091143,4
phyAB:row27,phyAB,27,0.080808,10.104455,4
