plant_id,genotype,source_row,r_per_hour,K_mm,prefix_observations
Col-0:row3,Col-0,3,0.026385378,9.370872,2
Col-0:row4,Col-0,4,0.025496835,9.453072,4
Col-0:row5,Col-0,5,0.024578497,9.424783,4
Col-0:row6,Col-0,6,0.025551915,9.318971,1
Col-0:row7,Col-0,7,0.025840895,9.357143,2
Col-0:row8,Col-0,8,0.025414214,9.451451,4
Col-0:row9,Col-0,9,0.026213344,9.471661,4
Col-0:row10,Col-0,10,0.026094345,9.362376,2
Col-0:row11,Col-0,11,0.025785256,9.459747,4
Col-0:row12,Col-0,12,0.027271416,9.43939,3
Col-0:row13,Col-0,13,0.023792839,9.333503,2
Col-0:row14,Col-0,14,0.02554817,9.428783,3
Col-0:row15,Col-0,15,0.02678496,9.423978,3
Col-0:row16,Col-0,16,0.025988663,9.297038,2
Col-0:row17,Col-0,17,0.027941432,9.381786,3
Col-0:row18,Col-0,18,0.025508335,9.347618,2
Col-0:row19,Col-0,19,0.02565668,9.423256,3
Col-0:row20,Col-0,20,0.025735807,9.353108,2
Col-0:row21,Col-0,21,0.027026938,9.399056,2
Col-0:row22,Col-0,22,0.028631847,9.401016,3
Col-0:row23,Col-0,23,0.027964458,9.452367,3
Col-0:row24,Col-0,24,0.026518654,9.417287,3
Col-0:row25,Col-0,25,0.026292548,9.446689,3
Col-0:row26,Col-0,26,0.026091328,9.439007,3
Col-0:row27,Col-0,27,0.027721819,9.379713,3
Col-0:row28,Col-0,28,0.02499487,9.437931,4
Col-0:row29,Col-0,29,0.027172409,9.428458,3
Col-0:row30,Col-0,30,0.025878508,9.327899,1
Col-0:row31,Col-0,31,0.026339801,9.340299,1
Col-0:row32,Col-0,32,0.0275912,9.268846,1
Col-0:row33,Col-0,33,0.025859104,9.327372,1
Col-0:row34,Col-0,34,0.025882592,9.32801,1
Col-0:row35,Col-0,35,0.025254855,9.310742,1
hy5:row3,hy5,3,0.048470728,10.207499,4
hy5:row4,hy5,4,0.045497958,10.121726,3
hy5:row5,hy5,5,0.04034481,10.0014,2
hy5:row6,hy5,6,0.04597193,10.18535,4
hy5:row7,hy5,7,0.05551643,10.288955,4
hy5:row8,hy5,8,0.05205107,10.248273,4
hy5:row9,hy5,9,0.04160742,9.949704,2
hy5:row10,hy5,10,0.04564215,10.123535,3
hy5:row11,hy5,11,0.047511015,10.07085,3
hy5:row12,hy5,12,0.048832282,10.212115,4
hy5:row13,hy5,13,0.045825418,10.139083,3
hy5:row14,hy5,14,0.044349875,10.103881,3
hy5:row15,hy5,15,0.045741677,10.054389,3
hy5:row16,hy5,16,0.04640028,10.186969,4
hy5:row17,hy5,17,0.04162132,9.936788,2
hy5:row18,hy5,18,0.04737832,10.192802,4
hy5:row19,hy5,19,0.051031962,10.239768,4
hy5:row20,hy5,20,0.044096347,10.115705,3
hy5:row21,hy5,21,0.0489613,10.213286,4
hy5:row22,hy5,22,0.045430675,10.122272,3
hy5:row23,hy5,23,0.03987263,9.849277,1
hy5:row24,hy5,24,0.050051294,10.099271,3
hy5:row25,hy5,25,0.04904118,10.215929,4
hy5:row26,hy5,26,0.04700166,10.155209,3
hy5:row27,hy5,27,0.05205287,10.256977,4
hy5:row28,hy5,28,0.045909468,10.131631,3
hy5:row29,hy5,29,0.040326696,10.0069895,2
hy5:row30,hy5,30,0.041167412,9.956688,1
hy5:row31,hy5,31,0.039047115,9.855911,1
hy5:row32,hy5,32,0.037910726,9.903856,1
hy5:row33,hy5,33,0.038991414,9.849679,1
hy5:row34,hy5,34,0.038918883,9.84155,1
hy5:row35,hy5,35,0.038949043,9.844933,1
MLB:row3,MLB,3,0.027167417,9.274818,1
MLB:row4,MLB,4,0.026700646,9.373919,3
MLB:row5,MLB,5,0.024523703,9.4337,4
MLB:row6,MLB,6,0.02343154,9.338072,2
MLB:row7,MLB,7,0.024822032,9.420327,3
MLB:row8,MLB,8,0.026903588,9.266538,1
MLB:row9,MLB,9,0.02508079,9.286322,2
MLB:row10,MLB,10,0.025433376,9.265655,1
MLB:row11,MLB,11,0.024810504,9.276525,2
MLB:row12,MLB,12,0.025352791,9.458354,4
MLB:row13,MLB,13,0.024453891,9.406806,3
MLB:row14,MLB,14,0.024002085,9.419298,4
MLB:row15,MLB,15,0.024452278,9.406936,3
MLB:row16,MLB,16,0.02432956,9.432454,4
MLB:row17,MLB,17,0.024132833,9.422692,4
MLB:row18,MLB,18,0.024356207,9.431329,4
MLB:row19,MLB,19,0.02446759,9.332823,2
MLB:row20,MLB,20,0.023885313,9.417936,4
MLB:row21,MLB,21,0.024913497,9.280168,2
MLB:row22,MLB,22,0.026354695,9.420881,3
MLB:row23,MLB,23,0.028436758,9.380735,2
MLB:row24,MLB,24,0.024096591,9.383247,3
MLB:row25,MLB,25,0.02543866,9.26579,1
MLB:row26,MLB,26,0.024714243,9.43935,4
MLB:row27,MLB,27,0.024471052,9.331831,2
MLB:row28,MLB,28,0.022694925,9.344171,3
MLB:row29,MLB,29,0.025230253,9.260462,1
MLB:row30,MLB,30,0.024749862,9.340482,2
MLB:row31,MLB,31,0.023462767,9.339102,2
MLB:row32,MLB,32,0.022998486,9.35225,3
MLB:row33,MLB,33,0.022467438,9.334946,3
MLB:row34,MLB,34,0.022801924,9.345408,3
MLB:row35,MLB,35,0.024707109,9.309864,1
MLB:row36,MLB,36,0.024768213,9.311612,1
MLB:row37,MLB,37,0.027201075,9.275869,1
MLB:row38,MLB,38,0.02486306,9.344342,2
MLB:row39,MLB,39,0.02488538,9.344568,2
MLB:row40,MLB,40,0.025106955,9.321217,1
EMS57:row3,EMS57,3,0.0559889,10.140633,3
EMS57:row4,EMS57,4,0.056926023,10.201589,4
EMS57:row5,EMS57,5,0.057446223,10.149987,3
EMS57:row6,EMS57,6,0.05758645,10.208685,4
EMS57:row7,EMS57,7,0.05696499,10.1952915,4
EMS57:row8,EMS57,8,0.054128382,10.004688,2
