year,source_excel_date,published_gdd_f,notes,date,dap,is_ground_flight,station_gdd_f,gdd_difference_f
2018,2022-05-23,130,Ground flight - no plant material visible,2018-05-23,9,True,130,0
2018,2022-06-05,430,,2018-06-05,22,False,430,0
2018,2022-06-13,585,,2018-06-13,30,False,585,0
2018,2022-06-28,946,,2018-06-28,45,False,946,0
2018,2022-07-09,1267,,2018-07-09,56,False,1267,0
2018,2022-07-12,1356,,2018-07-12,59,False,1356,0
2018,2022-07-17,1495,,2018-07-17,64,False,1495,0
2018,2022-07-24,1662.5,,2018-07-24,71,False,1662.5,0
2018,2022-07-31,1812,,2018-07-31,78,False,1812,0
2018,2022-08-09,2031.5,,2018-08-09,87,False,2031.5,0
2018,2022-08-17,2248.5,,2018-08-17,95,False,2248.5,0
2019,2022-06-02,50.5,,2019-06-02,3,False,50.5,0
2019,2022-06-06,121.5,,2019-06-06,7,False,121.5,0
2019,2022-06-08,172,,2019-06-08,9,False,172,0
2019,2022-06-13,239,,2019-06-13,14,False,239,0
2019,2022-06-17,302,,2019-06-17,18,False,302,0
2019,2022-06-25,428.5,,2019-06-25,26,False,428.5,0
2019,2022-06-28,491,,2019-06-28,29,False,491,0
2019,2022-07-02,583,,2019-07-02,33,False,583,0
2019,2022-07-08,722,,2019-07-08,39,False,722,0
2019,2022-07-10,769.5,,2019-07-10,41,False,769.5,0
2019,2022-07-15,890.5,,2019-07-15,46,False,890.5,0
2019,2022-07-17,942,,2019-07-17,48,False,942,0
2019,2022-07-22,1055,,2019-07-22,53,False,1055,0
2019,2022-07-25,1115,,2019-07-25,56,False,1115,0
2019,2022-07-31,1230.5,,2019-07-31,62,False,1230.5,0
2019,2022-08-08,1418,,2019-08-08,70,False,1418,0
2019,2022-08-21,1650.5,,2019-08-21,83,False,1650.5,0
2020,2022-05-21,60.5,Ground flight - no plant material visible,2020-05-21,14,True,60.5,0
2020,2022-06-03,278,,2020-06-03,27,False,278,0
2020,2022-06-08,375.5,,2020-06-08,32,False,375.5,0
2020,2022-06-16,512.5,1 GCP removed,2020-06-16,40,False,512.5,0
2020,2022-06-23,654.5,,2020-06-23,47,False,654.5,0
2020,2022-07-01,835,,2020-07-01,55,False,835,0
2020,2022-07-22,1340,,2020-07-22,76,False,1340,0
2020,2022-07-29,1492.5,,2020-07-29,83,False,1492.5,0
2021,2022-05-13,166,Ground flight - no plant material visible,2021-05-13,7,True,9,157
2021,2022-06-01,258,,2021-06-01,26,False,258,0
2021,2022-06-07,413.5,,2021-06-07,32,False,413.5,0
2021,2022-06-15,619,,2021-06-15,40,False,619,0
2021,2022-06-23,765.5,,2021-06-23,48,False,765.5,0
2021,2022-06-28,874,,2021-06-28,53,False,874,0
2021,2022-07-08,1096,,2021-07-08,63,False,1096,0
2021,2022-07-13,1190,,2021-07-13,68,False,1190,0
2021,2022-07-16,1251,,2021-07-16,71,False,1251,0
2021,2022-07-23,1421.5,,2021-07-23,78,False,1421.5,0
2021,2022-08-06,1759.5,,2021-08-06,92,False,1759.5,0
