plot_id,date,plant_position,height_cm,height_m,genotype,year,replicate,block,entry,stand,field_range,field_row
YC20:1002,2020-06-03,Height1,8.5,0.085,MEF156-55-2,2020,1,1,124,19,1,2
YC20:1015,2020-06-03,Height1,12,0.12,PHN66,2020,1,1,183,16,1,15
YC20:1026,2020-06-03,Height1,14.5,0.145,PHG80,2020,1,1,241,24,1,26
YC20:1039,2020-06-03,Height1,13,0.13,LH145,2020,1,1,116,22,1,39
YC20:1047,2020-06-03,Height1,11.5,0.115,N6,2020,1,1,235,20,1,47
YC20:1287,2020-06-03,Height1,20.5,0.205,ND259,2020,1,2,267,18,6,2
YC20:1274,2020-06-03,Height1,12.5,0.125,PHV63,2020,1,2,505,21,6,15
YC20:1263,2020-06-03,Height1,16,0.16,4N506,2020,1,2,293,12,6,26
YC20:1251,2020-06-03,Height1,14.5,0.145,PHB09,2020,1,1,240,19,6,38
YC20:1242,2020-06-03,Height1,8,0.08,N201,2020,1,1,234,20,6,47
YC20:2055,2020-06-03,Height1,14,0.14,PHG86,2020,2,1,242,21,12,2
YC20:1495,2020-06-03,Height1,12,0.12,FR19,2020,1,2,413,15,11,15
YC20:1506,2020-06-03,Height1,17,0.17,B2,2020,1,2,475,23,11,26
YC20:1518,2020-06-03,Height1,11,0.11,PHW53,2020,1,2,447,17,11,38
YC20:2007,2020-06-03,Height1,16.5,0.165,SD101,2020,2,1,189,23,11,47
YC20:2247,2020-06-03,Height1,9.5,0.095,A679,2020,2,1,44,21,16,2
YC20:2234,2020-06-03,Height1,14,0.14,W603S,2020,2,1,140,15,16,15
YC20:2223,2020-06-03,Height1,18,0.18,A305,2020,2,1,14,16,16,26
YC20:2211,2020-06-03,Height1,16.5,0.165,W701BC,2020,2,1,10,13,16,38
YC20:2202,2020-06-03,Height1,12,0.12,2MA22,2020,2,1,202,15,16,47
YC20:2439,2020-06-03,Height1,15.5,0.155,PH207,2020,2,2,511,24,20,2
YC20:2456,2020-06-03,Height1,21.5,0.215,ND259,2020,2,2,291,18,21,16
YC20:2467,2020-06-03,Height1,18,0.18,B111,2020,2,2,298,23,21,27
YC20:2477,2020-06-03,Height1,13,0.13,H121,2020,2,2,315,17,21,37
YC20:2488,2020-06-03,Height1,22,0.22,NS701,2020,2,2,268,14,21,48
YC20:1002,2020-06-08,Height1,18,0.18,MEF156-55-2,2020,1,1,124,19,1,2
YC20:1015,2020-06-08,Height1,19,0.19,PHN66,2020,1,1,183,16,1,15
YC20:1026,2020-06-08,Height1,26,0.26,PHG80,2020,1,1,241,24,1,26
YC20:1039,2020-06-08,Height1,24,0.24,LH145,2020,1,1,116,22,1,39
YC20:1047,2020-06-08,Height1,20,0.2,N6,2020,1,1,235,20,1,47
YC20:1287,2020-06-08,Height1,30,0.3,ND259,2020,1,2,267,18,6,2
YC20:1274,2020-06-08,Height1,17,0.17,PHV63,2020,1,2,505,21,6,15
YC20:1263,2020-06-08,Height1,20,0.2,4N506,2020,1,2,293,12,6,26
YC20:1251,2020-06-08,Height1,25,0.25,PHB09,2020,1,1,240,19,6,38
YC20:1242,2020-06-08,Height1,19,0.19,N201,2020,1,1,234,20,6,47
YC20:2055,2020-06-08,Height1,25,0.25,PHG86,2020,2,1,242,21,12,2
YC20:1495,2020-06-08,Height1,20,0.2,FR19,2020,1,2,413,15,11,15
YC20:1506,2020-06-08,Height1,23,0.23,B2,2020,1,2,475,23,11,26
YC20:1518,2020-06-08,Height1,22,0.22,PHW53,2020,1,2,447,17,11,38
YC20:2007,2020-06-08,Height1,20,0.2,SD101,2020,2,1,189,23,11,47
YC20:2247,2020-06-08,Height1,25,0.25,A679,2020,2,1,44,21,16,2
YC20:2234,2020-06-08,Height1,21,0.21,W603S,2020,2,1,140,15,16,15
YC20:2223,2020-06-08,Height1,27,0.27,A305,2020,2,1,14,16,16,26
YC20:2211,2020-06-08,Height1,20,0.2,W701BC,2020,2,1,10,13,16,38
YC20:2202,2020-06-08,Height1,23,0.23,2MA22,2020,2,1,202,15,16,47
YC20:2439,2020-06-08,Height1,26,0.26,PH207,2020,2,2,511,24,20,2
YC20:2456,2020-06-08,Height1,23,0.23,ND259,2020,2,2,291,18,21,16
YC20:2467,2020-06-08,Height1,26,0.26,B111,2020,2,2,298,23,21,27
YC20:2477,2020-06-08,Height1,23,0.23,H121,2020,2,2,315,17,21,37
YC20:2488,2020-06-08,Height1,22,0.22,NS701,2020,2,2,268,14,21,48
YC20:1002,2020-06-16,Height1,37.5,0.375,MEF156-55-2,2020,1,1,124,19,1,2
YC20:1015,2020-06-16,Height1,44,0.44,PHN66,2020,1,1,183,16,1,15
YC20:1026,2020-06-16,Height1,46.5,0.465,PHG80,2020,1,1,241,24,1,26
YC20:1039,2020-06-16,Height1,45.5,0.455,LH145,2020,1,1,116,22,1,39
YC20:1047,2020-06-16,Height1,30.5,0.305,N6,2020,1,1,235,20,1,47
YC20:1287,2020-06-16,Height1,43,0.43,ND259,2020,1,2,267,18,6,2
YC20:1274,2020-06-16,Height1,41.5,0.415,PHV63,2020,1,2,505,21,6,15
YC20:1263,2020-06-16,Height1,37,0.37,4N506,2020,1,2,293,12,6,26
YC20:1251,2020-06-16,Height1,41.5,0.415,PHB09,2020,1,1,240,19,6,38
YC20:1242,2020-06-16,Height1,32.5,0.325,N201,2020,1,1,234,20,6,47
YC20:2055,2020-06-16,Height1,38,0.38,PHG86,2020,2,1,242,21,12,2
YC20:1495,2020-06-16,Height1,39.5,0.395,FR19,2020,1,2,413,15,11,15
YC20:1506,2020-06-16,Height1,34,0.34,B2,2020,1,2,475,23,11,26
YC20:1518,2020-06-16,Height1,43,0.43,PHW53,2020,1,2,447,17,11,38
YC20:2007,2020-06-16,Height1,43,0.43,SD101,2020,2,1,189,23,11,47
YC20:2247,2020-06-16,Height1,35,0.35,A679,2020,2,1,44,21,16,2
YC20:2234,2020-06-16,Height1,38.5,0.385,W603S,2020,2,1,140,15,16,15
YC20:2223,2020-06-16,Height1,40,0.4,A305,2020,2,1,14,16,16,26
YC20:2211,2020-06-16,Height1,42.5,0.425,W701BC,2020,2,1,10,13,16,38
YC20:2202,2020-06-16,Height1,43.5,0.435,2MA22,2020,2,1,202,15,16,47
YC20:2439,2020-06-16,Height1,39,0.39,PH207,2020,2,2,511,24,20,2
YC20:2456,2020-06-16,Height1,40.5,0.405,ND259,2020,2,2,291,18,21,16
YC20:2467,2020-06-16,Height1,46,0.46,B111,2020,2,2,298,23,21,27
YC20:2477,2020-06-16,Height1,37,0.37,H121,2020,2,2,315,17,21,37
YC20:2488,2020-06-16,Height1,41,0.41,NS701,2020,2,2,268,14,21,48
YC20:1002,2020-06-23,Height1,52,0.52,MEF156-55-2,2020,1,1,124,19,1,2
YC20:1015,2020-06-23,Height1,47,0.47,PHN66,2020,1,1,183,16,1,15
YC20:1026,2020-06-23,Height1,75,0.75,PHG80,2020,1,1,241,24,1,26
YC20:1039,2020-06-23,Height1,68,0.68,LH145,2020,1,1,116,22,1,39
YC20:1047,2020-06-23,Height1,43,0.43,N6,2020,1,1,235,20,1,47
YC20:1287,2020-06-23,Height1,72,0.72,ND259,2020,1,2,267,18,6,2
YC20:1274,2020-06-23,Height1,56,0.56,PHV63,2020,1,2,505,21,6,15
YC20:1263,2020-06-23,Height1,62,0.62,4N506,2020,1,2,293,12,6,26
YC20:1251,2020-06-23,Height1,56,0.56,PHB09,2020,1,1,240,19,6,38
YC20:1242,2020-06-23,Height1,58,0.58,N201,2020,1,1,234,20,6,47
YC20:2055,2020-06-23,Height1,60,0.6,PHG86,2020,2,1,242,21,12,2
YC20:1495,2020-06-23,Height1,56,0.56,FR19,2020,1,2,413,15,11,15
YC20:1506,2020-06-23,Height1,60,0.6,B2,2020,1,2,475,23,11,26
YC20:1518,2020-06-23,Height1,62,0.62,PHW53,2020,1,2,447,17,11,38
YC20:2007,2020-06-23,Height1,59,0.59,SD101,2020,2,1,189,23,11,47
YC20:2247,2020-06-23,Height1,60,0.6,A679,2020,2,1,44,21,16,2
YC20:2234,2020-06-23,Height1,53,0.53,W603S,2020,2,1,140,15,16,15
YC20:2223,2020-06-23,Height1,59,0.59,A305,2020,2,1,14,16,16,26
YC20:2211,2020-06-23,Height1,67,0.67,W701BC,2020,2,1,10,13,16,38
YC20:2202,2020-06-23,Height1,54,0.54,2MA22,2020,2,1,202,15,16,47
YC20:2439,2020-06-23,Height1,62,0.62,PH207,2020,2,2,511,24,20,2
YC20:2456,2020-06-23,Height1,64,0.64,ND259,2020,2,2,291,18,21,16
YC20:2467,2020-06-23,Height1,75,0.75,B111,2020,2,2,298,23,21,27
YC20:2477,2020-06-23,Height1,62,0.62,H121,2020,2,2,315,17,21,37
YC20:2488,2020-06-23,Height1,63,0.63,NS701,2020,2,2,268,14,21,48
YC20:1002,2020-07-01,Height1,101,1.01,MEF156-55-2,2020,1,1,124,19,1,2
YC20:1015,2020-07-01,Height1,100,1,PHN66,2020,1,1,183,16,1,15
YC20:1026,2020-07-01,Height1,115,1.15,PHG80,2020,1,1,241,24,1,26
YC20:1039,2020-07-01,Height1,104,1.04,LH145,2020,1,1,116,22,1,39
YC20:1047,2020-07-01,Height1,89,0.89,N6,2020,1,1,235,20,1,47
YC20:1287,2020-07-01,Height1,124,1.24,ND259,2020,1,2,267,18,6,2
YC20:1274,2020-07-01,Height1,89,0.89,PHV63,2020,1,2,505,21,6,15
YC20:1263,2020-07-01,Height1,110,1.1,4N506,2020,1,2,293,12,6,26
YC20:1251,2020-07-01,Height1,104,1.04,PHB09,2020,1,1,240,19,6,38
YC20:1242,2020-07-01,Height1,100,1,N201,2020,1,1,234,20,6,47
YC20:2055,2020-07-01,Height1,101,1.01,PHG86,2020,2,1,242,21,12,2
YC20:1495,2020-07-01,Height1,95,0.95,FR19,2020,1,2,413,15,11,15
YC20:1506,2020-07-01,Height1,80,0.8,B2,2020,1,2,475,23,11,26
YC20:1518,2020-07-01,Height1,99,0.99,PHW53,2020,1,2,447,17,11,38
YC20:2007,2020-07-01,Height1,97,0.97,SD101,2020,2,1,189,23,11,47
YC20:2247,2020-07-01,Height1,105,1.05,A679,2020,2,1,44,21,16,2
YC20:2234,2020-07-01,Height1,100,1,W603S,2020,2,1,140,15,16,15
YC20:2223,2020-07-01,Height1,102,1.02,A305,2020,2,1,14,16,16,26
YC20:2211,2020-07-01,Height1,95,0.95,W701BC,2020,2,1,10,13,16,38
YC20:2202,2020-07-01,Height1,109,1.09,2MA22,2020,2,1,202,15,16,47
YC20:2439,2020-07-01,Height1,104,1.04,PH207,2020,2,2,511,24,20,2
YC20:2456,2020-07-01,Height1,113,1.13,ND259,2020,2,2,291,18,21,16
YC20:2467,2020-07-01,Height1,125,1.25,B111,2020,2,2,298,23,21,27
YC20:2477,2020-07-01,Height1,105,1.05,H121,2020,2,2,315,17,21,37
YC20:2488,2020-07-01,Height1,105,1.05,NS701,2020,2,2,268,14,21,48
YC20:1002,2020-07-08,Height1,160,1.6,MEF156-55-2,2020,1,1,124,19,1,2
YC20:1015,2020-07-08,Height1,150,1.5,PHN66,2020,1,1,183,16,1,15
YC20:1026,2020-07-08,Height1,165,1.65,PHG80,2020,1,1,241,24,1,26
YC20:1039,2020-07-08,Height1,179,1.79,LH145,2020,1,1,116,22,1,39
YC20:1047,2020-07-08,Height1,121,1.21,N6,2020,1,1,235,20,1,47
YC20:1287,2020-07-08,Height1,171,1.71,ND259,2020,1,2,267,18,6,2
YC20:1274,2020-07-08,Height1,124,1.24,PHV63,2020,1,2,505,21,6,15
YC20:1263,2020-07-08,Height1,166,1.66,4N506,2020,1,2,293,12,6,26
YC20:1251,2020-07-08,Height1,137,1.37,PHB09,2020,1,1,240,19,6,38
YC20:1242,2020-07-08,Height1,149,1.49,N201,2020,1,1,234,20,6,47
YC20:2055,2020-07-08,Height1,174,1.74,PHG86,2020,2,1,242,21,12,2
YC20:1495,2020-07-08,Height1,131,1.31,FR19,2020,1,2,413,15,11,15
YC20:1506,2020-07-08,Height1,137,1.37,B2,2020,1,2,475,23,11,26
YC20:1518,2020-07-08,Height1,133,1.33,PHW53,2020,1,2,447,17,11,38
YC20:2007,2020-07-08,Height1,144,1.44,SD101,2020,2,1,189,23,11,47
YC20:2247,2020-07-08,Height1,177,1.77,A679,2020,2,1,44,21,16,2
YC20:2234,2020-07-08,Height1,144,1.44,W603S,2020,2,1,140,15,16,15
YC20:2223,2020-07-08,Height1,171,1.71,A305,2020,2,1,14,16,16,26
YC20:2211,2020-07-08,Height1,136,1.36,W701BC,2020,2,1,10,13,16,38
YC20:2202,2020-07-08,Height1,152,1.52,2MA22,2020,2,1,202,15,16,47
YC20:2439,2020-07-08,Height1,161,1.61,PH207,2020,2,2,511,24,20,2
YC20:2456,2020-07-08,Height1,162,1.62,ND259,2020,2,2,291,18,21,16
YC20:2467,2020-07-08,Height1,191,1.91,B111,2020,2,2,298,23,21,27
YC20:2477,2020-07-08,Height1,143,1.43,H121,2020,2,2,315,17,21,37
YC20:2488,2020-07-08,Height1,152,1.52,NS701,2020,2,2,268,14,21,48
YC20:1002,2020-07-13,Height1,196,1.96,MEF156-55-2,2020,1,1,124,19,1,2
YC20:1015,2020-07-13,Height1,183,1.83,PHN66,2020,1,1,183,16,1,15
YC20:1026,2020-07-13,Height1,178,1.78,PHG80,2020,1,1,241,24,1,26
YC20:1039,2020-07-13,Height1,198,1.98,LH145,2020,1,1,116,22,1,39
YC20:1047,2020-07-13,Height1,175,1.75,N6,2020,1,1,235,20,1,47
YC20:1287,2020-07-13,Height1,184,1.84,ND259,2020,1,2,267,18,6,2
YC20:1274,2020-07-13,Height1,158,1.58,PHV63,2020,1,2,505,21,6,15
YC20:1263,2020-07-13,Height1,197,1.97,4N506,2020,1,2,293,12,6,26
YC20:1251,2020-07-13,Height1,182,1.82,PHB09,2020,1,1,240,19,6,38
YC20:1242,2020-07-13,Height1,191,1.91,N201,2020,1,1,234,20,6,47
YC20:2055,2020-07-13,Height1,179,1.79,PHG86,2020,2,1,242,21,12,2
YC20:1495,2020-07-13,Height1,177,1.77,FR19,2020,1,2,413,15,11,15
YC20:1506,2020-07-13,Height1,163,1.63,B2,2020,1,2,475,23,11,26
YC20:1518,2020-07-13,Height1,158,1.58,PHW53,2020,1,2,447,17,11,38
YC20:2007,2020-07-13,Height1,182,1.82,SD101,2020,2,1,189,23,11,47
YC20:2247,2020-07-13,Height1,195,1.95,A679,2020,2,1,44,21,16,2
YC20:2234,2020-07-13,Height1,176,1.76,W603S,2020,2,1,140,15,16,15
YC20:2223,2020-07-13,Height1,205,2.05,A305,2020,2,1,14,16,16,26
YC20:2211,2020-07-13,Height1,173,1.73,W701BC,2020,2,1,10,13,16,38
YC20:2202,2020-07-13,Height1,181,1.81,2MA22,2020,2,1,202,15,16,47
YC20:2439,2020-07-13,Height1,182,1.82,PH207,2020,2,2,511,24,20,2
YC20:2456,2020-07-13,Height1,176,1.76,ND259,2020,2,2,291,18,21,16
YC20:2467,2020-07-13,Height1,210,2.1,B111,2020,2,2,298,23,21,27
YC20:2477,2020-07-13,Height1,182,1.82,H121,2020,2,2,315,17,21,37
YC20:2488,2020-07-13,Height1,185,1.85,NS701,2020,2,2,268,14,21,48
YC20:1002,2020-07-22,Height1,210,2.1,MEF156-55-2,2020,1,1,124,19,1,2
YC20:1015,2020-07-22,Height1,201,2.01,PHN66,2020,1,1,183,16,1,15
YC20:1026,2020-07-22,Height1,208,2.08,PHG80,2020,1,1,241,24,1,26
YC20:1039,2020-07-22,Height1,216,2.16,LH145,2020,1,1,116,22,1,39
YC20:1047,2020-07-22,Height1,196,1.96,N6,2020,1,1,235,20,1,47
YC20:1287,2020-07-22,Height1,175,1.75,ND259,2020,1,2,267,18,6,2
YC20:1274,2020-07-22,Height1,205,2.05,PHV63,2020,1,2,505,21,6,15
YC20:1263,2020-07-22,Height1,213,2.13,4N506,2020,1,2,293,12,6,26
YC20:1251,2020-07-22,Height1,198,1.98,PHB09,2020,1,1,240,19,6,38
YC20:1242,2020-07-22,Height1,216,2.16,N201,2020,1,1,234,20,6,47
YC20:2055,2020-07-22,Height1,216,2.16,PHG86,2020,2,1,242,21,12,2
YC20:1495,2020-07-22,Height1,174,1.74,FR19,2020,1,2,413,15,11,15
YC20:1506,2020-07-22,Height1,200,2,B2,2020,1,2,475,23,11,26
YC20:1518,2020-07-22,Height1,180,1.8,PHW53,2020,1,2,447,17,11,38
YC20:2007,2020-07-22,Height1,172,1.72,SD101,2020,2,1,189,23,11,47
YC20:2247,2020-07-22,Height1,229,2.29,A679,2020,2,1,44,21,16,2
YC20:2234,2020-07-22,Height1,175,1.75,W603S,2020,2,1,140,15,16,15
YC20:2223,2020-07-22,Height1,220,2.2,A305,2020,2,1,14,16,16,26
YC20:2211,2020-07-22,Height1,182,1.82,W701BC,2020,2,1,10,13,16,38
YC20:2202,2020-07-22,Height1,212,2.12,2MA22,2020,2,1,202,15,16,47
YC20:2439,2020-07-22,Height1,202,2.02,PH207,2020,2,2,511,24,20,2
YC20:2456,2020-07-22,Height1,182,1.82,ND259,2020,2,2,291,18,21,16
YC20:2467,2020-07-22,Height1,245,2.45,B111,2020,2,2,298,23,21,27
YC20:2477,2020-07-22,Height1,209,2.09,H121,2020,2,2,315,17,21,37
YC20:2488,2020-07-22,Height1,198,1.98,NS701,2020,2,2,268,14,21,48
YC20:1002,2020-07-29,Height1,210,2.1,MEF156-55-2,2020,1,1,124,19,1,2
YC20:1015,2020-07-29,Height1,222,2.22,PHN66,2020,1,1,183,16,1,15
YC20:1026,2020-07-29,Height1,223,2.23,PHG80,2020,1,1,241,24,1,26
YC20:1039,2020-07-29,Height1,220,2.2,LH145,2020,1,1,116,22,1,39
YC20:1047,2020-07-29,Height1,205,2.05,N6,2020,1,1,235,20,1,47
YC20:1287,2020-07-29,Height1,195,1.95,ND259,2020,1,2,267,18,6,2
YC20:1274,2020-07-29,Height1,212,2.12,PHV63,2020,1,2,505,21,6,15
YC20:1263,2020-07-29,Height1,250,2.5,4N506,2020,1,2,293,12,6,26
YC20:1251,2020-07-29,Height1,205,2.05,PHB09,2020,1,1,240,19,6,38
YC20:1242,2020-07-29,Height1,227,2.27,N201,2020,1,1,234,20,6,47
YC20:2055,2020-07-29,Height1,235,2.35,PHG86,2020,2,1,242,21,12,2
YC20:1495,2020-07-29,Height1,187,1.87,FR19,2020,1,2,413,15,11,15
YC20:1506,2020-07-29,Height1,222,2.22,B2,2020,1,2,475,23,11,26
YC20:1518,2020-07-29,Height1,175,1.75,PHW53,2020,1,2,447,17,11,38
