date,tmax_f,tmin_f,year,dap,tmax_c,tmin_c,temperature_c,daily_gdd_f,daily_gdd_c,station_gdd_f,station_gdd_c,thermal_integral_c
2018-05-14,70,50,2018,0,21.11111111,10,15.55555556,10,5.555555556,0,0,0
2018-05-15,73,51,2018,1,22.77777778,10.55555556,16.66666667,12,6.666666667,12,6.666666667,6.111111111
2018-05-16,75,55,2018,2,23.88888889,12.77777778,18.33333333,15,8.333333333,27,15,13.61111111
2018-05-17,86,56,2018,3,30,13.33333333,21.66666667,21,11.66666667,48,26.66666667,23.61111111
2018-05-18,83,55,2018,4,28.33333333,12.77777778,20.55555556,19,10.55555556,67,37.22222222,34.72222222
2018-05-19,83,55,2018,5,28.33333333,12.77777778,20.55555556,19,10.55555556,86,47.77777778,45.27777778
2018-05-20,61,42,2018,6,16.11111111,5.555555556,10.83333333,5.5,3.055555556,91.5,50.83333333,52.08333333
2018-05-21,71,45,2018,7,21.66666667,7.222222222,14.44444444,10.5,5.833333333,102,56.66666667,56.52777778
2018-05-22,69,54,2018,8,20.55555556,12.22222222,16.38888889,11.5,6.388888889,113.5,63.05555556,62.63888889
2018-05-23,74,59,2018,9,23.33333333,15,19.16666667,16.5,9.166666667,130,72.22222222,70.41666667
2018-05-24,82,65,2018,10,27.77777778,18.33333333,23.05555556,23.5,13.05555556,153.5,85.27777778,81.52777778
2018-05-25,90,62,2018,11,32.22222222,16.66666667,24.44444444,24,13.33333333,177.5,98.61111111,94.72222222
2018-05-26,88,67,2018,12,31.11111111,19.44444444,25.27777778,26.5,14.72222222,204,113.3333333,108.75
2018-05-27,92,66,2018,13,33.33333333,18.88888889,26.11111111,26,14.44444444,230,127.7777778,123.3333333
2018-05-28,90,75,2018,14,32.22222222,23.88888889,28.05555556,30.5,16.94444444,260.5,144.7222222,139.0277778
2018-05-29,100,71,2018,15,37.77777778,21.66666667,29.72222222,28.5,15.83333333,289,160.5555556,155.4166667
2018-05-30,93,68,2018,16,33.88888889,20,26.94444444,27,15,316,175.5555556,170.8333333
2018-05-31,74,64,2018,17,23.33333333,17.77777778,20.55555556,19,10.55555556,335,186.1111111,183.6111111
2018-06-01,85,66,2018,18,29.44444444,18.88888889,24.16666667,25.5,14.16666667,360.5,200.2777778,195.9722222
2018-06-02,81,62,2018,19,27.22222222,16.66666667,21.94444444,21.5,11.94444444,382,212.2222222,209.0277778
2018-06-03,70,59,2018,20,21.11111111,15,18.05555556,14.5,8.055555556,396.5,220.2777778,219.0277778
2018-06-04,69,52,2018,21,20.55555556,11.11111111,15.83333333,10.5,5.833333333,407,226.1111111,225.9722222
2018-06-05,86,60,2018,22,30,15.55555556,22.77777778,23,12.77777778,430,238.8888889,235.2777778
2018-06-06,80,61,2018,23,26.66666667,16.11111111,21.38888889,20.5,11.38888889,450.5,250.2777778,247.3611111
2018-06-07,78,59,2018,24,25.55555556,15,20.27777778,18.5,10.27777778,469,260.5555556,258.1944444
2018-06-08,78,62,2018,25,25.55555556,16.66666667,21.11111111,20,11.11111111,489,271.6666667,268.8888889
2018-06-09,74,63,2018,26,23.33333333,17.22222222,20.27777778,18.5,10.27777778,507.5,281.9444444,279.5833333
2018-06-10,72,64,2018,27,22.22222222,17.77777778,20,18,10,525.5,291.9444444,289.7222222
2018-06-11,77,64,2018,28,25,17.77777778,21.38888889,20.5,11.38888889,546,303.3333333,300.4166667
2018-06-12,73,66,2018,29,22.77777778,18.88888889,20.83333333,19.5,10.83333333,565.5,314.1666667,311.5277778
2018-06-13,81,58,2018,30,27.22222222,14.44444444,20.83333333,19.5,10.83333333,585,325,322.3611111
2018-06-14,80,64,2018,31,26.66666667,17.77777778,22.22222222,22,12.22222222,607,337.2222222,333.8888889
2018-06-15,81,68,2018,32,27.22222222,20,23.61111111,24.5,13.61111111,631.5,350.8333333,346.8055556
2018-06-16,94,71,2018,33,34.44444444,21.66666667,28.05555556,28.5,15.83333333,660,366.6666667,361.5277778
2018-06-17,87,71,2018,34,30.55555556,21.66666667,26.11111111,28.5,15.83333333,688.5,382.5,377.3611111
2018-06-18,90,70,2018,35,32.22222222,21.11111111,26.66666667,28,15.55555556,716.5,398.0555556,393.0555556
2018-06-19,79,66,2018,36,26.11111111,18.88888889,22.5,22.5,12.5,739,410.5555556,407.0833333
2018-06-20,72,65,2018,37,22.22222222,18.33333333,20.27777778,18.5,10.27777778,757.5,420.8333333,418.4722222
