year,LON,LAT,date,daysFromStart,T2M,T2M_MAX,T2M_MIN,PRECTOT,WS2M,RH2M,T2MDEW,n,N,RTA,SPV,VPD,ETP,PETP,GDD,FRUE,T2M_RANGE,Elevation,dap
2018,-93.175521,44.993053,2018-05-14,1,17.03,23.8,12.07,4.75,0.82,84.62,14.18,1.683,14.772,39.059,0.12940882,0.56127521,5.26361999,-0.51362,8.935,0.52558824,11.73,281,0
2018,-93.175521,44.993053,2018-05-15,2,17.35,23.93,9.87,0.03,1.35,60.94,8.65,11.193,14.811,39.209,0.12220879,0.97312707,10.9706877,-10.940688,7.9,0.46470588,14.06,281,1
2018,-93.175521,44.993053,2018-05-16,3,20.05,28.26,10.8,0,1.79,58.88,11.3,14.541,14.849,39.355,0.1412072,1.22728575,12.7741267,-12.774127,10.53,0.61941176,17.46,281,2
2018,-93.175521,44.993053,2018-05-17,4,20.12,27.3,12.35,0.01,2.41,65.56,13.12,10.885,14.887,39.497,0.14348617,1.02231668,11.4042472,-11.394247,10.825,0.63676471,14.95,281,3
2018,-93.175521,44.993053,2018-05-18,5,19.45,27.08,10.09,0.55,2.85,66.69,12.72,8.23,14.923,39.636,0.13411188,0.93815972,11.4761084,-10.926108,9.585,0.56382353,16.99,281,4
2018,-93.175521,44.993053,2018-05-19,6,14.63,18.67,8.26,0.25,3.09,77.31,10.59,1.949,14.96,39.77,0.10069677,0.34486175,4.08816432,-3.8381643,4.835,0.26264706,10.41,281,5
2018,-93.175521,44.993053,2018-05-20,7,13.25,20.87,6.16,0,2.16,59.19,4.51,8.23,14.995,39.9,0.10098507,0.86341827,10.017695,-10.017695,5.935,0.26558824,14.71,281,6
2018,-93.175521,44.993053,2018-05-21,8,16.65,22.57,12.37,0.21,1.72,77.94,12.39,1.656,15.03,40.027,0.12613076,0.64810873,5.09104883,-4.8810488,8.47,0.49823529,10.2,281,7
2018,-93.175521,44.993053,2018-05-22,9,18.61,24.87,12.26,0.07,0.61,76.88,14,6.25,15.063,40.149,0.13396504,0.68643383,8.7957392,-8.7257392,9.565,0.56264706,12.61,281,8
2018,-93.175521,44.993053,2018-05-23,10,20.67,26.4,14.21,0.78,1.55,83.44,17.54,3.681,15.096,40.268,0.14726085,0.52607405,8.10150689,-7.3215069,11.305,0.665,12.19,281,9
2018,-93.175521,44.993053,2018-05-24,11,23.4,28.17,18.95,15.85,2.2,84,20.31,5.949,15.129,40.382,0.17514102,0.62047653,10.8701682,4.97983183,14.56,0.85647059,9.22,281,10
2018,-93.175521,44.993053,2018-05-25,12,23.26,29.44,18.62,9.4,1.75,79.12,19.04,8.899,15.16,40.493,0.17951246,0.92433773,11.5967365,-2.1967365,15.03,0.88411765,10.82,281,11
2018,-93.175521,44.993053,2018-05-26,13,25.37,32.4,16.17,0,1.28,62.06,16.55,14.838,15.19,40.6,0.18192244,1.46751425,13.4708064,-13.470806,15.285,0.89911765,16.23,281,12
2018,-93.175521,44.993053,2018-05-27,14,26.14,32.69,19.54,0.08,1.46,55.62,16.23,4.02,15.22,40.702,0.20003094,1.76270084,10.5002067,-10.420207,17.115,1,13.15,281,13
2018,-93.175521,44.993053,2018-05-28,15,26.81,34.45,18.48,1.88,0.92,70.62,20.41,7.273,15.249,40.8,0.20366158,1.39221715,10.0548314,-8.1748314,17.465,1,15.97,281,14
2018,-93.175521,44.993053,2018-05-29,16,24.96,30.98,20.58,3.4,1.78,82.75,21.55,6.974,15.277,40.895,0.19660707,0.88321692,9.73751745,-6.3375175,16.78,0.98705882,10.4,281,15
2018,-93.175521,44.993053,2018-05-30,17,21.73,25.15,18.37,23.06,1.34,85.19,19.03,1.934,15.303,40.985,0.15922007,0.4528208,5.35328725,17.7067127,12.76,0.75058824,6.78,281,16
2018,-93.175521,44.993053,2018-05-31,18,21.91,27.74,15.54,0.14,1.53,77.31,17.41,12.716,15.329,41.071,0.15820366,0.75563615,12.4597635,-12.319764,12.64,0.74352941,12.2,281,17
2018,-93.175521,44.993053,2018-06-01,19,20.29,26.19,14.82,0.24,2.34,77.38,15.86,10.816,15.354,41.153,0.14885824,0.74041681,11.8575889,-11.617589,11.505,0.67676471,11.37,281,18
2018,-93.175521,44.993053,2018-06-02,20,17.13,21.6,12.92,10,2.59,78.81,13.32,2.271,15.378,41.231,0.12467359,0.50562291,4.90882519,5.09117481,8.26,0.48588235,8.68,281,19
2018,-93.175521,44.993053,2018-06-03,21,15.08,20.37,10.54,0.01,3.14,66.06,8.37,8.859,15.401,41.304,0.11272694,0.73261553,10.1346915,-10.124691,6.455,0.37970588,9.83,281,20
2018,-93.175521,44.993053,2018-06-04,22,19.57,27.55,9.03,0.01,1.71,63.62,11.86,10.057,15.422,41.374,0.13195978,1.0264988,11.513514,-11.503514,9.29,0.54647059,18.52,281,21
2018,-93.175521,44.993053,2018-06-05,23,18.88,25.15,11.67,0.03,2.04,65.81,11.97,12.812,15.443,41.439,0.13283165,0.88444218,12.7250778,-12.695078,9.41,0.55352941,13.48,281,22
2018,-93.175521,44.993053,2018-06-06,24,19.5,25.26,14.16,5.45,1.8,79.12,15.64,6.759,15.463,41.5,0.14259409,0.63930823,10.5739931,-5.1239931,10.71,0.63,11.1,281,23
2018,-93.175521,44.993053,2018-06-07,25,18.39,24.5,10.47,0.1,1.47,71.25,12.68,3.874,15.481,41.557,0.1262354,0.70418435,8.50351074,-8.4035107,8.485,0.49911765,14.03,281,24
2018,-93.175521,44.993053,2018-06-08,26,18.94,23.98,15.55,6,2.19,82.19,15.65,1.807,15.499,41.61,0.14302015,0.59545412,5.35540865,0.64459135,10.765,0.63323529,8.43,281,25
2018,-93.175521,44.993053,2018-06-09,27,18.9,22.08,14.93,11.19,1.82,90.5,17.32,0.961,15.515,41.658,0.13352534,0.19988149,2.76014006,8.42985994,9.505,0.55911765,7.15,281,26
2018,-93.175521,44.993053,2018-06-10,28,20,25.05,14.58,0.22,2.59,77.88,15.83,2.26,15.53,41.703,0.14340841,0.61984381,5.84731748,-5.6273175,10.815,0.63617647,10.47,281,27
2018,-93.175521,44.993053,2018-06-11,29,19.83,25.33,14.51,9.04,2.7,80.94,16.26,0.823,15.544,41.743,0.14422668,0.59271099,2.29664079,6.74335921,10.92,0.64235294,10.82,281,28
2018,-93.175521,44.993053,2018-06-12,30,21.63,26.37,17,3.52,1.61,79.25,17.62,3.072,15.557,41.779,0.15858417,0.67148882,6.74629864,-3.2262986,12.685,0.74617647,9.37,281,29
2018,-93.175521,44.993053,2018-06-13,31,19.15,25.19,11.06,0.01,1.41,57.69,9.67,12.336,15.568,41.81,0.13076888,1.05977706,13.021327,-13.011327,9.125,0.53676471,14.13,281,30
2018,-93.175521,44.993053,2018-06-14,32,20.11,24.65,15.39,0.51,2.74,71.75,14.57,3.582,15.579,41.838,0.14500964,0.76675622,9.37919502,-8.869195,11.02,0.64823529,9.26,281,31
2018,-93.175521,44.993053,2018-06-15,33,24.91,29.84,18.62,2.92,2.46,82.25,21.53,5.98,15.588,41.861,0.18140035,0.60590801,9.63246351,-6.7124635,15.23,0.89588235,11.22,281,32
2018,-93.175521,44.993053,2018-06-16,34,25.23,29.44,22.1,27.28,2,89.62,23.37,2.815,15.596,41.88,0.19650562,0.51143238,5.20804419,22.0719558,16.77,0.98647059,7.34,281,33
2018,-93.175521,44.993053,2018-06-17,35,25.92,29.19,20.53,26.93,2.01,85.25,23.17,4.778,15.603,41.894,0.18745697,0.3945203,10.0428141,16.8871859,15.86,0.93294118,8.66,281,34
2018,-93.175521,44.993053,2018-06-18,36,21.32,24.92,18.65,7.39,1.94,85.38,18.64,1.508,15.608,41.905,0.15943252,0.50275089,4.74536997,2.64463003,12.785,0.75205882,6.27,281,35
2018,-93.175521,44.993053,2018-06-19,37,18.48,20.76,16.67,11.41,2.29,86.81,16.17,1.091,15.612,41.911,0.13506966,0.33594078,3.09738405,8.31261595,9.715,0.57147059,4.09,281,36
2018,-93.175521,44.993053,2018-06-20,38,20.62,25.2,16.39,4.14,1.65,78.31,16.39,2.426,15.616,41.913,0.15120046,0.67079476,6.86385306,-2.7238531,11.795,0.69382353,8.81,281,37
2018,-93.175521,44.993053,2018-06-21,39,19.95,23.48,15.81,0.23,1.6,75.88,15.35,1.967,15.617,41.911,0.14209194,0.60001559,6.84011322,-6.6101132,10.645,0.62617647,7.67,281,38
2018,-93.175521,44.993053,2018-06-22,40,21.15,26.39,14.91,0.04,0.79,71.19,15.29,6.437,15.618,41.904,0.15002548,0.83012958,11.1197549,-11.079755,11.65,0.68529412,11.48,281,39
2018,-93.175521,44.993053,2018-06-23,41,21.55,26.96,15.14,0,0.95,68.25,15.09,3.31,15.617,41.893,0.15328568,0.9235971,9.84711957,-9.8471196,12.05,0.70882353,11.82,281,40
2018,-93.175521,44.993053,2018-06-24,42,21.96,26.84,16.87,0.66,1.23,77.06,17.55,2.29,15.616,41.878,0.16002864,0.72058479,6.29288153,-5.6328815,12.855,0.75617647,9.97,281,41
2018,-93.175521,44.993053,2018-06-25,43,21.79,26.26,18.07,0.63,2.26,79.19,17.73,4.132,15.612,41.859,0.16269129,0.71403882,9.74426643,-9.1142664,13.165,0.77441176,8.19,281,42
2018,-93.175521,44.993053,2018-06-26,44,20.03,24.12,16.21,17.4,2.03,88.38,18,2.619,15.608,41.835,0.14615133,0.36014759,6.19475556,11.2052444,11.165,0.65676471,7.91,281,43
2018,-93.175521,44.993053,2018-06-27,45,22.35,27.66,16.6,0.06,0.85,79.69,18.4,5.154,15.603,41.808,0.1623888,0.68094977,9.0060436,-8.9460436,13.13,0.77235294,11.06,281,44
2018,-93.175521,44.993053,2018-06-28,46,24.08,28.7,17.18,0.03,1.42,80.19,20.16,7.06,15.596,41.776,0.16951207,0.58678818,10.8454417,-10.815442,13.94,0.82,11.52,281,45
