Date,GDD,Year
23-May,130,2018
5-Jun,430,2018
13-Jun,585,2018
28-Jun,946,2018
9-Jul,1267,2018
12-Jul,1356,2018
17-Jul,1495,2018
24-Jul,1662.5,2018
31-Jul,1812,2018
9-Aug,2031.5,2018
17-Aug,2248.5,2018
2-Jun,50.5,2019
6-Jun,121.5,2019
8-Jun,172,2019
13-Jun,239,2019
17-Jun,302,2019
25-Jun,428.5,2019
28-Jun,491,2019
2-Jul,583,2019
8-Jul,722,2019
10-Jul,769.5,2019
15-Jul,890.5,2019
17-Jul,942,2019
22-Jul,1055,2019
25-Jul,1115,2019
31-Jul,1230.5,2019
8-Aug,1418,2019
21-Aug,1650.5,2019
21-May,60.5,2020
3-Jun,278,2020
8-Jun,375.5,2020
16-Jun,512.5,2020
23-Jun,654.5,2020
1-Jul,835,2020
22-Jul,1340,2020
29-Jul,1492.5,2020
13-May,9,2021
1-Jun,258,2021
7-Jun,413.5,2021
15-Jun,619,2021
23-Jun,765.5,2021
28-Jun,874,2021
8-Jul,1096,2021
13-Jul,1190,2021
16-Jul,1251,2021
23-Jul,1421.5,2021
6-Aug,1759.5,2021
