Date,RN,Rainfall,AirTMax(F),AirTMin(F),AirTSmp(F),AirTAvg(F),WindMphMax,WindMphAvg,WindDir
1/1/21 0:00,30418,0,16.74,15.15,15.46,16.01,13.48,7.27,156.5
1/1/21 1:00,30419,0,15.64,14.36,14.42,14.97,11.13,6.354,159.3
1/1/21 2:00,30420,0,14.67,13.63,14.55,14.13,10.8,6.306,188.6
1/1/21 3:00,30421,0,15.4,14.3,15.34,14.77,14.15,6.883,156
1/1/21 4:00,30422,0,16,13.99,14.11,15.17,11.8,5.911,134.7
1/1/21 5:00,30423,0,14.36,12.6,13.02,13.58,7.108,4,126.4
1/1/21 6:00,30424,0,13.39,12.48,12.66,12.83,7.779,2.924,124.4
1/1/21 7:00,30425,0,12.96,11.44,11.75,12.14,5.096,1.5,138.8
1/1/21 8:00,30426,0,12.61,11.63,12.06,12.04,6.102,2.418,129.1
1/1/21 9:00,30427,0,12.61,11.45,12.18,12.08,6.437,1.309,129.6
1/1/21 10:00,30428,0,14.37,12.18,14.13,13.11,6.437,1.201,126.2
1/1/21 11:00,30429,0,19.55,14.13,16.92,16.36,4.089,0.305,129.3
1/1/21 12:00,30430,0,20.46,13.68,19.96,17.87,3.083,0.035,110.5
1/1/21 13:00,30431,0,23.99,19.96,22.7,21.68,0,0,164.1
1/1/21 14:00,30432,0,24.59,21.47,21.84,23.38,3.419,0.029,38.87
1/1/21 15:00,30433,0,23.92,21.41,22.7,22.16,3.754,0.436,6.685
1/1/21 16:00,30434,0,23.92,21.41,21.78,22.52,3.754,0.238,315.4
1/1/21 17:00,30435,0,22.51,17.77,17.89,20.5,0,0,316.4
1/1/21 18:00,30436,0,18.93,16.79,18.2,17.84,0,0,44.45
1/1/21 19:00,30437,0,20.4,18.14,20.15,19.35,0,0,336.7
1/1/21 20:00,30438,0,21.42,20.03,21.06,20.9,2.748,0.103,314.6
1/1/21 21:00,30439,0,21.73,21.06,21.06,21.38,6.437,0.744,280.9
1/1/21 22:00,30440,0,21.36,18.98,19.53,20.14,6.437,2.585,313.3
1/1/21 23:00,30441,0,19.65,16.31,16.55,18.06,5.096,1.359,284.5
1/2/21 0:00,30442,0,16.73,13.81,14.36,15.17,0,0,293.5
1/2/21 1:00,30443,0,14.79,12.17,13.21,13.5,0,0,293.4
1/2/21 2:00,30444,0,13.58,11.14,12.3,12.52,2.077,0.012,240.4
1/2/21 3:00,30445,0,12.85,11.14,12,12.05,1.742,0.014,247.2
1/2/21 4:00,30446,0,12.42,8.45,9.12,10.86,0,0,298.4
1/2/21 5:00,30447,0,10.84,8.64,9.31,10.1,2.748,0.063,230
1/2/21 6:00,30448,0,11.64,9.19,10.84,10.73,6.773,1.867,207.2
1/2/21 7:00,30449,0,11.02,9.19,10.1,10.1,6.102,1.459,209
1/2/21 8:00,30450,0,10.41,9.43,9.74,9.81,6.437,3.426,188.3
1/2/21 9:00,30451,0,11.51,9.31,11.26,10.19,7.779,3.199,175.2
1/2/21 10:00,30452,0,13.64,11.2,13.45,12.33,7.108,1.596,170
1/2/21 11:00,30453,0,16.49,13.39,16.12,15,5.766,1.949,148.3
1/2/21 12:00,30454,0,18.5,15.82,17.95,16.98,4.089,0.87,125.1
1/2/21 13:00,30455,0,20.63,17.77,20.2,19.07,6.773,2.376,158.9
1/2/21 14:00,30456,0,23.86,20.26,23.55,22.04,5.766,1.404,157.3
1/2/21 15:00,30457,0,25.14,22.21,24.71,24.18,7.779,4.687,173.6
1/2/21 16:00,30458,0,25.08,23.18,24.04,23.75,9.12,4.57,158.4
1/2/21 17:00,30459,0,24.04,22.09,22.33,22.98,8.79,2.59,128.7
1/2/21 18:00,30460,0,22.39,21.24,21.74,21.68,4.76,1.098,150.4
1/2/21 19:00,30461,0,22.53,20.7,22.35,21.46,8.11,4.057,160
1/2/21 20:00,30462,0,23.08,22.16,22.46,22.58,9.46,5.827,172.1
1/2/21 21:00,30463,0,22.58,20.81,20.88,21.7,8.79,5.677,151.5
1/2/21 22:00,30464,0,21.24,18.81,18.81,20.22,8.45,5.205,158.1
1/2/21 23:00,30465,0,19.11,17.28,17.59,18.01,8.45,5.123,162.2
1/3/21 0:00,30466,0,17.77,16.43,16.79,17,8.45,5.676,156.1
1/3/21 1:00,30467,0,16.92,16.12,16.67,16.47,8.79,5.739,151.8
1/3/21 2:00,30468,0,16.8,15.58,15.89,16.09,8.79,4.657,167.4
1/3/21 3:00,30469,0,16.25,14.73,14.91,15.21,9.79,5.468,150
1/3/21 4:00,30470,0,15.15,14.24,14.73,14.67,10.13,6.871,164.1
1/3/21 5:00,30471,0,15.03,13.21,13.27,14.08,9.79,3.673,149.6
1/3/21 6:00,30472,0,13.94,12.9,13.64,13.34,9.46,5.165,148.2
1/3/21 7:00,30473,0,13.94,12.9,13.27,13.36,10.13,6.084,172
1/3/21 8:00,30474,0,13.88,12.6,12.9,13.11,7.443,4.501,155.2
1/3/21 9:00,30475,0,15.35,12.54,15.29,13.9,9.12,6.309,154.2
1/3/21 10:00,30476,0,20.03,15.28,19.24,17.5,10.8,4.473,160.2
1/3/21 11:00,30477,0,22.45,19.24,22.45,21.23,9.12,4.861,147.6
1/3/21 12:00,30478,0,26.24,22.27,25.69,24.17,8.11,4.639,150.5
1/3/21 13:00,30479,0,29.88,25.5,29.27,28.08,7.779,3.071,138.1
1/3/21 14:00,30480,0,32.26,28.96,32.06,31.09,9.12,4.038,134.4
1/3/21 15:00,30481,0,33.16,31.88,32.79,32.52,8.79,5.54,153.6
1/3/21 16:00,30482,0,33.16,32.36,32.36,32.77,10.13,5.978,144.9
1/3/21 17:00,30483,0,33.1,29.39,29.63,31.11,8.79,4.746,140.4
1/3/21 18:00,30484,0,29.75,27.19,27.37,28.46,8.45,4.145,148.3
1/3/21 19:00,30485,0,27.62,25.86,25.92,26.77,11.47,6.495,157.4
1/3/21 20:00,30486,0,26.1,24.71,24.89,25.38,10.13,6.158,162.5
1/3/21 21:00,30487,0,24.95,23.61,23.61,24.29,9.12,4.529,166.6
1/3/21 22:00,30488,0,24.04,22.21,22.34,22.94,7.108,4.064,173
1/3/21 23:00,30489,0,22.77,21.42,21.67,22.17,7.779,4.89,161.5
1/4/21 0:00,30490,0,21.79,19.96,20.2,20.69,7.108,4.471,157.9
1/4/21 1:00,30491,0,21.37,20.2,21.31,20.84,9.79,5.581,179.9
1/4/21 2:00,30492,0,21.37,19.53,19.66,20.55,10.46,5.669,165.4
1/4/21 3:00,30493,0,20.88,19.6,19.72,20.28,10.13,6.232,169.6
1/4/21 4:00,30494,0,20.64,19.66,20.26,20.31,14.82,7.342,172.5
1/4/21 5:00,30495,0,21.3,20.02,21,20.43,11.13,5.881,180.1
1/4/21 6:00,30496,0,22.09,20.94,22.09,21.45,11.13,6.223,186.3
1/4/21 7:00,30497,0,23.31,21.73,23.31,22.44,12.47,6.42,167.3
1/4/21 8:00,30498,0,24.34,23,23.98,23.71,9.46,4.393,218.4
1/4/21 9:00,30499,0,25.62,24.04,25.38,24.84,9.46,4.383,243.5
1/4/21 10:00,30500,0,26.29,25.26,26.04,25.76,11.13,5.485,248
1/4/21 11:00,30501,0,28.11,25.92,27.86,26.84,10.8,5.019,249.9
1/4/21 12:00,30502,0,29.57,27.68,28.9,28.7,13.48,7.107,271.1
1/4/21 13:00,30503,0,32.31,28.84,32,30.4,14.15,8.19,295.4
1/4/21 14:00,30504,0,34.55,31.69,34.25,33.18,13.82,7.81,277.5
1/4/21 15:00,30505,0,35.4,34.06,35.16,34.75,11.47,6.377,293.6
1/4/21 16:00,30506,0,36.87,34.92,36.32,35.95,9.46,4.498,244.3
1/4/21 17:00,30507,0,36.5,33.16,33.46,34.97,9.79,4.173,241.7
1/4/21 18:00,30508,0.01,33.95,32.12,33.11,33.07,10.8,5.549,259.8
1/4/21 19:00,30509,0,33.66,31.22,31.65,32.51,13.82,8.51,268.7
1/4/21 20:00,30510,0,31.65,29.94,30.49,30.78,12.47,7.203,279.9
1/4/21 21:00,30511,0,30.49,28.47,28.96,29.22,8.79,5.577,284.9
1/4/21 22:00,30512,0,29.2,27.32,28,28.22,9.46,5.1,270.8
1/4/21 23:00,30513,0,28.42,26.78,26.78,27.85,10.46,5.906,278.8
1/5/21 0:00,30514,0,27.2,25.63,26.11,26.44,6.102,3.794,268.2
1/5/21 1:00,30515,0,26.3,24.53,24.89,25.52,6.102,3.993,278.8
1/5/21 2:00,30516,0,24.89,22.7,23.62,23.81,5.431,3.633,297.1
1/5/21 3:00,30517,0,24.29,22.4,23.13,23.47,7.443,3.818,281.6
1/5/21 4:00,30518,0,24.11,22.04,22.04,23.12,9.79,6.43,278.9
1/5/21 5:00,30519,0,22.4,19.48,19.6,20.88,6.773,2.864,302
1/5/21 6:00,30520,0,20.46,16.06,17.96,18.26,2.077,0.051,270.9
1/5/21 7:00,30521,0,18.15,13.99,15.34,16.41,0,0,49.6
1/5/21 8:00,30522,0,18.95,13.88,18.4,16.45,0.735,0.001,240.9
1/5/21 9:00,30523,0,19.86,17.23,19.42,18.69,2.077,0.081,334.3
1/5/21 10:00,30524,0,23.75,18.99,23.5,21.59,0,0,39.07
1/5/21 11:00,30525,0,29.94,20.97,29.57,26.78,1.742,0.002,157.8
1/5/21 12:00,30526,0,32.99,29.07,30.29,31.2,5.766,0.509,150.3
1/5/21 13:00,30527,0,33.46,29.99,32.18,31.86,5.096,0.227,101.9
1/5/21 14:00,30528,0.03,38.03,31.88,36.5,36.09,0,0,85.3
1/5/21 15:00,30529,0.02,36.56,32.67,32.67,34.42,3.419,0.123,135.9
1/5/21 16:00,30530,0.01,33.16,29.56,29.86,32.19,6.102,0.339,107.2
1/5/21 17:00,30531,0,29.86,27.25,27.31,28.38,6.773,1.464,81
1/5/21 18:00,30532,0,27.86,26.29,26.53,27.01,3.419,0.096,85
1/5/21 19:00,30533,0,26.78,24.95,25.38,25.93,5.431,1.095,55.89
1/5/21 20:00,30534,0,26.05,24.34,25.02,25.23,4.76,0.382,63.99
1/5/21 21:00,30535,0,26.11,24.41,25.08,25.38,8.45,4.026,81.2
