year,exclusion_reason,n_trajectories
2018,,790
2018,ambiguous_genotype_replicate_to_plot,44
2018,genotype_not_observed_in_all_4_years,153
2018,no_published_clean_observations,53
2019,,743
2019,ambiguous_genotype_replicate_to_plot,44
2019,genotype_not_observed_in_all_4_years,126
2019,no_published_clean_observations,127
2020,,753
2020,ambiguous_genotype_replicate_to_plot,44
2020,genotype_label_absent_from_plot_metadata,2
2020,genotype_not_observed_in_all_4_years,50
2020,no_published_clean_observations,191
2021,,786
2021,ambiguous_genotype_replicate_to_plot,44
2021,genotype_label_absent_from_plot_metadata,2
2021,genotype_not_observed_in_all_4_years,131
2021,no_published_clean_observations,77
