model,seed,dap,n_genotypes,mae
Logi-ODE,0,26,401,30.415798645393572
Logi-ODE,0,32,388,20.1910161689792
Logi-ODE,0,40,401,86.02104949003316
Logi-ODE,0,48,371,247.13123267840245
Logi-ODE,0,53,402,230.90112995850825
Logi-ODE,0,63,402,130.68250138837863
Logi-ODE,0,68,402,93.14476535802255
Logi-ODE,0,71,402,65.61978788459606
Logi-ODE,0,78,402,43.19642458016956
Logi-ODE,0,92,402,40.0443932873424
Temp-ODE,0,26,401,34.148989714961495
Temp-ODE,0,32,388,31.744493286926666
Temp-ODE,0,40,401,45.217606185021246
Temp-ODE,0,48,371,190.30091926781577
Temp-ODE,0,53,402,196.87518421883615
Temp-ODE,0,63,402,125.28364587132124
Temp-ODE,0,68,402,92.6546321821598
Temp-ODE,0,71,402,66.35346107853631
Temp-ODE,0,78,402,43.47068800559504
Temp-ODE,0,92,402,40.21963489453754
RF,1,26,401,7.53154134544999
RF,1,32,388,76.52914872921276
RF,1,40,401,151.79422092797947
RF,1,48,371,228.1273387737565
RF,1,53,402,213.24725048592427
RF,1,63,402,132.47645684625718
RF,1,68,402,152.75593326636496
RF,1,71,402,109.02408216759191
RF,1,78,402,47.55844766408416
RF,1,92,402,65.59139163520724
RF,2,26,401,7.528323365131078
RF,2,32,388,70.20696742867942
RF,2,40,401,151.68298870911312
RF,2,48,371,224.86741818739753
RF,2,53,402,215.43785424818344
RF,2,63,402,132.78238059970911
RF,2,68,402,152.86859170008245
RF,2,71,402,107.94512125356506
RF,2,78,402,48.00840635646366
RF,2,92,402,65.4826918112349
RF,3,26,401,7.595530051966847
RF,3,32,388,73.58294165455375
RF,3,40,401,151.723240693285
RF,3,48,371,225.28135617649727
RF,3,53,402,215.177489536156
RF,3,63,402,132.64363688602882
RF,3,68,402,152.93032298767866
RF,3,71,402,108.47200889390777
RF,3,78,402,47.73797649566178
RF,3,92,402,65.71211673309601
LSTM-NN,1,26,401,7.983547017509678
LSTM-NN,1,32,388,15.651353236108596
LSTM-NN,1,40,401,205.2703046378039
LSTM-NN,1,48,371,103.39013471722998
LSTM-NN,1,53,402,57.029085785243
LSTM-NN,1,63,402,75.9060049605442
LSTM-NN,1,68,402,63.388987833262114
LSTM-NN,1,71,402,70.30257220717633
LSTM-NN,1,78,402,40.025869974099976
