dataset,model,seed,split,is_primary,rmse,mae,mean_target,unit,n_curves,n_scored_points,n_scored_points_without_actual_observation,rrmse_percent,rmae_percent
wheat,Ours,1,train,True,0.0223687253892421,,0.29934596283849185,m,38,2394,741,7.472532843648487,
wheat,Ours,1,val,True,0.0380007810890674,,0.3333121902822827,m,19,798,152,11.400957479798283,
wheat,Ours,1,test,True,0.0307869222015142,0.02019827417116495,0.2961872434509775,m,19,1368,475,10.394411941177944,6.819427445904841
wheat,Ours,2,train,True,0.0222945418208837,,0.29934596283849185,m,38,2394,741,7.447750959952789,
wheat,Ours,2,val,True,0.0387300811707973,,0.3333121902822827,m,19,798,152,11.619761382863532,
wheat,Ours,2,test,True,0.0299458280205726,0.019593798962234777,0.2961872434509775,m,19,1368,475,10.110438137599598,6.615341948539314
wheat,Ours,3,train,True,0.022659882903099,,0.29934596283849185,m,38,2394,741,7.569797397042177,
wheat,Ours,3,val,True,0.0373889915645122,,0.3333121902822827,m,19,798,152,11.217408980105825,
wheat,Ours,3,test,True,0.0311546381562948,0.020313102276480848,0.2961872434509775,m,19,1368,475,10.518561769677044,6.858196200419045
wheat,LSTM-NN,1,train,True,0.034,,0.29934596283849185,m,38,2394,741,11.358095388226182,
wheat,LSTM-NN,1,val,True,0.069,,0.3333121902822827,m,19,798,152,20.701313066756956,
wheat,LSTM-NN,1,test,True,0.065,,0.2961872434509775,m,19,1368,475,21.945577143250016,
wheat,LSTM-NN,2,train,True,0.035,,0.29934596283849185,m,38,2394,741,11.692157017291658,
wheat,LSTM-NN,2,val,True,0.086,,0.3333121902822827,m,19,798,152,25.801636575957943,
wheat,LSTM-NN,2,test,True,0.042,,0.2961872434509775,m,19,1368,475,14.180219077176934,
wheat,LSTM-NN,3,train,True,0.034,,0.29934596283849185,m,38,2394,741,11.358095388226182,
wheat,LSTM-NN,3,val,True,0.067,,0.3333121902822827,m,19,798,152,20.10127500685096,
wheat,LSTM-NN,3,test,True,0.063,,0.2961872434509775,m,19,1368,475,21.2703286157654,
wheat,Logi-PINN,1,train,True,0.032,,0.29934596283849185,m,38,2394,741,10.68997213009523,
wheat,Logi-PINN,1,val,True,0.07,,0.3333121902822827,m,19,798,152,21.00133209670996,
wheat,Logi-PINN,1,test,True,0.069,,0.2961872434509775,m,19,1368,475,23.296074198219248,
wheat,Logi-PINN,2,train,True,0.037,,0.29934596283849185,m,38,2394,741,12.360280275422609,
wheat,Logi-PINN,2,val,True,0.065,,0.3333121902822827,m,19,798,152,19.50123694694496,
wheat,Logi-PINN,2,test,True,0.065,,0.2961872434509775,m,19,1368,475,21.945577143250016,
wheat,Logi-PINN,3,train,True,0.034,,0.29934596283849185,m,38,2394,741,11.358095388226182,
wheat,Logi-PINN,3,val,True,0.064,,0.3333121902822827,m,19,798,152,19.20121791699196,
wheat,Logi-PINN,3,test,True,0.063,,0.2961872434509775,m,19,1368,475,21.2703286157654,
wheat,Logi-ODE,0,train,True,0.0972973345187225,0.0615981728468389,0.29934596283849185,m,38,2394,741,32.503306073053004,20.577585968671766
wheat,Logi-ODE,0,val,True,0.0599008141782931,0.0398645416450841,0.3333121902822827,m,19,798,152,17.971384163166366,11.960121113879078
wheat,Logi-ODE,0,test,True,0.1059042303935416,0.066594964867876,0.2961872434509775,m,19,1368,475,35.75583781381523,22.484075982461498
wheat,Temp-ODE,0,train,True,0.089822876314801,0.0557334160236755,0.29934596283849185,m,38,2394,741,30.00637638906917,18.618395750252937
wheat,Temp-ODE,0,val,True,0.0574134174229856,0.0385131620125393,0.3333121902822827,m,19,798,152,17.22511780153077,11.554681507424744
wheat,Temp-ODE,0,test,True,0.0934332723601909,0.05828904882545,0.2961872434509775,m,19,1368,475,31.545339789643982,19.679797193931993
wheat,RF,1,train,True,0.0048925410974185,0.0026209738305924,0.29934596283849185,m,38,2394,741,1.6344102492734152,0.8755667875856777
wheat,RF,1,val,True,0.0880770506799962,0.0599556139510521,0.3333121902822827,m,19,798,152,26.42479130613362,17.987825137831166
wheat,RF,1,test,True,0.0988160260371485,0.0536105248706946,0.2961872434509775,m,19,1368,475,33.36268803673299,18.10021398830695
wheat,RF,2,train,True,0.0050110650715386,0.0026732327441777,0.29934596283849185,m,38,2394,741,1.6740045611512901,0.8930244853911751
wheat,RF,2,val,True,0.0881439064446662,0.0604776780173249,0.3333121902822827,m,19,798,152,26.44484930779668,18.144454292567648
wheat,RF,2,test,True,0.0992967254922497,0.0539061036962332,0.2961872434509775,m,19,1368,475,33.52498383634286,18.20000857165724
wheat,RF,3,train,True,0.0047200546322282,0.0025285731574943,0.29934596283849185,m,38,2394,741,1.5767891397201983,0.8446992682037799
wheat,RF,3,val,True,0.0880350173607893,0.06030539375619,0.3333121902822827,m,19,798,152,26.41218051047946,18.09276573566579
wheat,RF,3,test,True,0.0997589775145241,0.0542483255181782,0.2961872434509775,m,19,1368,475,33.68105133502665,18.31555096232797
arabidopsis,Logi-ODE,0,train,True,4.94420677423477,4.35798093676567,21.039259289844065,cm,18,72,0,23.49990893748529,20.71356637003531
arabidopsis,Logi-ODE,0,val,True,5.27441576123237,4.76859509944915,20.13555552952716,cm,18,72,0,26.19453808213966,23.682461069705234
arabidopsis,Logi-ODE,0,test,True,5.17875999212265,4.50167134404182,19.915277807740495,cm,18,72,0,26.003955566765008,22.60411020875717
arabidopsis,Temp-ODE,0,train,True,3.67778092622756,3.1904753297567296,21.039259289844065,cm,18,72,0,17.480562768684894,15.164389990178101
