dataset,model,split,n_runs,is_primary,rmse_mean,rmse_sd,mae_mean,mae_sd,rrmse_percent_mean,rrmse_percent_sd,rmae_percent_mean,rmae_percent_sd,mean_target,unit,n_curves,n_scored_points,n_scored_points_without_actual_observation
wheat,Ours,train,3,True,0.022441050037741602,0.00019311050637910477,,,7.496693733547818,0.06451081035066265,,,0.29934596283849185,m,38,2394,741
wheat,Ours,val,3,True,0.038039951274792295,0.0006714023090582688,,,11.412709280922547,0.20143346947186594,,,0.3333121902822827,m,19,798,152
wheat,Ours,test,3,True,0.03062912945946053,0.0006196607121157442,0.02003505846996019,0.0003864308972004776,10.341137282818195,0.20921249169811215,6.7643218649544,0.1304684471545908,0.2961872434509775,m,19,1368,475
wheat,LSTM-NN,train,3,True,0.034333333333333334,0.0005773502691896263,,,11.46944926458134,0.19287057146687714,,,0.29934596283849185,m,38,2394,741
wheat,LSTM-NN,val,3,True,0.074,0.010440306508910544,,,22.20140821652195,3.132290631215327,,,0.3333121902822827,m,19,798,152
wheat,LSTM-NN,test,3,True,0.05666666666666667,0.012741009902410928,,,19.132041612064118,4.301674087634944,,,0.2961872434509775,m,19,1368,475
wheat,Logi-PINN,train,3,True,0.034333333333333334,0.0025166114784235818,,,11.46944926458134,0.8407033302070576,,,0.29934596283849185,m,38,2394,741
wheat,Logi-PINN,val,3,True,0.06633333333333334,0.0032145502536643214,,,19.901262320215626,0.9644262488395378,,,0.3333121902822827,m,19,798,152
wheat,Logi-PINN,test,3,True,0.06566666666666666,0.0030550504633038962,,,22.17065998574489,1.0314591633685737,,,0.2961872434509775,m,19,1368,475
wheat,Logi-ODE,train,1,True,0.0972973345187225,,0.0615981728468389,,32.503306073053004,,20.577585968671766,,0.29934596283849185,m,38,2394,741
wheat,Logi-ODE,val,1,True,0.0599008141782931,,0.0398645416450841,,17.971384163166366,,11.960121113879078,,0.3333121902822827,m,19,798,152
wheat,Logi-ODE,test,1,True,0.1059042303935416,,0.066594964867876,,35.75583781381523,,22.484075982461498,,0.2961872434509775,m,19,1368,475
wheat,Temp-ODE,train,1,True,0.089822876314801,,0.0557334160236755,,30.00637638906917,,18.618395750252937,,0.29934596283849185,m,38,2394,741
wheat,Temp-ODE,val,1,True,0.0574134174229856,,0.0385131620125393,,17.22511780153077,,11.554681507424744,,0.3333121902822827,m,19,798,152
wheat,Temp-ODE,test,1,True,0.0934332723601909,,0.05828904882545,,31.545339789643982,,19.679797193931993,,0.2961872434509775,m,19,1368,475
wheat,RF,train,3,True,0.0048745536003951,0.00014633670586624236,0.0026075932440881334,7.325216089817197e-05,1.628401316714968,0.04888547835375219,0.871096847060211,0.02447073620220968,0.29934596283849185,m,38,2394,741
wheat,RF,val,3,True,0.0880853248284839,5.4914062832623554e-05,0.06024622857485567,0.0002660133668353241,26.427273708136585,0.01647526386182231,18.075015055354868,0.07980907227246545,0.3333121902822827,m,19,798,152
wheat,RF,test,3,True,0.0992905763479741,0.0004715058124272726,0.053921651361701996,0.0003191844512327831,33.52290773603416,0.1591918027709767,18.20525784076405,0.10776441534546034,0.2961872434509775,m,19,1368,475
arabidopsis,Logi-ODE,train,1,True,4.94420677423477,,4.35798093676567,,23.49990893748529,,20.71356637003531,,21.039259289844065,cm,18,72,0
arabidopsis,Logi-ODE,val,1,True,5.27441576123237,,4.76859509944915,,26.19453808213966,,23.682461069705234,,20.13555552952716,cm,18,72,0
arabidopsis,Logi-ODE,test,1,True,5.17875999212265,,4.50167134404182,,26.003955566765008,,22.60411020875717,,19.915277807740495,cm,18,72,0
arabidopsis,Temp-ODE,train,1,True,3.67778092622756,,3.1904753297567296,,17.480562768684894,,15.164389990178101,,21.039259289844065,cm,18,72,0
arabidopsis,Temp-ODE,val,1,True,4.1743230074644,,3.6717724055051795,,20.731104246630263,,18.235267460690732,,20.13555552952716,cm,18,72,0
arabidopsis,Temp-ODE,test,1,True,4.121226817369459,,3.49989905953407,,20.69379527192765,,17.573940435687824,,19.915277807740495,cm,18,72,0
arabidopsis,RF,train,3,True,0.15279362754274667,0.017500856058080497,0.12612683155263002,0.014398955802050502,0.7262310209585289,0.08318190206690587,0.5994832318717283,0.0684385110886536,21.039259289844065,cm,18,72,0
arabidopsis,RF,val,3,True,3.2166210313638004,0.008028206063508396,2.711257648964717,0.004403728446784338,15.974831320878565,0.03987079498122491,13.465025313003544,0.021870409486972553,20.13555552952716,cm,18,72,0
arabidopsis,RF,test,3,True,2.8775426869591034,0.00963299123147455,2.3471917957067436,0.0012685416484318698,14.44892064644303,0.04836985617007396,11.78588528046773,0.006369690951229013,19.915277807740495,cm,18,72,0
arabidopsis,LSTM-NN,train,3,True,1.7013594197730166,0.12163520862083305,1.42678068950772,0.13247460658445545,8.08659371670126,0.5781344625547156,6.7815157836685165,0.6296543274620062,21.039259289844065,cm,18,72,0
arabidopsis,LSTM-NN,val,3,True,3.3427546421686767,0.10257502695125674,2.854047405223047,0.07692290451814782,16.601253624548864,0.5094223837074605,14.17416768580245,0.38202524089959605,20.13555552952716,cm,18,72,0
arabidopsis,LSTM-NN,test,3,True,2.9508156081040666,0.06447782470499104,2.5005526219805034,0.026066078163087435,14.816843815039173,0.32376060895284275,12.5559514967379,0.13088483331604023,19.915277807740495,cm,18,72,0
arabidopsis,Ours,train,3,True,1.4012999832630098,0.08785663447770445,1.2279390046993832,0.07719440729525393,6.660405501725227,0.41758425649573144,5.8364174697543945,0.3669064876847484,21.039259289844065,cm,18,72,0
arabidopsis,Ours,val,3,True,3.2455373555421807,0.005841194212176822,2.7854429557919467,0.016328993760869884,16.118439596974927,0.029009352156244797,13.833454715005603,0.0810953228329095,20.13555552952716,cm,18,72,0
arabidopsis,Ours,test,3,True,2.8659799446662233,0.09280767885552296,2.4634374305605835,0.08791374935865295,14.390860987900952,0.4660124741993368,12.369586075284957,0.44143872963943015,19.915277807740495,cm,18,72,0
arabidopsis,Logi-PINN,train,3,True,1.7214055483539834,0.034144363320289646,1.4557143673300734,0.038877918218388645,8.181873347532386,0.16228880898279313,6.919038105266217,0.18478748554211447,21.039259289844065,cm,18,72,0
