dataset,model,n_seeds,parameters,train_rmse_mean,train_rmse_sd,val_rmse_mean,val_rmse_sd,test_rmse_mean,test_rmse_sd,test_mae_mean,test_mae_sd,unit
wheat,Tuned Latent Neural ODE,3,1655,0.02244105,0.00019311,0.03803995,0.00067140,0.03062913,0.00061966,,,m
wheat,Micro Latent Neural ODE,3,393,0.02473075,0.00063855,0.04152693,0.00386957,0.03289569,0.00140669,,,m
wheat,Original Latent Neural ODE,3,4647,0.02308740,0.00062663,0.04210075,0.00252474,0.03162878,0.00021150,,,m
wheat,LSTM-NN reference,3,451,0.03433333,0.00057735,0.07400000,0.01044031,0.05666667,0.01274101,,,m
wheat,Logi-PINN reference,3,463,0.03433333,0.00251661,0.06633333,0.00321455,0.06566667,0.00305505,,,m
arabidopsis,Latent Neural ODE,3,4607,1.401300,0.087857,3.245537,0.005841,2.865980,0.092808,2.463437,0.087914,cm
arabidopsis,Random forest,3,,0.152794,0.017501,3.216621,0.008028,2.877543,0.009633,2.347192,0.001269,cm
arabidopsis,Logi-PINN,3,419,1.721406,0.034144,3.315906,0.074569,2.987346,0.125709,2.523014,0.063144,cm
arabidopsis,LSTM-NN,3,401,1.701359,0.121635,3.342755,0.102575,2.950816,0.064478,2.500553,0.026066,cm
arabidopsis,Temperature-informed ODE,1,20,3.677781,,4.174323,,4.121227,,3.499899,,cm
arabidopsis,Logistic ODE,1,18,4.944207,,5.274416,,5.178760,,4.501671,,cm
