plant_id,genotype,source_row,r,r_light,r_dark,a,K_mm
Col-0:row3,Col-0,3,0.031364143,0.042775624,0.019952664,0.36383837,7.561522
Col-0:row4,Col-0,4,0.031364143,0.042775624,0.019952664,0.36383837,7.4694357
Col-0:row5,Col-0,5,0.031364143,0.042775624,0.019952664,0.36383837,7.4106765
Col-0:row6,Col-0,6,0.031364143,0.042775624,0.019952664,0.36383837,7.4101515
Col-0:row7,Col-0,7,0.031364143,0.042775624,0.019952664,0.36383837,7.4859667
Col-0:row8,Col-0,8,0.031364143,0.042775624,0.019952664,0.36383837,7.458515
Col-0:row9,Col-0,9,0.031364143,0.042775624,0.019952664,0.36383837,7.5034437
Col-0:row10,Col-0,10,0.031364143,0.042775624,0.019952664,0.36383837,7.543979
Col-0:row11,Col-0,11,0.031364143,0.042775624,0.019952664,0.36383837,7.477222
Col-0:row12,Col-0,12,0.031364143,0.042775624,0.019952664,0.36383837,7.4781237
Col-0:row13,Col-0,13,0.031364143,0.042775624,0.019952664,0.36383837,7.438168
Col-0:row14,Col-0,14,0.031364143,0.042775624,0.019952664,0.36383837,7.456053
Col-0:row15,Col-0,15,0.031364143,0.042775624,0.019952664,0.36383837,7.474326
Col-0:row16,Col-0,16,0.031364143,0.042775624,0.019952664,0.36383837,7.4772024
Col-0:row17,Col-0,17,0.031364143,0.042775624,0.019952664,0.36383837,7.4602284
Col-0:row18,Col-0,18,0.031364143,0.042775624,0.019952664,0.36383837,7.460238
Col-0:row19,Col-0,19,0.031364143,0.042775624,0.019952664,0.36383837,7.4434
Col-0:row20,Col-0,20,0.031364143,0.042775624,0.019952664,0.36383837,7.481281
Col-0:row21,Col-0,21,0.031364143,0.042775624,0.019952664,0.36383837,7.439109
Col-0:row22,Col-0,22,0.031364143,0.042775624,0.019952664,0.36383837,7.5048056
Col-0:row23,Col-0,23,0.031364143,0.042775624,0.019952664,0.36383837,7.4762244
Col-0:row24,Col-0,24,0.031364143,0.042775624,0.019952664,0.36383837,7.4101467
Col-0:row25,Col-0,25,0.031364143,0.042775624,0.019952664,0.36383837,7.465929
Col-0:row26,Col-0,26,0.031364143,0.042775624,0.019952664,0.36383837,7.489649
Col-0:row27,Col-0,27,0.031364143,0.042775624,0.019952664,0.36383837,7.486623
Col-0:row28,Col-0,28,0.031364143,0.042775624,0.019952664,0.36383837,7.4367385
Col-0:row29,Col-0,29,0.031364143,0.042775624,0.019952664,0.36383837,7.5200005
Col-0:row30,Col-0,30,0.031364143,0.042775624,0.019952664,0.36383837,7.4982176
Col-0:row31,Col-0,31,0.031364143,0.042775624,0.019952664,0.36383837,7.528984
Col-0:row32,Col-0,32,0.031364143,0.042775624,0.019952664,0.36383837,7.491507
Col-0:row33,Col-0,33,0.031364143,0.042775624,0.019952664,0.36383837,7.5054693
Col-0:row34,Col-0,34,0.031364143,0.042775624,0.019952664,0.36383837,7.486112
Col-0:row35,Col-0,35,0.031364143,0.042775624,0.019952664,0.36383837,7.537879
hy5:row3,hy5,3,0.053963438,0.066136025,0.04179085,0.225571,9.031395
hy5:row4,hy5,4,0.053963438,0.066136025,0.04179085,0.225571,9.173696
hy5:row5,hy5,5,0.053963438,0.066136025,0.04179085,0.225571,8.985598
hy5:row6,hy5,6,0.053963438,0.066136025,0.04179085,0.225571,8.974592
hy5:row7,hy5,7,0.053963438,0.066136025,0.04179085,0.225571,9.240644
hy5:row8,hy5,8,0.053963438,0.066136025,0.04179085,0.225571,9.136867
hy5:row9,hy5,9,0.053963438,0.066136025,0.04179085,0.225571,8.988603
hy5:row10,hy5,10,0.053963438,0.066136025,0.04179085,0.225571,9.104681
hy5:row11,hy5,11,0.053963438,0.066136025,0.04179085,0.225571,9.134402
hy5:row12,hy5,12,0.053963438,0.066136025,0.04179085,0.225571,9.0527115
hy5:row13,hy5,13,0.053963438,0.066136025,0.04179085,0.225571,9.027186
hy5:row14,hy5,14,0.053963438,0.066136025,0.04179085,0.225571,9.007388
hy5:row15,hy5,15,0.053963438,0.066136025,0.04179085,0.225571,9.039842
hy5:row16,hy5,16,0.053963438,0.066136025,0.04179085,0.225571,8.974359
hy5:row17,hy5,17,0.053963438,0.066136025,0.04179085,0.225571,8.988686
hy5:row18,hy5,18,0.053963438,0.066136025,0.04179085,0.225571,9.001557
hy5:row19,hy5,19,0.053963438,0.066136025,0.04179085,0.225571,9.118593
hy5:row20,hy5,20,0.053963438,0.066136025,0.04179085,0.225571,9.021543
hy5:row21,hy5,21,0.053963438,0.066136025,0.04179085,0.225571,9.063775
hy5:row22,hy5,22,0.053963438,0.066136025,0.04179085,0.225571,9.085124
hy5:row23,hy5,23,0.053963438,0.066136025,0.04179085,0.225571,9.057952
hy5:row24,hy5,24,0.053963438,0.066136025,0.04179085,0.225571,9.168153
hy5:row25,hy5,25,0.053963438,0.066136025,0.04179085,0.225571,9.054938
hy5:row26,hy5,26,0.053963438,0.066136025,0.04179085,0.225571,9.101658
hy5:row27,hy5,27,0.053963438,0.066136025,0.04179085,0.225571,9.148736
hy5:row28,hy5,28,0.053963438,0.066136025,0.04179085,0.225571,9.109081
hy5:row29,hy5,29,0.053963438,0.066136025,0.04179085,0.225571,8.793603
hy5:row30,hy5,30,0.053963438,0.066136025,0.04179085,0.225571,8.897516
hy5:row31,hy5,31,0.053963438,0.066136025,0.04179085,0.225571,8.743383
hy5:row32,hy5,32,0.053963438,0.066136025,0.04179085,0.225571,8.791257
hy5:row33,hy5,33,0.053963438,0.066136025,0.04179085,0.225571,8.738388
hy5:row34,hy5,34,0.053963438,0.066136025,0.04179085,0.225571,8.731852
hy5:row35,hy5,35,0.053963438,0.066136025,0.04179085,0.225571,8.734572
MLB:row3,MLB,3,0.030685103,0.042752597,0.018617606,0.39326888,7.4059863
MLB:row4,MLB,4,0.030685103,0.042752597,0.018617606,0.39326888,7.381581
MLB:row5,MLB,5,0.030685103,0.042752597,0.018617606,0.39326888,7.3929086
MLB:row6,MLB,6,0.030685103,0.042752597,0.018617606,0.39326888,7.402108
MLB:row7,MLB,7,0.030685103,0.042752597,0.018617606,0.39326888,7.4038467
MLB:row8,MLB,8,0.030685103,0.042752597,0.018617606,0.39326888,7.369089
MLB:row9,MLB,9,0.030685103,0.042752597,0.018617606,0.39326888,7.380546
MLB:row10,MLB,10,0.030685103,0.042752597,0.018617606,0.39326888,7.357808
MLB:row11,MLB,11,0.030685103,0.042752597,0.018617606,0.39326888,7.3506966
MLB:row12,MLB,12,0.030685103,0.042752597,0.018617606,0.39326888,7.4333835
MLB:row13,MLB,13,0.030685103,0.042752597,0.018617606,0.39326888,7.3725853
MLB:row14,MLB,14,0.030685103,0.042752597,0.018617606,0.39326888,7.3637953
MLB:row15,MLB,15,0.030685103,0.042752597,0.018617606,0.39326888,7.372487
MLB:row16,MLB,16,0.030685103,0.042752597,0.018617606,0.39326888,7.3853087
MLB:row17,MLB,17,0.030685103,0.042752597,0.018617606,0.39326888,7.3714876
MLB:row18,MLB,18,0.030685103,0.042752597,0.018617606,0.39326888,7.3858347
MLB:row19,MLB,19,0.030685103,0.042752597,0.018617606,0.39326888,7.369343
MLB:row20,MLB,20,0.030685103,0.042752597,0.018617606,0.39326888,7.3560143
MLB:row21,MLB,21,0.030685103,0.042752597,0.018617606,0.39326888,7.3687534
MLB:row22,MLB,22,0.030685103,0.042752597,0.018617606,0.39326888,7.380258
MLB:row23,MLB,23,0.030685103,0.042752597,0.018617606,0.39326888,7.4348173
MLB:row24,MLB,24,0.030685103,0.042752597,0.018617606,0.39326888,7.4594398
MLB:row25,MLB,25,0.030685103,0.042752597,0.018617606,0.39326888,7.419574
MLB:row26,MLB,26,0.030685103,0.042752597,0.018617606,0.39326888,7.4147787
MLB:row27,MLB,27,0.030685103,0.042752597,0.018617606,0.39326888,7.3556886
MLB:row28,MLB,28,0.030685103,0.042752597,0.018617606,0.39326888,7.360643
MLB:row29,MLB,29,0.030685103,0.042752597,0.018617606,0.39326888,7.4080963
MLB:row30,MLB,30,0.030685103,0.042752597,0.018617606,0.39326888,7.360487
MLB:row31,MLB,31,0.030685103,0.042752597,0.018617606,0.39326888,7.387478
MLB:row32,MLB,32,0.030685103,0.042752597,0.018617606,0.39326888,7.376612
MLB:row33,MLB,33,0.030685103,0.042752597,0.018617606,0.39326888,7.3448715
MLB:row34,MLB,34,0.030685103,0.042752597,0.018617606,0.39326888,7.3622656
MLB:row35,MLB,35,0.030685103,0.042752597,0.018617606,0.39326888,7.4344
MLB:row36,MLB,36,0.030685103,0.042752597,0.018617606,0.39326888,7.4350386
MLB:row37,MLB,37,0.030685103,0.042752597,0.018617606,0.39326888,7.4728417
MLB:row38,MLB,38,0.030685103,0.042752597,0.018617606,0.39326888,7.466777
MLB:row39,MLB,39,0.030685103,0.042752597,0.018617606,0.39326888,7.46712
MLB:row40,MLB,40,0.030685103,0.042752597,0.018617606,0.39326888,7.519592
phyAB:row3,phyAB,3,0.076912485,0.09214839,0.061676577,0.19809407,9.86282
phyAB:row4,phyAB,4,0.076912485,0.09214839,0.061676577,0.19809407,9.8859825
phyAB:row5,phyAB,5,0.076912485,0.09214839,0.061676577,0.19809407,9.933314
phyAB:row6,phyAB,6,0.076912485,0.09214839,0.061676577,0.19809407,9.905
phyAB:row7,phyAB,7,0.076912485,0.09214839,0.061676577,0.19809407,9.8515005
phyAB:row8,phyAB,8,0.076912485,0.09214839,0.061676577,0.19809407,9.911956
phyAB:row9,phyAB,9,0.076912485,0.09214839,0.061676577,0.19809407,9.993454
phyAB:row10,phyAB,10,0.076912485,0.09214839,0.061676577,0.19809407,9.943532
phyAB:row11,phyAB,11,0.076912485,0.09214839,0.061676577,0.19809407,9.901577
phyAB:row12,phyAB,12,0.076912485,0.09214839,0.061676577,0.19809407,9.945812
phyAB:row13,phyAB,13,0.076912485,0.09214839,0.061676577,0.19809407,9.916443
phyAB:row14,phyAB,14,0.076912485,0.09214839,0.061676577,0.19809407,9.871473
phyAB:row15,phyAB,15,0.076912485,0.09214839,0.061676577,0.19809407,9.851393
phyAB:row16,phyAB,16,0.076912485,0.09214839,0.061676577,0.19809407,9.838551
phyAB:row17,phyAB,17,0.076912485,0.09214839,0.061676577,0.19809407,9.960011
phyAB:row18,phyAB,18,0.076912485,0.09214839,0.061676577,0.19809407,9.959873
phyAB:row19,phyAB,19,0.076912485,0.09214839,0.061676577,0.19809407,9.900158
phyAB:row20,phyAB,20,0.076912485,0.09214839,0.061676577,0.19809407,9.916557
phyAB:row21,phyAB,21,0.076912485,0.09214839,0.061676577,0.19809407,9.895466
phyAB:row22,phyAB,22,0.076912485,0.09214839,0.061676577,0.19809407,9.908403
phyAB:row23,phyAB,23,0.076912485,0.09214839,0.061676577,0.19809407,9.939835
phyAB:row24,phyAB,24,0.076912485,0.09214839,0.061676577,0.19809407,9.90288
phyAB:row25,phyAB,25,0.076912485,0.09214839,0.061676577,0.19809407,9.88253
phyAB:row26,phyAB,26,0.076912485,0.09214839,0.061676577,0.19809407,9.898465
phyAB:row27,phyAB,27,0.076912485,0.09214839,0.061676577,0.19809407,9.943565
phyAB:row28,phyAB,28,0.076912485,0.09214839,0.061676577,0.19809407,9.877491
phyAB:row29,phyAB,29,0.076912485,0.09214839,0.061676577,0.19809407,9.92197
phyAB:row30,phyAB,30,0.076912485,0.09214839,0.061676577,0.19809407,9.923832
phyAB:row31,phyAB,31,0.076912485,0.09214839,0.061676577,0.19809407,9.877183
phyAB:row32,phyAB,32,0.076912485,0.09214839,0.061676577,0.19809407,9.874842
phyAB:row33,phyAB,33,0.076912485,0.09214839,0.061676577,0.19809407,9.893614
phyAB:row34,phyAB,34,0.076912485,0.09214839,0.061676577,0.19809407,9.662865
phyAB:row35,phyAB,35,0.076912485,0.09214839,0.061676577,0.19809407,9.713979
phyAB:row36,phyAB,36,0.076912485,0.09214839,0.061676577,0.19809407,9.746025
phyAB:row37,phyAB,37,0.076912485,0.09214839,0.061676577,0.19809407,9.791106
phyAB:row38,phyAB,38,0.076912485,0.09214839,0.061676577,0.19809407,9.689356
phyAB:row39,phyAB,39,0.076912485,0.09214839,0.061676577,0.19809407,9.696408
