model,seed,split,genotype,year,rmse,mae,n_scored
RF,1,train,33,2018,0.00784420674292661,0.004392990252784634,67
RF,1,train,33,2019,0.0037116090677690007,0.0022604108385915916,59
RF,1,train,106,2018,0.009024191674752692,0.004529483044781529,67
RF,1,train,106,2019,0.002831291241706126,0.001667626974090224,59
RF,1,train,122,2018,0.004692422367307083,0.002540892396275664,67
RF,1,train,122,2019,0.004666932244573069,0.0022615875313746108,59
RF,1,train,133,2018,0.005763694239694195,0.003127595219823158,67
RF,1,train,133,2019,0.006913432029772829,0.0029312519038617087,59
RF,1,train,5,2018,0.00402511387187574,0.002428818435979614,67
RF,1,train,5,2019,0.001210690316685557,0.0007469827845585923,59
RF,1,train,30,2018,0.003681826493870859,0.0021084644598220238,67
RF,1,train,30,2019,0.0010673579824316583,0.0006121590741751229,59
RF,1,train,218,2018,0.005401103836524733,0.0027787149231278457,67
RF,1,train,218,2019,0.0028589758290273274,0.0014697763186302326,59
RF,1,train,2,2018,0.0076761136280136585,0.0031342452276316283,67
RF,1,train,2,2019,0.004701901938054974,0.0027503579452706254,59
RF,1,train,17,2018,0.005583038659223042,0.003016231665361834,67
RF,1,train,17,2019,0.003712552840202445,0.0024142000664863768,59
RF,1,train,254,2018,0.00541062778258014,0.0030385025524344517,67
RF,1,train,254,2019,0.005300031623574695,0.0027643094515224457,59
RF,1,train,282,2018,0.006359550358800101,0.0026308787388949254,67
RF,1,train,282,2019,0.0035001142069802523,0.0022509489312824596,59
RF,1,train,294,2018,0.004096762158547684,0.0021873611227753386,67
RF,1,train,294,2019,0.0042122742137023885,0.0022098617614291446,59
RF,1,train,301,2018,0.003889927524626629,0.0020549856548474515,67
RF,1,train,301,2019,0.0038512405230291596,0.0021010638113541833,59
RF,1,train,302,2018,0.005463097390439778,0.0026528604200659555,67
RF,1,train,302,2019,0.007275803420166769,0.004143835248127676,59
RF,1,train,335,2018,0.007144086212058359,0.003907254510202877,67
RF,1,train,335,2019,0.00440615848366777,0.002419963678064003,59
RF,1,train,339,2018,0.00631761755143362,0.0036883455757946437,67
RF,1,train,339,2019,0.004480447664203351,0.0026812725642284775,59
RF,1,train,341,2018,0.00683953036150373,0.0040480527060888305,67
RF,1,train,341,2019,0.0035270193653991664,0.0018419896682907242,59
RF,1,train,6,2018,0.005606000549600003,0.003089041014333754,67
RF,1,train,6,2019,0.0009663899185363275,0.0005938679028100877,59
RF,1,train,362,2018,0.004624560708232702,0.0025863250754613724,67
RF,1,train,362,2019,0.007278866680411665,0.0035344961118765803,59
RF,1,val,33,2022,0.10553390623232319,0.07142783452312618,42
RF,1,val,106,2022,0.1124157686134484,0.07804158149129042,42
RF,1,val,122,2022,0.05658645184700336,0.03788481743697093,42
RF,1,val,133,2022,0.07521731507920978,0.050658030417930225,42
RF,1,val,5,2022,0.07403479198197299,0.05310838769063506,42
RF,1,val,30,2022,0.0732703372965617,0.049527904106066736,42
RF,1,val,218,2022,0.06220509710130446,0.04020087652706347,42
RF,1,val,2,2022,0.11222594828007129,0.07818433881478905,42
RF,1,val,17,2022,0.08395208533277282,0.05460702347036715,42
RF,1,val,254,2022,0.07628636304486672,0.051057580210014365,42
RF,1,val,282,2022,0.09942901725377071,0.07006314862923232,42
RF,1,val,294,2022,0.09818945872464861,0.06684946514036565,42
RF,1,val,301,2022,0.1019641814816238,0.06919045580662264,42
RF,1,val,302,2022,0.11701071098933999,0.07639583234247559,42
RF,1,val,335,2022,0.07178680144395899,0.048212558801178564,42
RF,1,val,339,2022,0.06278271584465883,0.042851435546712724,42
RF,1,val,341,2022,0.05740270153625618,0.0394727570694617,42
RF,1,val,6,2022,0.12377291627052714,0.0841194457728091,42
RF,1,val,362,2022,0.1093973945656098,0.07730319127287863,42
RF,1,test,33,2021,0.11631972698228911,0.057424829979760755,72
RF,1,test,106,2021,0.11608642740240709,0.05959533975195392,72
RF,1,test,122,2021,0.08298385910342158,0.04439291218612886,72
RF,1,test,133,2021,0.09206951461230174,0.05286407602556035,72
RF,1,test,5,2021,0.09135919421651481,0.052626660932138164,72
RF,1,test,30,2021,0.09150667650908748,0.051349845928032004,72
RF,1,test,218,2021,0.08506909407638111,0.04447035138343225,72
RF,1,test,2,2021,0.10246691410572079,0.05912598683282465,72
RF,1,test,17,2021,0.0854747597636756,0.048202882575299595,72
RF,1,test,254,2021,0.0822679434187991,0.04378746336149066,72
RF,1,test,282,2021,0.10646519597129935,0.053809875390804555,72
RF,1,test,294,2021,0.12168253945617279,0.06948325178254751,72
RF,1,test,301,2021,0.10296649343239299,0.05923958790565255,72
RF,1,test,302,2021,0.11511482484133359,0.05948490896649218,72
RF,1,test,335,2021,0.08962227267512683,0.04745522345063755,72
RF,1,test,339,2021,0.07702584811227214,0.04209135258666257,72
RF,1,test,341,2021,0.0951997664196522,0.05264565044037525,72
RF,1,test,6,2021,0.10277014118361841,0.05592075401921578,72
RF,1,test,362,2021,0.12105330242335521,0.0646290190441892,72
