model,seed,split,genotype,year,rmse,mae,n_scored
Temp-ODE,0,train,33,2018,0.09853840998121247,0.06413809081183963,67
Temp-ODE,0,train,33,2019,0.12569861317128098,0.07636661482883925,59
Temp-ODE,0,train,106,2018,0.091869148831817,0.06168117142918995,67
Temp-ODE,0,train,106,2019,0.12609811831128487,0.07799262487710792,59
Temp-ODE,0,train,122,2018,0.05763127446112503,0.032934181719622826,67
Temp-ODE,0,train,122,2019,0.08179266459448592,0.04949516252780329,59
Temp-ODE,0,train,133,2018,0.06871105318061148,0.04081320353667457,67
Temp-ODE,0,train,133,2019,0.09836576974461901,0.062084572079070276,59
Temp-ODE,0,train,5,2018,0.1106479897020137,0.06769390332300251,67
Temp-ODE,0,train,5,2019,0.0689578437145271,0.04311430802772557,59
Temp-ODE,0,train,30,2018,0.1177903696910818,0.06793686547628362,67
Temp-ODE,0,train,30,2019,0.0695715877806104,0.0431640586243871,59
Temp-ODE,0,train,218,2018,0.06078001135205174,0.03718933038079332,67
Temp-ODE,0,train,218,2019,0.08293244889122778,0.051641479997295826,59
Temp-ODE,0,train,2,2018,0.08255276869526254,0.05082330659937472,67
Temp-ODE,0,train,2,2019,0.10978521354281368,0.06723070957188922,59
Temp-ODE,0,train,17,2018,0.06925164100318033,0.04443217779224649,67
Temp-ODE,0,train,17,2019,0.10188155989340644,0.06353579831260718,59
Temp-ODE,0,train,254,2018,0.06093029371774719,0.04125048572377935,67
Temp-ODE,0,train,254,2019,0.08602161718569926,0.05185719594061983,59
Temp-ODE,0,train,282,2018,0.07485119401388994,0.046183076440672995,67
Temp-ODE,0,train,282,2019,0.10892472632552196,0.06888771240956147,59
Temp-ODE,0,train,294,2018,0.0754232763838574,0.044218655288030935,67
Temp-ODE,0,train,294,2019,0.11751237394196172,0.07352281035134803,59
Temp-ODE,0,train,301,2018,0.08356541787113816,0.05295727743582044,67
Temp-ODE,0,train,301,2019,0.11767515200793288,0.07267804356308251,59
Temp-ODE,0,train,302,2018,0.09045983978909848,0.061902592111911764,67
Temp-ODE,0,train,302,2019,0.1366832072941812,0.08228245608523299,59
Temp-ODE,0,train,335,2018,0.06695590140567782,0.042459907321880694,67
Temp-ODE,0,train,335,2019,0.08481767376604311,0.05211169073937241,59
Temp-ODE,0,train,339,2018,0.05866409146303682,0.0357013169245179,67
Temp-ODE,0,train,339,2019,0.08356687340039289,0.05303923092107931,59
Temp-ODE,0,train,341,2018,0.05169031890254166,0.03137075879100864,67
Temp-ODE,0,train,341,2019,0.0800312009945563,0.04858143465786716,59
Temp-ODE,0,train,6,2018,0.12375517863093424,0.07742438791327194,67
Temp-ODE,0,train,6,2019,0.07652518051742133,0.04585173955827972,59
Temp-ODE,0,train,362,2018,0.08369737068062284,0.05134241519615802,67
Temp-ODE,0,train,362,2019,0.12866192512757196,0.08197906161042152,59
Temp-ODE,0,val,33,2022,0.05880914615910908,0.03333521302862642,42
Temp-ODE,0,val,106,2022,0.07279011092035316,0.045134964357293146,42
Temp-ODE,0,val,122,2022,0.02640275552710785,0.017579464470894143,42
Temp-ODE,0,val,133,2022,0.03878930669334765,0.027139708249395482,42
Temp-ODE,0,val,5,2022,0.07882592668003395,0.057108979324435365,42
Temp-ODE,0,val,30,2022,0.06142091560483806,0.042747263133760774,42
Temp-ODE,0,val,218,2022,0.019685028715333418,0.013245173398783706,42
Temp-ODE,0,val,2,2022,0.08111690817824914,0.05269680839609633,42
Temp-ODE,0,val,17,2022,0.0761140619512143,0.05906362053864241,42
Temp-ODE,0,val,254,2022,0.040929213901470245,0.0274740884265425,42
Temp-ODE,0,val,282,2022,0.07932476596180735,0.0550311186732679,42
Temp-ODE,0,val,294,2022,0.048309394859556945,0.030304093742770596,42
Temp-ODE,0,val,301,2022,0.0622866514535199,0.04017575447163467,42
Temp-ODE,0,val,302,2022,0.07006996550263224,0.03916950352455079,42
Temp-ODE,0,val,335,2022,0.026001917274703096,0.018951301270247516,42
Temp-ODE,0,val,339,2022,0.036043379174254264,0.02570987068530657,42
Temp-ODE,0,val,341,2022,0.01874307538454514,0.013420317330689487,42
Temp-ODE,0,val,6,2022,0.13000086417979714,0.09391106440022082,42
Temp-ODE,0,val,362,2022,0.06519154291485481,0.03955177081508987,42
Temp-ODE,0,test,33,2021,0.12660115190892277,0.07960429164635555,72
Temp-ODE,0,test,106,2021,0.12896131202501135,0.081255831310804,72
Temp-ODE,0,test,122,2021,0.07780714120559909,0.04785965858496437,72
Temp-ODE,0,test,133,2021,0.08632594225333803,0.05308974780653348,72
Temp-ODE,0,test,5,2021,0.05010344964130398,0.02714288829448155,72
Temp-ODE,0,test,30,2021,0.045534772377492656,0.029230838857422177,72
Temp-ODE,0,test,218,2021,0.08706583729074238,0.05302058236920751,72
Temp-ODE,0,test,2,2021,0.10499785484262802,0.07161856985115173,72
Temp-ODE,0,test,17,2021,0.07382546893898434,0.047375096337318144,72
Temp-ODE,0,test,254,2021,0.07846588706316228,0.04890419408762177,72
Temp-ODE,0,test,282,2021,0.11818796724366855,0.07295185719498631,72
Temp-ODE,0,test,294,2021,0.12542067639589283,0.06998895231469685,72
Temp-ODE,0,test,301,2021,0.10569266706084524,0.06856119882860269,72
Temp-ODE,0,test,302,2021,0.11734843150113844,0.07629951116656891,72
Temp-ODE,0,test,335,2021,0.09150932914143853,0.057795552739729555,72
Temp-ODE,0,test,339,2021,0.06529118541956155,0.043124215414778226,72
Temp-ODE,0,test,341,2021,0.08898209267556714,0.051142526637483865,72
Temp-ODE,0,test,6,2021,0.07283224256668258,0.047724712294810505,72
Temp-ODE,0,test,362,2021,0.130278765291649,0.08080170194603392,72
