configuration,parameters,val_rmse_mean,val_rmse_sd,screening_seeds
bottleneck_16x16d1,1655,0.040454724803566905,0.00015970231154183894,2
mid_12x24d2,2799,0.0407077353447675,0.0016459740457860897,2
compact_8x16d1_g4,1159,0.041185298934578854,0.000677334099884546,2
base_16x32d2,4647,0.041753347963094656,0.003467631961233831,2
mid_12x24d1,2199,0.0427310261875391,0.0011729757700165322,2
tiny_6x12d1,681,0.0430451668798923,0.003959817589787904,2
micro_4x8d1,393,0.04370952211320395,0.006733662375149817,2
compact_8x16d2,1431,0.04379734769463535,0.006302044402083907,2
compact_8x16d1_g2,1057,0.04458888992667195,0.007774428749743739,2
mid_10x20d1,1578,0.053481085225939695,0.00424635030521119,2
