configuration,family,learning_rate,physics_weight,ymax_weight,parameters,val_rmse_mean,val_rmse_sd
b1655_lr1e2_p2,bottleneck,0.01,2.0,0.1,1655,0.03836543112993235,0.0005156930333111175
b1655_lr5e3_p5,bottleneck,0.005,5.0,0.1,1655,0.0401449874043464,4.343232739045177e-05
b1655_lr5e3_p2_default,bottleneck,0.005,2.0,0.1,1655,0.040454724803566905,0.00015970231154183894
b1655_lr5e3_p0,bottleneck,0.005,0.0,0.0,1597,0.04121437482535835,0.0004467012764768258
b1655_lr5e3_p05,bottleneck,0.005,0.5,0.05,1655,0.041331386193633,0.00027079086750447204
b1655_lr2e3_p2,bottleneck,0.002,2.0,0.1,1655,0.0441756900399923,0.005364506196205272
m393_lr1e2_p2,micro,0.01,2.0,0.1,393,0.0393611248582601,0.0013426695188335782
m393_lr5e3_p0,micro,0.005,0.0,0.0,351,0.0424294881522655,0.0033725750127735683
m393_lr5e3_p05,micro,0.005,0.5,0.05,393,0.0430676750838756,0.005165275409116225
m393_lr5e3_p2_default,micro,0.005,2.0,0.1,393,0.04370952211320395,0.006733662375149817
m393_lr2e3_p2,micro,0.002,2.0,0.1,393,0.043871596455574,0.005986022063593139
