seed,genotype,test_rmse,val_rmse
1,33,0.021814898,0.028701011
1,106,0.03037452,0.046743557
1,122,0.025451692,0.034720793
1,133,0.024865668,0.02029386
1,5,0.027205609,0.020274723
1,30,0.029284172,0.021667233
1,218,0.02365986,0.026717994
1,2,0.04711151,0.063925155
1,17,0.057327762,0.05613356
1,254,0.021063717,0.021350725
1,282,0.030898586,0.05931091
1,294,0.03995087,0.042884614
1,301,0.03706679,0.036566522
1,302,0.031006401,0.037808996
1,335,0.021592664,0.039174333
1,339,0.025790593,0.024513865
1,341,0.029888673,0.024890224
1,6,0.035955627,0.07447563
1,362,0.024641855,0.04186111
2,33,0.018468628,0.03355865
2,106,0.027501255,0.0486136
2,122,0.024370225,0.036422875
2,133,0.023077734,0.023388637
2,5,0.02433935,0.021065032
2,30,0.028546013,0.025791936
2,218,0.02160627,0.030335154
2,2,0.04974147,0.058605425
2,17,0.057796326,0.05482037
2,254,0.02303057,0.025851788
2,282,0.027195772,0.05501929
2,294,0.036444277,0.041786335
2,301,0.039396744,0.03672952
2,302,0.030591683,0.0402479
2,335,0.020956872,0.03948792
2,339,0.027581265,0.025200672
2,341,0.02763501,0.029508568
2,6,0.037616916,0.068870805
2,362,0.023074351,0.040567063
3,33,0.020928003,0.028730435
3,106,0.028689427,0.045302294
3,122,0.025222577,0.03328828
3,133,0.023492262,0.020834118
3,5,0.024750555,0.019515172
3,30,0.031054888,0.020522706
3,218,0.022170033,0.025442194
3,2,0.051703963,0.061613552
3,17,0.060769606,0.056566495
3,254,0.022819828,0.021108624
3,282,0.029123852,0.058818668
3,294,0.03746265,0.04315764
3,301,0.039792463,0.037585292
3,302,0.03326087,0.037167754
3,335,0.020924443,0.03308266
3,339,0.02766378,0.024007322
3,341,0.028789252,0.025523644
3,6,0.039538737,0.076795995
3,362,0.023780925,0.041327976
